"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus","nome_a","nome_b"
"CHEBI:29693","CHEMBL:CHEMBL1236460","chebi","chembl","thiostrepton","T1_canonico_canonico",FALSE,"thiostrepton","THIOSTREPTON"
"HGNC:11847","MeSH:D051194","hgnc","mesh","tolllikereceptor1","T1_canonico_canonico",FALSE,"TLR1 (toll like receptor 1)","Toll-Like Receptor 1"
"CHEBI:9168","MeSH:D020123","chebi","mesh","sirolimus","T1_canonico_canonico",FALSE,"sirolimus","Sirolimus"
"CHEBI:41948","MeSH:D000518","chebi","mesh","eflornithine","T1_canonico_canonico",FALSE,"eflornithine","Eflornithine"
"CHEBI:61390","CHEMBL:CHEMBL1173655","chebi","chembl","afatinib","T1_canonico_canonico",FALSE,"afatinib","AFATINIB"
"CHEBI:43321","CHEMBL:CHEMBL278081","chebi","chembl","histidinol","T1_canonico_canonico",FALSE,"histidinol","HISTIDINOL"
"CHEBI:85994","CHEMBL:CHEMBL1289601","chebi","chembl","lenvatinib","T1_canonico_canonico",FALSE,"lenvatinib","LENVATINIB"
"CHEBI:90295","CHEMBL:CHEMBL1230020","chebi","chembl","plx4720","T1_canonico_canonico",FALSE,"PLX-4720","PLX-4720"
"CHEBI:71200","CHEMBL:CHEMBL221959","chebi","chembl","tofacitinib","T1_canonico_canonico",FALSE,"tofacitinib","TOFACITINIB"
"CHEBI:17823","CHEMBL:CHEMBL846","chebi","chembl","calcitriol","T1_canonico_canonico",FALSE,"calcitriol","CALCITRIOL"
"CHEBI:197107","CHEMBL:CHEMBL206834","chebi","chembl","bafetinib","T1_canonico_canonico",FALSE,"Bafetinib","BAFETINIB"
"CHEBI:63791","MeSH:D000077269","chebi","mesh","lenalidomide","T1_canonico_canonico",FALSE,"lenalidomide","Lenalidomide"
"CHEBI:234592","CHEMBL:CHEMBL3781751","chebi","chembl","iadademstat","T1_canonico_canonico",FALSE,"Iadademstat","IADADEMSTAT"
"HGNC:12666","MeSH:D000074405","hgnc","mesh","valosincontainingprotein","T1_canonico_canonico",FALSE,"VCP (valosin containing protein)","Valosin Containing Protein"
"CHEBI:28285","CHEMBL:CHEMBL1256136","chebi","chembl","oligomycina","T1_canonico_canonico",FALSE,"oligomycin A","OLIGOMYCIN A"
"CHEBI:80240","HGNC:3176","chebi","hgnc","endothelin1","T1_canonico_canonico",FALSE,"Endothelin-1","EDN1 (endothelin 1)"
"CHEBI:4670","CHEMBL:CHEMBL926","chebi","chembl","dobutamine","T1_canonico_canonico",FALSE,"dobutamine","DOBUTAMINE"
"CHEBI:41922","MeSH:D004054","chebi","mesh","diethylstilbestrol","T1_canonico_canonico",FALSE,"diethylstilbestrol","Diethylstilbestrol"
"HGNC:1069","CHEMBL:CHEMBL6068575","hgnc","chembl","bonemorphogeneticprotein2","T1_canonico_canonico",FALSE,"BMP2 (bone morphogenetic protein 2)","BONE MORPHOGENETIC PROTEIN 2"
"CHEBI:77092","CHEMBL:CHEMBL37161","chebi","chembl","fenbendazole","T1_canonico_canonico",FALSE,"fenbendazole","FENBENDAZOLE"
