"slug","ricostruito","aggancia"
"brd4_l","brd4lambda",FALSE
"parkinson_s_disease_prkn_mutation","parkinsonsigmadiseaseprknmutation",FALSE
"p12n_early_a","p12nearlyalpha",FALSE
"pccl_s_elk1_gfp","pcclsigmaelk1gfp",FALSE
"ici_a","icialpha",FALSE
"crohn_s_disease_b1_non_stricturing_non_penetrating","crohnsigmadiseaseb1nonstricturingnonpenetrating",FALSE
"hec_1_a_substrates","hec1alphasubstrates",FALSE
"25_g_ml_48_ox_ldl","25gammaml48oxldl",FALSE
"rtka_a","rtkaalpha",FALSE
"800_ug_ml_lariciresinol_4_d_glucopyranoside","800ugmllariciresinol4deltaglucopyranoside",FALSE
"exposed_to_s_1650b","exposedtosigma1650b",FALSE
"cd_crohn_s_disease","cdcrohnsigmadisease",FALSE
"50_g_ml_soybean_7s_globulin","50gammamlsoybean7sglobulin",FALSE
"plzf_sirna_a","plzfsirnaalpha",FALSE
"activin_a","activinalpha",FALSE
"shrna_g_alpha_12","shrnagammaalpha12",FALSE
"sirna_b_2","sirnabeta2",FALSE
"white_bean_7s_globulin_10_g_ml","whitebean7sglobulin10gammaml",FALSE
"grover_s_disease","groversigmadisease",FALSE
"d706_25_oh_d","d70625ohdelta",FALSE
"eupalinolide_b","eupalinolidebeta",FALSE
"neopetrotaurine_a","neopetrotaurinealpha",FALSE
"white_bean_7s_globulin_50_g_ml","whitebean7sglobulin50gammaml",FALSE
"mrk_a","mrkalpha",FALSE
"p_g_supernatant","pgammasupernatant",FALSE
"blood_sj_gren_s_syndrome","bloodsjgrensigmasyndrome",FALSE
"jun_d","jundelta",FALSE
"vitamin_d","vitamindelta",FALSE
"sars_cov_2_s_pseudovirions","sarscov2sigmapseudovirions",FALSE
"crohn_s_disease_perifistule","crohnsigmadiseaseperifistule",FALSE
"rs1_c_214g_a","rs1c214galpha",FALSE
"pladienolide_b","pladienolidebeta",FALSE
"flow_60_l_h_stretch_10_0_15hz","flow60lambdahstretch10015hz",FALSE
"ici_b","icibeta",FALSE
"rv_a_peptide_pool","rvalphapeptidepool",FALSE
"pcdna_set_a","pcdnasetalpha",FALSE
"kaposi_s_sarcoma","kaposisigmasarcoma",FALSE
"pcdna_set_b","pcdnasetbeta",FALSE
"400_ug_ml_lariciresinol_4_d_glucopyranoside","400ugmllariciresinol4deltaglucopyranoside",FALSE
"50_g_ml_white_bean_7s_globulin","50gammamlwhitebean7sglobulin",FALSE
"crohn_s_disease_associated_fibrosis","crohnsigmadiseaseassociatedfibrosis",FALSE
"recombinant_seb_500_g_ml","recombinantseb500gammaml",FALSE
"10_g_ml_2s_albumin_lupine","10gammaml2salbuminlupine",FALSE
"crohn_s_disease_fistule","crohnsigmadiseasefistule",FALSE
"af_eae_150_g_ml","afeae150gammaml",FALSE
"50_g_ml_2s_albumin_lupine","50gammaml2salbuminlupine",FALSE
"skbg_1_s","skbg1sigma",FALSE
"knock_in_a_g","knockinalphag",FALSE
"d704_25_oh_d","d70425ohdelta",FALSE
"ventrolateral_prefrontal_cortex_alzheimer_s_disease","ventrolateralprefrontalcortexalzheimersigmadisease",FALSE
"crohn_s_disease_non_inflammatory_left_colon","crohnsigmadiseasenoninflammatoryleftcolon",FALSE
"dupuytren_s","dupuytrensigma",FALSE
"tub_b","tubbeta",FALSE
"advanced_alzheimer_s_disease","advancedalzheimersigmadisease",FALSE
"alzheimer_s_disease_ad_mild_dementia","alzheimersigmadiseaseadmilddementia",FALSE
"neopetrotaurine_b","neopetrotaurinebeta",FALSE
"crohn_s","crohnsigma",FALSE
"sirna_b_3","sirnabeta3",FALSE
"sjogren_s_syndrome","sjogrensigmasyndrome",FALSE
"25_oh_d","25ohdelta",FALSE
"recombinant_seb_100_g_ml","recombinantseb100gammaml",FALSE
"crohn_s_disease_b2_stricturing","crohnsigmadiseaseb2stricturing",FALSE
"parkinson_s_disease_dementia","parkinsonsigmadiseasedementia",FALSE
"mfge8_s_genetic_overexpression","mfge8sigmageneticoverexpression",FALSE
"rs7132908_g_a","rs7132908gammaa",FALSE
"n_a_ibet151","nalphaibet151",FALSE
"adult_onset_still_s_disease_aosd","adultonsetstillsigmadiseaseaosd",FALSE
"wild_type_l_monocytogenes_10403s","wildtypelambdamonocytogenes10403s",FALSE
"sj_gren_s_syndrome","sjgrensigmasyndrome",FALSE
"parkinson_s_disease_pd","parkinsonsigmadiseasepd",FALSE
"brd_sirna_mix_a","brdsirnamixalpha",FALSE
"co_morbid_crohn_s_spondyloarthritis","comorbidcrohnsigmaspondyloarthritis",FALSE
"crohn_s_disease_inflammatory_left_colon","crohnsigmadiseaseinflammatoryleftcolon",FALSE
"ibs_d","ibsdelta",FALSE
"abe8_20_m_w_o_sgrna","abe820momegaosgrna",FALSE
"32_umol_l_np","32umollambdanp",FALSE
"plag1_s","plag1sigma",FALSE
"epigambogic_acid_a","epigambogicacidalpha",FALSE
"n_a_bg_media","nalphabgmedia",FALSE
"raynaud_s_phenomenon_ana","raynaudsigmaphenomenonana",FALSE
"fel_d_1_ige_fel_d_1","feldelta1igefeld1",FALSE
"4_a_fumigatus_conidia","4alphafumigatusconidia",FALSE
"beh_et_s_disease","behetsigmadisease",FALSE
"gfp_86_g_hivgfp_vpx","gfp86gammahivgfpvpx",FALSE
"barrett_s_oesophagus_bo","barrettsigmaoesophagusbo",FALSE
"2_conidia_a_fumigatus","2conidiaalphafumigatus",FALSE
"fps_100_g_ml","fps100gammaml",FALSE
"no_vit_a","novitalpha",FALSE
"rnase_l_2_5a","rnaselambda25a",FALSE
"early_onset_alzheimer_s_disease_eoad_1","earlyonsetalzheimersigmadiseaseeoad1",FALSE
"6_conidia_a_fumigatus","6conidiaalphafumigatus",FALSE
"brd_sirna_mix_b","brdsirnamixbeta",FALSE
"af_eae_75_g_ml","afeae75gammaml",FALSE
"raynaud_s_phenomenon","raynaudsigmaphenomenon",FALSE
"ciliobrevin_a","ciliobrevinalpha",FALSE
"jq_1_25umol_l","jq125umollambda",FALSE
"alzheimer_s_disease_late_stage","alzheimersigmadiseaselatestage",FALSE
