"id_a","id_b","chiave","tier","entrambi_nel_corpus","blocco"
"CHEBI:10022","CHEMBL:CHEMBL513300","deoxynivalenol","T1_canonico_canonico",FALSE,""
"CHEBI:100241","CHEMBL:CHEMBL8","ciprofloxacin","T1_canonico_canonico",FALSE,""
"CHEBI:100241","MeSH:D002939","ciprofloxacin","T1_canonico_canonico",FALSE,""
"CHEBI:10033","CHEMBL:CHEMBL1464","warfarina","T3_alias_alias",FALSE,""
"CHEBI:10429","CHEMBL:CHEMBL15192","lapachone","T1_canonico_canonico",FALSE,""
"CHEBI:114785","CHEMBL:CHEMBL553","erlotinib","T1_canonico_canonico",FALSE,""
"CHEBI:114785","MeSH:D000069347","erlotinib","T2_canonico_alias",FALSE,""
"CHEBI:116509","MeSH:D004237","diuron","T1_canonico_canonico",FALSE,""
"CHEBI:119573","CHEMBL:CHEMBL593","delavirdine","T1_canonico_canonico",FALSE,""
"CHEBI:119573","MeSH:D020008","delavirdine","T1_canonico_canonico",FALSE,""
"CHEBI:119915","CHEMBL:CHEMBL596","fentanyl","T1_canonico_canonico",FALSE,""
"CHEBI:119915","MeSH:D005283","fentanyl","T1_canonico_canonico",FALSE,""
"CHEBI:124921","CHEMBL:CHEMBL3287735","gsk2816126","T2_canonico_alias",FALSE,""
"CHEBI:125354","CHEMBL:CHEMBL18442","plerixafor","T1_canonico_canonico",FALSE,""
"CHEBI:125628","CHEMBL:CHEMBL483158","alisertib","T1_canonico_canonico",FALSE,""
"CHEBI:131146","CHEMBL:CHEMBL1255733","dihydroouabain","T1_canonico_canonico",FALSE,""
"CHEBI:131156","CHEMBL:CHEMBL2041933","azd7762","T1_canonico_canonico",FALSE,""
"CHEBI:131167","CHEMBL:CHEMBL1088752","losmapimod","T1_canonico_canonico",FALSE,""
"CHEBI:132082","CHEMBL:CHEMBL27759","entinostat","T1_canonico_canonico",FALSE,""
"CHEBI:132268","CHEMBL:CHEMBL2105719","dacomitinib","T1_canonico_canonico",FALSE,""
"CHEBI:132268","CHEMBL:CHEMBL2110732","pf00299804","T3_alias_alias",FALSE,""
"CHEBI:132774","CHEMBL:CHEMBL2338329","roxadustat","T1_canonico_canonico",FALSE,""
"CHEBI:132893","CHEMBL:CHEMBL504256","fangchinoline","T1_canonico_canonico",FALSE,""
"CHEBI:132986","CHEMBL:CHEMBL2408045","sapitinib","T1_canonico_canonico",FALSE,""
"CHEBI:133021","CHEMBL:CHEMBL3137309","venetoclax","T1_canonico_canonico",FALSE,""
"CHEBI:134606","CHEMBL:CHEMBL2105241","e212","T3_alias_alias",FALSE,""
"CHEBI:134606","CHEMBL:CHEMBL99668","toyocamycin","T1_canonico_canonico",FALSE,""
"CHEBI:134606","MeSH:D014127","toyocamycin","T1_canonico_canonico",FALSE,""
"CHEBI:135002","CHEMBL:CHEMBL118218","irofulven","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:135598","CHEMBL:CHEMBL1615784","tetrofosmin","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:135898","CHEMBL:CHEMBL506569","lanatosidec","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:135899","CHEMBL:CHEMBL382301","atosiban","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:135899","CHEMBL:CHEMBL5315050","atosibanacetate","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:135918","CHEMBL:CHEMBL3621988","chidamide","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:135938","CHEMBL:CHEMBL328190","lasofoxifene","T1_canonico_canonico",FALSE,""
"CHEBI:135938","CHEMBL:CHEMBL6067998","cp336156","T3_alias_alias",FALSE,""
"CHEBI:138156","HGNC:10625","ccl26","T2_canonico_alias",FALSE,""
"CHEBI:138236","CHEMBL:CHEMBL1164920","oridonin","T1_canonico_canonico",FALSE,""
"CHEBI:138488","CHEMBL:CHEMBL50894","alsterpaullone","T1_canonico_canonico",FALSE,""
"CHEBI:138511","CHEMBL:CHEMBL272733","piericidina","T1_canonico_canonico",FALSE,""
"CHEBI:138885","CHEMBL:CHEMBL75094","prinomastat","T1_canonico_canonico",FALSE,""
"CHEBI:139608","CHEMBL:CHEMBL2105734","sepantroniumbromide","T1_canonico_canonico",FALSE,""
"CHEBI:140592","CHEMBL:CHEMBL1214827","onalespib","T1_canonico_canonico",FALSE,""
"CHEBI:145365","CHEMBL:CHEMBL2105728","crenolanib","T1_canonico_canonico",FALSE,""
"CHEBI:145371","CHEMBL:CHEMBL3187723","binimetinib","T1_canonico_canonico",FALSE,""
"CHEBI:145372","CHEMBL:CHEMBL3301603","xospata","T3_alias_alias",FALSE,""
"CHEBI:145372","CHEMBL:CHEMBL3301622","gilteritinib","T1_canonico_canonico",FALSE,""
"CHEBI:145374","CHEMBL:CHEMBL3989908","enasidenib","T1_canonico_canonico",FALSE,""
"CHEBI:145374","CHEMBL:CHEMBL3989931","cc90007","T3_alias_alias",FALSE,""
"CHEBI:145417","CHEMBL:CHEMBL1241855","rigosertib","T1_canonico_canonico",FALSE,""
"CHEBI:145431","CHEMBL:CHEMBL77517","indisulam","T1_canonico_canonico",FALSE,""
"CHEBI:145535","CHEMBL:CHEMBL1231160","pevonedistat","T1_canonico_canonico",FALSE,""
"CHEBI:145994","CHEMBL:CHEMBL4065616","remdesivir","T1_canonico_canonico",FALSE,""
"CHEBI:146194","CHEMBL:CHEMBL468823","15acetyldeoxynivalenol","T1_canonico_canonico",FALSE,""
"CHEBI:146207","CHEMBL:CHEMBL1908337","palytoxin","T1_canonico_canonico",FALSE,""
"CHEBI:146244","CHEMBL:CHEMBL3613118","hu308","T2_canonico_alias",FALSE,""
"CHEBI:147398","CHEMBL:CHEMBL3545157","tideglusib","T1_canonico_canonico",FALSE,""
"CHEBI:15361","CHEMBL:CHEMBL1162144","pyruvate","T1_canonico_canonico",FALSE,""
"CHEBI:15361","MeSH:D019289","pyruvate","T2_canonico_alias",FALSE,""
"CHEBI:15365","CHEMBL:CHEMBL25","acetylsalicylicacid","T2_canonico_alias",FALSE,""
"CHEBI:15365","MeSH:D001241","acetylsalicylicacid","T2_canonico_alias",FALSE,""
"CHEBI:15367","CHEMBL:CHEMBL38","alltransretinoicacid","T2_canonico_alias",FALSE,""
"CHEBI:15367","MeSH:D014212","alltransretinoicacid","T2_canonico_alias",FALSE,""
"CHEBI:15367","NCBITaxon:61833","renova","T2_canonico_alias",FALSE,"taxon_sopra_specie"
"CHEBI:15379","CHEMBL:CHEMBL1234886","dioxygen","T2_canonico_alias",FALSE,""
"CHEBI:15379","MeSH:D010100","dioxygen","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:15414","CHEMBL:CHEMBL1088977","same","T3_alias_alias",FALSE,""
"CHEBI:15414","MeSH:D012436","same","T3_alias_alias",FALSE,""
"CHEBI:15422","CHEMBL:CHEMBL14249","adenosinetriphosphate","T2_canonico_alias",FALSE,""
"CHEBI:15422","MeSH:D000255","adenosinetriphosphate","T2_canonico_alias",FALSE,""
"CHEBI:15428","MeSH:D005998","aminoaceticacid","T3_alias_alias",FALSE,"mesh_troppo_alto"
"CHEBI:15551","CHEMBL:CHEMBL548","dinoprostone","T2_canonico_alias",FALSE,""
"CHEBI:15551","MeSH:D015232","dinoprostone","T2_canonico_alias",FALSE,""
"CHEBI:15553","CHEMBL:CHEMBL1200896","prostinf2alpha","T3_alias_alias",FALSE,""
"CHEBI:15553","CHEMBL:CHEMBL815","dinoprost","T2_canonico_alias",FALSE,""
"CHEBI:15553","MeSH:D015237","dinoprost","T2_canonico_alias",FALSE,""
"CHEBI:156287","CHEMBL:CHEMBL4303309","cx5461","T1_canonico_canonico",FALSE,""
