"cluster_id","entita","k","classe_registro","antenato_di_membro","str_stato_o_ombrello","non_entita"
"cgroup_L5_0031bf25","NCBITaxon:6603",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_003a0f4d","CHEBI:232354",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_0042b082","MeSH:D001172",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_0081a6ef","MeSH:D001471",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_0168004c","CHEBI:233309",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_03f00068","MeSH:D001064",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_049be823","CHEBI:24261",1,"",TRUE,FALSE,TRUE
"cgroup_L5_05cb4f56","CHEBI:9453",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_07809c2e","CHEBI:232616",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_08c0b6be","NCBITaxon:203327",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_08d867c8","NCBITaxon:3482",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_0a1196da","MeSH:D014947",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_0a1ba2c7","NCBITaxon:1279",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_0a7f851b","MeSH:D006976",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_0ad26b2e","CHEBI:230506",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_0bcddec7","CHEBI:202717",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_0bf5b572","CHEBI:231344",1,"chebi_non_curata",FALSE,FALSE,TRUE
