"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus","nome_a","nome_b","verdetto","motivo"
"CHEBI:29693","CHEMBL:CHEMBL1236460","chebi","chembl","thiostrepton","T1_canonico_canonico",FALSE,"thiostrepton","THIOSTREPTON","giusta",""
"HGNC:11847","MeSH:D051194","hgnc","mesh","tolllikereceptor1","T1_canonico_canonico",FALSE,"TLR1 (toll like receptor 1)","Toll-Like Receptor 1","giusta",""
"CHEBI:9168","MeSH:D020123","chebi","mesh","sirolimus","T1_canonico_canonico",FALSE,"sirolimus","Sirolimus","giusta",""
"CHEBI:41948","MeSH:D000518","chebi","mesh","eflornithine","T1_canonico_canonico",FALSE,"eflornithine","Eflornithine","giusta",""
"CHEBI:61390","CHEMBL:CHEMBL1173655","chebi","chembl","afatinib","T1_canonico_canonico",FALSE,"afatinib","AFATINIB","giusta",""
"CHEBI:43321","CHEMBL:CHEMBL278081","chebi","chembl","histidinol","T1_canonico_canonico",FALSE,"histidinol","HISTIDINOL","giusta",""
"CHEBI:85994","CHEMBL:CHEMBL1289601","chebi","chembl","lenvatinib","T1_canonico_canonico",FALSE,"lenvatinib","LENVATINIB","giusta",""
"CHEBI:90295","CHEMBL:CHEMBL1230020","chebi","chembl","plx4720","T1_canonico_canonico",FALSE,"PLX-4720","PLX-4720","giusta",""
"CHEBI:71200","CHEMBL:CHEMBL221959","chebi","chembl","tofacitinib","T1_canonico_canonico",FALSE,"tofacitinib","TOFACITINIB","giusta",""
"CHEBI:17823","CHEMBL:CHEMBL846","chebi","chembl","calcitriol","T1_canonico_canonico",FALSE,"calcitriol","CALCITRIOL","giusta",""
"CHEBI:197107","CHEMBL:CHEMBL206834","chebi","chembl","bafetinib","T1_canonico_canonico",FALSE,"Bafetinib","BAFETINIB","giusta",""
"CHEBI:63791","MeSH:D000077269","chebi","mesh","lenalidomide","T1_canonico_canonico",FALSE,"lenalidomide","Lenalidomide","giusta",""
"CHEBI:234592","CHEMBL:CHEMBL3781751","chebi","chembl","iadademstat","T1_canonico_canonico",FALSE,"Iadademstat","IADADEMSTAT","giusta",""
"HGNC:12666","MeSH:D000074405","hgnc","mesh","valosincontainingprotein","T1_canonico_canonico",FALSE,"VCP (valosin containing protein)","Valosin Containing Protein","giusta",""
"CHEBI:28285","CHEMBL:CHEMBL1256136","chebi","chembl","oligomycina","T1_canonico_canonico",FALSE,"oligomycin A","OLIGOMYCIN A","giusta",""
"CHEBI:80240","HGNC:3176","chebi","hgnc","endothelin1","T1_canonico_canonico",FALSE,"Endothelin-1","EDN1 (endothelin 1)","giusta",""
"CHEBI:4670","CHEMBL:CHEMBL926","chebi","chembl","dobutamine","T1_canonico_canonico",FALSE,"dobutamine","DOBUTAMINE","giusta",""
"CHEBI:41922","MeSH:D004054","chebi","mesh","diethylstilbestrol","T1_canonico_canonico",FALSE,"diethylstilbestrol","Diethylstilbestrol","giusta",""
"HGNC:1069","CHEMBL:CHEMBL6068575","hgnc","chembl","bonemorphogeneticprotein2","T1_canonico_canonico",FALSE,"BMP2 (bone morphogenetic protein 2)","BONE MORPHOGENETIC PROTEIN 2","giusta",""
"CHEBI:77092","CHEMBL:CHEMBL37161","chebi","chembl","fenbendazole","T1_canonico_canonico",FALSE,"fenbendazole","FENBENDAZOLE","giusta",""
"CHEBI:15553","CHEMBL:CHEMBL815","chebi","chembl","dinoprost","T2_canonico_alias",FALSE,"prostaglandin F2α","DINOPROST","giusta",""
"HGNC:5984","MeSH:D064094","hgnc","mesh","il17d","T2_canonico_alias",FALSE,"IL17D (interleukin 17D)","Interleukin-27","SBAGLIATA","MeSH:D064094 (Interleukin-27) porta 'IL-17D' fra i termini d'ingresso: e' un difetto di MeSH, e la regola lo eredita"
"CHEBI:40237","MeSH:D000068900","chebi","mesh","sitagliptin","T2_canonico_alias",FALSE,"sitagliptin","Sitagliptin Phosphate","giusta","sale contro base libera: stessa molecola attiva"
"HGNC:6934","MeSH:D051929","hgnc","mesh","melanomacelladhesionmolecule","T2_canonico_alias",FALSE,"MCAM (melanoma cell adhesion molecule)","CD146 Antigen","giusta",""
"HGNC:399","MeSH:D000418","hgnc","mesh","albumin","T2_canonico_alias",FALSE,"ALB (albumin)","Albumins","SBAGLIATA","MeSH:D000418 'Albumins' e' la CLASSE (plurale, include l'albumina bovina); ALB e' il gene umano"
"CHEBI:21759","MeSH:D008769","chebi","mesh","methylnitronitrosoguanidine","T2_canonico_alias",FALSE,"N-methyl-N'-nitro-N-nitrosoguanidine","Methylnitronitrosoguanidine","giusta",""
"CHEBI:5847","CHEMBL:CHEMBL225071","chebi","chembl","raltitrexed","T2_canonico_alias",FALSE,"ICI D1694","RALTITREXED","giusta",""
"CHEMBL:CHEMBL4298070","MeSH:D060890","chembl","mesh","programmedcelldeath1ligand1","T2_canonico_alias",FALSE,"PROGRAMMED CELL DEATH 1 LIGAND 1","B7-H1 Antigen","giusta",""
"CHEBI:15940","CHEMBL:CHEMBL573","chebi","chembl","nicotinicacid","T2_canonico_alias",FALSE,"nicotinic acid","NIACIN","giusta",""
"CHEBI:49852","MeSH:D004004","chebi","mesh","dichlororibofuranosylbenzimidazole","T2_canonico_alias",FALSE,"5,6-dichloro-1-β-D-ribofuranosyl-1H-benzimidazole","Dichlororibofuranosylbenzimidazole","giusta",""
"CHEBI:114785","MeSH:D000069347","chebi","mesh","erlotinib","T2_canonico_alias",FALSE,"erlotinib","Erlotinib Hydrochloride","giusta","sale contro base libera"
"CHEBI:28940","CHEMBL:CHEMBL1042","chebi","chembl","cholecalciferol","T2_canonico_alias",FALSE,"calciol","CHOLECALCIFEROL","giusta",""
"CHEBI:29073","MeSH:D001205","chebi","mesh","lascorbicacid","T2_canonico_alias",FALSE,"L-ascorbic acid","Ascorbic Acid","giusta",""
"CHEBI:4031","MeSH:D016572","chebi","mesh","cyclosporina","T2_canonico_alias",FALSE,"cyclosporin A","Cyclosporine","giusta",""
"CHEMBL:CHEMBL4297912","NCBITaxon:1678","chembl","ncbitaxon","bifidobacterium","T2_canonico_alias",FALSE,"BIFIDOBACTERIUM SPP.","bifidobacterium","giusta",""
