"gruppo","cluster_id","scrittura","k_stadio3"
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_0fcd8d51","CHEBI:220491",1
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_ecb9b976","CHEMBL:CHEMBL4456585",1
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_889ae73b","CHEBI:63451",2
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_ae927181","CHEMBL:CHEMBL1852688",1
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_70ec763f","CHEBI:80240",1
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472",1
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434",3
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881",4
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771",4
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962",2
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582",7
"HGNC:11892||gain||vehicle_untreated","cgroup_L5_d9e23e09","HGNC:11892",41
"HGNC:5977||gain||vehicle_untreated","cgroup_L5_bd40f34f","HGNC:5977",4
"HGNC:5977||gain||vehicle_untreated","cgroup_L5_d5036241","CHEMBL:CHEMBL4297989",2
"HGNC:6018||gain||vehicle_untreated","cgroup_L5_7a487535","MeSH:D015850",1
"HGNC:6018||gain||vehicle_untreated","cgroup_L5_a25d0964","HGNC:6018",10
