"gruppo","cluster_id","scrittura","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","design_summary","record_id"
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_0fcd8d51","CHEBI:220491","GSE229066","GSE229066__HCC1576_Compound4_vs_HCC1576_DMSO","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|HCC1576","vehicle","grp_HCC1576_Compound4","grp_HCC1576_DMSO","HCC1576 treated with Compound 4","HCC1576 treated with DMSO","cell_line=HCC1576 ; treatment=Compound 4","cell_line=HCC1576 ; treatment=DMSO",2,3,"treated","control","This study investigates the effects of various small molecules on gene expression in human epithelial cell lines OVCAR-8 and HCC1576.","GSE229066__GSE229066__HCC1576_Compound4_vs_HCC1576_DMSO__1"
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_0fcd8d51","CHEBI:220491","GSE229066","GSE229066__OVCAR-8_Compound4_vs_OVCAR-8_DMSO","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|OVCAR-8","vehicle","grp_OVCAR-8_Compound4","grp_OVCAR-8_DMSO","OVCAR-8 treated with Compound 4","OVCAR-8 treated with DMSO","cell_line=OVCAR-8 ; treatment=Compound 4","cell_line=OVCAR-8 ; treatment=DMSO",1,3,"treated","control","This study investigates the effects of various small molecules on gene expression in human epithelial cell lines OVCAR-8 and HCC1576.","GSE229066__GSE229066__OVCAR-8_Compound4_vs_OVCAR-8_DMSO__1"
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_ecb9b976","CHEMBL:CHEMBL4456585","GSE205802","GSE205802__grp_0002_vs_grp_0001","factorial","treatment_vs_vehicle","treatment","genotype|wild-type","vehicle","grp_0002","grp_0001","OCI-AML3 wild-type + WM-1119","OCI-AML3 wild-type + DMSO","treatment=WM-1119 ; genotype=wild-type","treatment=DMSO ; genotype=wild-type",3,3,"treated","control","This study investigates the effects of WM-1119 on OCI-AML3 cells, comparing treated and control conditions with and without CDKN2A knockout.","GSE205802__GSE205802__grp_0002_vs_grp_0001__1"
"CHEBI:220491||gain||vehicle_untreated","cgroup_L5_ecb9b976","CHEMBL:CHEMBL4456585","GSE205802","GSE205802__grp_0004_vs_grp_0003","factorial","treatment_vs_vehicle","treatment","genotype|CDKN2A knockout","vehicle","grp_0004","grp_0003","OCI-AML3 CDKN2A knockout + WM-1119","OCI-AML3 CDKN2A knockout + DMSO","treatment=WM-1119 ; genotype=CDKN2A knockout","treatment=DMSO ; genotype=CDKN2A knockout",3,3,"treated","control","This study investigates the effects of WM-1119 on OCI-AML3 cells, comparing treated and control conditions with and without CDKN2A knockout.","GSE205802__GSE205802__grp_0004_vs_grp_0003__1"
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_889ae73b","CHEBI:63451","GSE89127","GSE89127__grp_RT112_BGJ398_1uM_48h_vs_grp_RT112_DMSO_0.1pct_48h","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|RT112","vehicle","grp_RT112_BGJ398_1uM_48h","grp_RT112_DMSO_0.1pct_48h","RT112 BGJ398 1uM 48h","RT112 DMSO 0.1% 48h","cell_line=RT112 ; treatment=BGJ398","cell_line=RT112 ; treatment=DMSO",3,3,"treated","control","This study investigates the effects of various small molecule inhibitors on different cancer cell lines.","GSE89127__GSE89127__grp_RT112_BGJ398_1uM_48h_vs_grp_RT112_DMSO_0.1pct_48h__1"
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_889ae73b","CHEBI:63451","GSE92651","GSE92651__grp_DMS114_BGJ398_vs_grp_DMS114_control","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|DMS114 small cell lung cancer cell line","vehicle","grp_DMS114_BGJ398","grp_DMS114_control","DMS114 small cell lung cancer cell line, BGJ398","DMS114 small cell lung cancer cell line, control","cell_line=DMS114 small cell lung cancer cell line ; treatment=BGJ398","cell_line=DMS114 small cell lung cancer cell line ; treatment=control",1,1,"treated","control","This study investigates the effects of BGJ398, a small molecule inhibitor, on two different human cancer cell lines: DMS114 (small cell lung cancer) and RT112 (urothelial carcinoma). The study compares treated cells with vehicle controls.","GSE92651__GSE92651__grp_DMS114_BGJ398_vs_grp_DMS114_control__1"
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_889ae73b","CHEBI:63451","GSE92651","GSE92651__grp_RT112_BGJ398_vs_grp_RT112_control","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|RT112 urothelial carcinoma cell line","vehicle","grp_RT112_BGJ398","grp_RT112_control","RT112 urothelial carcinoma cell line, BGJ398","RT112 urothelial carcinoma cell line, control","cell_line=RT112 urothelial carcinoma cell line ; treatment=BGJ398","cell_line=RT112 urothelial carcinoma cell line ; treatment=control",1,1,"treated","control","This study investigates the effects of BGJ398, a small molecule inhibitor, on two different human cancer cell lines: DMS114 (small cell lung cancer) and RT112 (urothelial carcinoma). The study compares treated cells with vehicle controls.","GSE92651__GSE92651__grp_RT112_BGJ398_vs_grp_RT112_control__1"
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_ae927181","CHEMBL:CHEMBL1852688","GSE168023","GSE168023__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_vehicle","treatment","genetic_perturbation|none","vehicle","grp_0002","grp_0001","CAL-120 breast cancer cells treated with infigratinib for 4 hours","CAL-120 breast cancer cells treated with DMSO","treatment=infigratinib ; genetic_perturbation=none","treatment=DMSO ; genetic_perturbation=none",2,2,"treated","control","This study investigates the effects of infigratinib treatment on CAL-120 breast cancer cells, including various perturbations such as genetic knockouts and treatments.","GSE168023__GSE168023__grp_0002_vs_grp_0001__1"
"CHEBI:63451||gain||vehicle_untreated","cgroup_L5_ae927181","CHEMBL:CHEMBL1852688","GSE168023","GSE168023__grp_0004_vs_grp_0001","multi_arm_treatment","treatment_vs_vehicle","treatment","genetic_perturbation|none","vehicle","grp_0004","grp_0001","CAL-120 breast cancer cells treated with infigratinib for 12 days","CAL-120 breast cancer cells treated with DMSO","treatment=infigratinib ; genetic_perturbation=none","treatment=DMSO ; genetic_perturbation=none",3,2,"treated","control","This study investigates the effects of infigratinib treatment on CAL-120 breast cancer cells, including various perturbations such as genetic knockouts and treatments.","GSE168023__GSE168023__grp_0004_vs_grp_0001__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_70ec763f","CHEBI:80240","GSE196065","GSE196065__endothelin-1_vs_control","multi_arm_treatment","treatment_vs_untreated","treatment","","untreated","grp_0001","grp_0003","endothelin-1","control","treatment=endothelin-1","treatment=none",2,4,"treated","control","This study investigates the effects of endothelin-1 and macitentan on patient-derived high-grade serous ovarian cancer (HG-SOC) primary cells.","GSE196065__GSE196065__endothelin-1_vs_control__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_70ec763f","CHEBI:80240","GSE196065","GSE196065__endothelin-1_vs_control","multi_arm_treatment","treatment_vs_untreated","treatment","","untreated","grp_0002","grp_0003","endothelin-1","control","treatment=endothelin-1","treatment=none",1,4,"treated","control","This study investigates the effects of endothelin-1 and macitentan on patient-derived high-grade serous ovarian cancer (HG-SOC) primary cells.","GSE196065__GSE196065__endothelin-1_vs_control__2"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_70ec763f","CHEBI:80240","GSE196065","GSE196065__endothelin-1_vs_control","multi_arm_treatment","treatment_vs_untreated","treatment","","untreated","grp_0008","grp_0003","endothelin-1","control","treatment=endothelin-1","treatment=none",1,4,"treated","control","This study investigates the effects of endothelin-1 and macitentan on patient-derived high-grade serous ovarian cancer (HG-SOC) primary cells.","GSE196065__GSE196065__endothelin-1_vs_control__3"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_Endothelin_vs_grp_DMSO_1","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","mg7","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin","treatment=DMSO",3,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_Endothelin_vs_grp_DMSO_1__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_1","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg94","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",3,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_1__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_2","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg95","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_2__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_3","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg96","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_3__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_4","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg97","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_4__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_5","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg98","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_5__1"
