"caso","ruolo","entita","cluster_id","control_key_cluster","canonical_name","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","treated_samples","control_samples","design_summary","record_id","valore_controllo","chiave_ricalcolata","ct_compat_vu","mat_T","mat_C"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE113882","GSE113882__grp_0002_vs_grp_0001","time_course","treatment_vs_untreated","duration","treatment|hypoxia|duration|8hr","untreated","grp_0002","grp_0001","Hypoxia 8hr","Untreated Sebaceous Gland","treatment=hypoxia ; duration=8hr","treatment=none ; duration=0hr",1,1,"treated","control","GSM3122539","GSM3122538","This study investigates the effects of hypoxia on human sebaceous glands over different durations.","GSE113882__GSE113882__grp_0002_vs_grp_0001__1","0hr","NA",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE113882","GSE113882__grp_0003_vs_grp_0001","time_course","treatment_vs_untreated","duration","treatment|hypoxia|duration|24hr","untreated","grp_0003","grp_0001","Hypoxia 24hr","Untreated Sebaceous Gland","treatment=hypoxia ; duration=24hr","treatment=none ; duration=0hr",1,1,"treated","control","GSM3122540","GSM3122538","This study investigates the effects of hypoxia on human sebaceous glands over different durations.","GSE113882__GSE113882__grp_0003_vs_grp_0001__1","0hr","NA",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE113882","GSE113882__grp_0004_vs_grp_0001","time_course","treatment_vs_untreated","duration","treatment|hypoxia|duration|48hr","untreated","grp_0004","grp_0001","Hypoxia 48hr","Untreated Sebaceous Gland","treatment=hypoxia ; duration=48hr","treatment=none ; duration=0hr",1,1,"treated","control","GSM3122541","GSM3122538","This study investigates the effects of hypoxia on human sebaceous glands over different durations.","GSE113882__GSE113882__grp_0004_vs_grp_0001__1","0hr","NA",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE120523","GSE120523__grp_0006_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0006","grp_0003","Hypoxia 1","Vehicle Control 1","treatment=hypoxia","treatment=vehicle",1,1,"treated","control","GSM3402521","GSM3402524","The study investigates the effects of TEPA and hypoxia on EA.Hy926 cells.","GSE120523__GSE120523__grp_0006_vs_grp_0003__1","vehicle","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE120523","GSE120523__grp_0007_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0007","grp_0003","Hypoxia 2","Vehicle Control 1","treatment=hypoxia","treatment=vehicle",2,1,"treated","control","GSM3402522;GSM3402523","GSM3402524","The study investigates the effects of TEPA and hypoxia on EA.Hy926 cells.","GSE120523__GSE120523__grp_0007_vs_grp_0003__1","vehicle","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE120611","GSE120611__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","","untreated","grp_0002","grp_0001","Hypoxia","Control (EV+Nx)","treatment=hypoxia","treatment=none",1,1,"treated","control","GSM3405799","GSM3405797","This study investigates the effects of hypoxia and YTHDF2 overexpression on SMMC-7721 liver cancer cells.","GSE120611__GSE120611__grp_0002_vs_grp_0001__1","none","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE120886","GSE120886__HKC8_hypoxia_vs_HKC8_untreated","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|HKC8","untreated","grp_0004","grp_0003","HKC8 hypoxia","HKC8 untreated","cell_line=HKC8 ; treatment=hypoxia","cell_line=HKC8 ; treatment=untreated",3,3,"treated","control","GSM3417847;GSM3417848;GSM3417849","GSM3417844;GSM3417845;GSM3417846","This study investigates the effects of hypoxia on different human cell lines, including HepG2, HKC8, and RCC4+VHL cells.","GSE120886__GSE120886__HKC8_hypoxia_vs_HKC8_untreated__1","untreated","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE123571","GSE123571__hypoxia_vs_control","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|HeLa","vehicle","grp_0003","grp_0002","HeLa cells under hypoxia","Control HeLa cells","treatment=hypoxia ; cell_type=HeLa","treatment=control ; cell_type=HeLa",1,1,"treated","control","GSM3507326","GSM3507324","This study investigates the effects of AntA and hypoxia treatments on HeLa cells.","GSE123571__GSE123571__hypoxia_vs_control__1","control","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE139963","GSE139963__grp_0001_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0001","grp_0003","Hypoxia","PBS (Vehicle Control)","treatment=hypoxia","treatment=PBS (vehicle)",3,3,"treated","control","GSM4150589;GSM4150590;GSM4150591","GSM4150583;GSM4150584;GSM4150585","This study investigates the effects of hypoxia and TGF-β1 on human lung fibroblast cells.","GSE139963__GSE139963__grp_0001_vs_grp_0003__1","PBS (vehicle)","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE141941","GSE141941__hypoxia_6h_vs_untreated","time_course","treatment_vs_untreated","time","treatment|hypoxia|time|6h","untreated","grp_0002","grp_0001","HeLa hypoxia 6h","HeLa untreated","treatment=hypoxia ; time=6h","treatment=none ; time=0h",1,1,"treated","control","GSM4216725","GSM4216723","This study investigates the transcriptional response of HeLa cells to hypoxia over different time points.","GSE141941__GSE141941__hypoxia_6h_vs_untreated__1","0h","NA",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE141941","GSE141941__hypoxia_12h_vs_untreated","time_course","treatment_vs_untreated","time","treatment|hypoxia|time|12h","untreated","grp_0003","grp_0001","HeLa hypoxia 12h","HeLa untreated","treatment=hypoxia ; time=12h","treatment=none ; time=0h",1,1,"treated","control","GSM4216727","GSM4216723","This study investigates the transcriptional response of HeLa cells to hypoxia over different time points.","GSE141941__GSE141941__hypoxia_12h_vs_untreated__1","0h","NA",TRUE,"unknown","unknown"
