"caso","gse","membri","controllo_e_time_zero","esempio_T","esempio_C"
"hypoxia","GSE120886",1,FALSE,"HKC8 hypoxia","HKC8 untreated"
"hypoxia","GSE139963",1,FALSE,"Hypoxia","PBS (Vehicle Control)"
"hypoxia","GSE154427",2,FALSE,"human aortic smooth muscle cells, Hypoxia","human aortic smooth muscle cells, Control"
"hypoxia","GSE163827",2,FALSE,"Brain endothelial cells, hypoxia","Brain endothelial cells, untreated"
"hypoxia","GSE193133",2,FALSE,"MDA-MB-231 wild-type hypoxia 24h","MDA-MB-231 wild-type untreated"
"hypoxia","GSE226005",2,FALSE,"Hypoxia","Control (None)"
"hypoxia","GSE267662",1,FALSE,"Hypoxia-treated HUVEC","Normal HUVEC"
"hypoxia","GSE70544",1,FALSE,"Hypoxia Treated","Control"
"SARS-CoV-2","GSE161281",1,FALSE,"SARS-CoV-2 infected hESC-derived peripheral neurons","Uninfected hESC-derived peripheral neurons"
"SARS-CoV-2","GSE237059",2,FALSE,"SARS-CoV-2 WA1 (sheared)","Uninfected (sheared)"
"HBV","GSE141198",2,FALSE,"Hepatocellular carcinoma, HBV","Hepatocellular carcinoma, no treatment"
