"entita","cluster_id_vincente","cluster_id_assorbito","control_key_vincente_prima","k_vincente_prima","k_dopo_fusione","nel_214","k_eff_oggi","gia_giudicato"
"NCBITaxon:10359","cgroup_L5_444e7fc2","cgroup_L5_eff40d9b","vehicle_untreated",12,13,TRUE,9,FALSE
"NCBITaxon:11320","cgroup_L5_79a73ac5","cgroup_L5_a299eca9","vehicle_untreated",9,10,TRUE,7,FALSE
"STR:atra","cgroup_L5_a8ff7b6d","cgroup_L5_06b5da4a","vehicle_untreated",9,9,TRUE,5,FALSE
"NCBITaxon:10298","cgroup_L5_7cc951b5","cgroup_L5_1b7f19cc","vehicle_untreated",5,5,FALSE,NA,FALSE
"NCBITaxon:12814","cgroup_L5_e25d67cf","cgroup_L5_5b37d889","vehicle_untreated",4,5,FALSE,NA,FALSE
"NCBITaxon:3052230","cgroup_L5_6b0fd283","cgroup_L5_67a1cfc1","uninfected",2,3,FALSE,NA,FALSE
"STR:kshv","cgroup_L5_179d71b0","cgroup_L5_dbd518d4","vehicle_untreated",2,3,FALSE,NA,FALSE
"STR:mr766","cgroup_L5_babc7ecd","cgroup_L5_9ff60287","vehicle_untreated",2,3,FALSE,NA,FALSE
"NCBITaxon:147711","cgroup_L5_ccefbba3","cgroup_L5_0cfef990","uninfected",1,2,FALSE,NA,FALSE
"STR:symptomatic","cgroup_L5_95f8c0ec","cgroup_L5_9fa7c92d","vehicle_untreated",1,2,FALSE,NA,FALSE
"STR:hypoxia","cgroup_L5_83f57274","cgroup_L5_5ed15418","normoxia",37,49,TRUE,25,TRUE
"NCBITaxon:2697049","cgroup_L5_871ae09e","cgroup_L5_89b5ca86","vehicle_untreated",38,41,TRUE,34,TRUE
"STR:obese","cgroup_L5_3ec58cd6","cgroup_L5_0e1c93f7","vehicle_untreated",7,10,TRUE,7,TRUE
