"caso","ruolo","entita","cluster_id","control_key_cluster","canonical_name","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","treated_samples","control_samples","design_summary","record_id"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE120890","GSE120890__grp_CMV_AD169_vs_grp_mock","treatment_vs_vehicle","treatment_vs_vehicle","treatment","cell_type|MRC5|time(hours)|48","vehicle","grp_CMV_AD169","grp_mock","MRC5 lung cells treated with CMV/AD169 for 48 hours","MRC5 lung cells mock-treated for 48 hours","treatment=CMV/AD169 ; time(hours)=48","treatment=mock ; time(hours)=48",1,3,"treated","control","GSM3417897","GSM3417892;GSM3417893;GSM3417894","This study investigates the transcriptional response of MRC5 lung cells to CMV/AD169 infection compared to a mock-treated control.","GSE120890__GSE120890__grp_CMV_AD169_vs_grp_mock__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE120891","GSE120891__ARPE19_CMV_TB40e_vs_ARPE19_mock","multi_arm_treatment","treatment_vs_vehicle","virus","cell_line|ARPE19","vehicle","grp_ARPE19_CMV_TB40e","grp_ARPE19_mock","ARPE19 cells exposed to CMV/TB40e","ARPE19 cells mock-infected","virus=CMV/TB40e ; cell_line=ARPE19","virus=mock ; cell_line=ARPE19",2,2,"treated","control","GSM3417910;GSM3417911","GSM3417908;GSM3417909","This study investigates the host response to various viral infections in human cells using RNA sequencing.","GSE120891__GSE120891__ARPE19_CMV_TB40e_vs_ARPE19_mock__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE120891","GSE120891__MRC5_CMV_AD169_vs_MRC5_mock_48h","multi_arm_treatment","treatment_vs_vehicle","virus","cell_line|MRC5","vehicle","grp_MRC5_CMV_AD169","grp_MRC5_mock_48h","MRC5 cells exposed to CMV/AD169","MRC5 cells mock-infected for 48 hours","virus=CMV/AD169 ; cell_line=MRC5","virus=mock ; cell_line=MRC5",2,2,"treated","control","GSM3417904;GSM3417905","GSM3417898;GSM3417899","This study investigates the host response to various viral infections in human cells using RNA sequencing.","GSE120891__GSE120891__MRC5_CMV_AD169_vs_MRC5_mock_48h__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE120891","GSE120891__MRC5_CMV_TB40_vs_MRC5_mock_48h","multi_arm_treatment","treatment_vs_vehicle","virus","cell_line|MRC5","vehicle","grp_MRC5_CMV_TB40","grp_MRC5_mock_48h","MRC5 cells exposed to CMV/TB40","MRC5 cells mock-infected for 48 hours","virus=CMV/TB40 ; cell_line=MRC5","virus=mock ; cell_line=MRC5",2,2,"treated","control","GSM3417900;GSM3417901","GSM3417898;GSM3417899","This study investigates the host response to various viral infections in human cells using RNA sequencing.","GSE120891__GSE120891__MRC5_CMV_TB40_vs_MRC5_mock_48h__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE120891","GSE120891__MRC5_CMV_TB40e_vs_MRC5_mock_48h","multi_arm_treatment","treatment_vs_vehicle","virus","cell_line|MRC5","vehicle","grp_MRC5_CMV_TB40e","grp_MRC5_mock_48h","MRC5 cells exposed to CMV/TB40e","MRC5 cells mock-infected for 48 hours","virus=CMV/TB40e ; cell_line=MRC5","virus=mock ; cell_line=MRC5",2,2,"treated","control","GSM3417906;GSM3417907","GSM3417898;GSM3417899","This study investigates the host response to various viral infections in human cells using RNA sequencing.","GSE120891__GSE120891__MRC5_CMV_TB40e_vs_MRC5_mock_48h__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE130665","GSE130665__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","pathogen_or_aggregate_exposure","genetic_knockdown|siNT","genetic_negative","grp_0001","grp_0002","siNT + CMV/TB40 strain","siNT + mock infected","genetic_knockdown=siNT ; pathogen_or_aggregate_exposure=CMV/TB40 strain","genetic_knockdown=siNT",2,2,"treated","control","GSM3746616;GSM3746617","GSM3746612;GSM3746613","This study investigates the role of P2Y2 receptor in human lung fibroblasts during CMV infection.","GSE130665__GSE130665__grp_0001_vs_grp_0002__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE130665","GSE130665__grp_0005_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","pathogen_or_aggregate_exposure","genetic_knockdown|siP2Y2","secondary_arm","grp_0005","grp_0003","siP2Y2 + CMV/TB40 strain","siP2Y2 + mock infected","genetic_knockdown=siP2Y2 ; pathogen_or_aggregate_exposure=CMV/TB40 strain","genetic_knockdown=siP2Y2",2,1,"treated","treated","GSM3746618;GSM3746619","GSM3746614","This study investigates the role of P2Y2 receptor in human lung fibroblasts during CMV infection.","GSE130665__GSE130665__grp_0005_vs_grp_0003__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE141236","GSE141236__grp_0002_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","infection","cell_type|Monocyte|context_kind|primary_culture","untreated","grp_0002","grp_0004","Monocytes exposed to HCMV","Uninfected THP-1 cells (control)","infection=Human cytomegalovirus (HCMV) ; cell_type=Monocyte ; context_kind=primary_culture","infection=None ; cell_type=THP-1 ; context_kind=cell_line_in_vitro",3,3,"treated","control","GSM4199151;GSM4199152;GSM4199153","GSM4199157;GSM4199158;GSM4199159","This study investigates the transcriptional response of human monocytes to Mycobacterium massiliense and Human cytomegalovirus (HCMV) infections.","GSE141236__GSE141236__grp_0002_vs_grp_0004__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE145415","GSE145415__CMV_infection_vs_mock_infection","case_control_disease","case_control_disease","infection_status","","vehicle","grp_CMV_infection","grp_mock_infection","CMV infection","Mock infection","infection_status=CMV infection","infection_status=mock infection",1,1,"treated","control","GSM4317907","GSM4317906","This study investigates the effects of CMV infection on iPSC-derived brain organoids compared to mock-infected controls.","GSE145415__GSE145415__CMV_infection_vs_mock_infection__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE159235","GSE159235__virus_CMV_strain_TB40_vs_mock","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0005","grp_0004","virus CMV strain TB40","mock","treatment=virus CMV strain TB40","treatment=mock",2,2,"treated","control","GSM4824187;GSM4824188","GSM4824185;GSM4824186","This study investigates the effects of zeocin treatment on human retinal pigment epithelial cells (ARPE-19) compared to various controls including water, mock treatments, and virus exposure.","GSE159235__GSE159235__virus_CMV_strain_TB40_vs_mock__1"
