"entita","identita","cluster_vincente","cluster_assorbito","nel_214","verdetto","k_s3_prima","k_s3_dopo","guad_s3","k_eff_vincente","k_eff_assorbito_solo","k_eff_fusi","guad_k_eff","passa_gate_prima","passa_gate_dopo","studi_che_entrano_nel_keff","prova","difetto_che_la_fusione_porta","difetti_preesistenti_nel_vincente","clinico_vs_sperimentale"
"NCBITaxon:10359","Human betaherpesvirus 5 = CMV umano (il canonical_name del vincente, 'influenza virus', e' SBAGLIATO: influenza virus e' taxid 11309; il deliverable lo etichetta correttamente 'HCMV')","cgroup_L5_444e7fc2","cgroup_L5_eff40d9b",TRUE,"STESSO CONTRASTO",12,13,1,9,1,10,1,TRUE,TRUE,"GSE63797","ASSORBITO = GSE63797, un solo studio, 3 confronti: fibroblasti di prepuzio umano esposti a 'Human herpesvirus 5' per 24/48/72h contro 'Uninfected control'. Il VINCENTE e' 12 studi di CMV/HCMV contro mock (control_type: vehicle 15, untreated 7, secondary_arm 3, genetic_negative 1 su 26 membri): 'mock' e 'uninfected' sono la stessa coltura non infettata, e 'mock' e' nel vocabolario veh_tok mentre 'uninfected' non e' in NESSUNA delle due liste -> omissione di vocabolario, non distinzione semantica. Zero bracci invertiti, zero campioni in comune, materiale confrontabile (fibroblasti umani, in vitro), il controllo non contiene l'entita.","Il controllo di GSE63797 e' a TEMPO ZERO (control_type=time_zero su 3/3, factor_levels time=0h contro 24/48/72h del trattato): il tempo non e' appaiato. Stessa classe di difetto gia' censita nel gruppo ipossia (GSE113882/GSE141941). Inoltre i 3 confronti condividono lo stesso controllo grp_0004 = pseudo-replicazione intra-studio (collassata da .collapse_arms_by_study).","Il gruppo e' GIA' marcato INCOERENTE nella rilettura dei 214 (verdetto_finale=incoerente, coherence_verdict automatico=coherent): GSE203395 sono PBMC di un trial di vaccinazione BCG stratificati per sierostato CMV (esposizione naturale, 6 membri su 26), GSE141236 appaia 'Monocytes exposed to HCMV' (monociti primari) contro 'Uninfected THP-1 cells' (linea leucemica). GSE81637 contribuisce 4 membri che sono 2 contrasti (decidua e placenta, ciascuno doppio).","Presente nel VINCENTE (GSE203395, 6 membri clinici su 26; il mio scan segnala clin=6/26 e clin_ctrl=6/26). ASSENTE nell'assorbito: GSE63797 e' infezione sperimentale in vitro (clin=0/3). La fusione NON aggiunge questo difetto, lo diluisce."
"NCBITaxon:11320","Influenza A virus (il canonical_name dell'assorbito, 'SARS-CoV-2', e' SBAGLIATO: SARS-CoV-2 e' taxid 2697049; il design_summary e le etichette dell'assorbito dicono IAV, quindi l'ID e' giusto e l'etichetta e' sbagliata)","cgroup_L5_79a73ac5","cgroup_L5_a299eca9",TRUE,"STESSO CONTRASTO",9,10,1,7,1,8,1,TRUE,TRUE,"GSE206606","ASSORBITO = GSE206606, 3 confronti: 'AEC IAV' / 'AM IAV' / 'HuLu IAV' contro 'AEC/AM/HuLu uninfected', cell_type tenuto FISSO in ciascun confronto, infezione sperimentale (design_summary: 'transcriptional response of human lung cells to Influenza A Virus (IAV) infection'). Il VINCENTE e' 9 studi, 11/13 membri con control_type=vehicle e controllo scritto 'Mock'/'PBS'. Zero invertiti, zero campioni in comune, materiale confrontabile (cellule polmonari umane in vitro), controllo senza l'entita.","Nessuno nuovo. Solo 1 dei 3 confronti dell'assorbito ha entrambi i bracci con n>=2 (AEC 3v3); AM e HuLu hanno il controllo a n=1 e non risolvono.","Il gruppo e' GIA' marcato INCOERENTE (verdetto_finale=incoerente E coherence_verdict=incoherent) per GSE113210 ('influenza at AV' contro 'Control CV' = sigle di visita clinica su PBMC di pazienti pediatrici) e GSE197143 (Influenza B, non A). TERZO DIFETTO TROVATO QUI, NON nella rilettura: GSE134817 'HepG2/THP-1 cells treated with Flu' NON e' influenza ma FLUVASTATINA -- lo studio ha 52 bracci che sono un pannello di statine (Ato, Flu, Ros, Sim, Non, Statins, vehicle) e il suo design_summary dice 'effects of various statins'. GSE134817 e' uno dei 7 studi che risolvono nel k_eff, cioe' il difetto e' DENTRO il poolato.","Presente nel VINCENTE (GSE113210, clinico). ASSENTE nell'assorbito (GSE206606 = infezione in vitro, clin=0/3). La fusione non aggiunge il difetto."
"STR:atra","scrittura non risolta: ATRA = acido retinoico all-trans. NB il canonical_name del vincente ('spin probe') e dell'assorbito ('2,3,4,5-Tetrachloro-4-biphenylol') sono entrambi SBAGLIATI","cgroup_L5_a8ff7b6d","cgroup_L5_06b5da4a",TRUE,"STESSO CONTRASTO ma GUADAGNO ZERO: fusione da NON applicare",9,9,0,5,0,5,0,TRUE,TRUE,"","I due cluster contengono LO STESSO STUDIO, GSE202458, e nessun altro nell'assorbito: nel vincente 'A549 + ATRA + normoxia' contro 'A549 + ethanol (vehicle) + normoxia'; nell'assorbito gli STESSI due bracci trattati contro 'A549 + normoxia' (senza veicolo). Misurato: 0 studi nuovi (k Stadio 3 9->9), 2 bracci trattati IDENTICI, 3 campioni trattati IN COMUNE (GSM6122780, GSM6122774, GSM6122785). Il contrasto e' biologicamente lo stesso (ATRA contro assenza di ATRA, ossigeno tenuto fisso a normossia in entrambi i bracci di entrambi i membri), ma il controllo dell'assorbito non contiene il veicolo (etanolo), quindi il suo delta include l'effetto del solvente.","Doppio conteggio: gli stessi 3 campioni ATRA entrerebbero due volte nello stesso gruppo, contro due controlli diversi dello stesso studio. Misurato che non compra niente: k_eff del vincente 5, dell'assorbito da solo 0, dei fusi 5. GSE202458 NON risolve in nessuno dei due (tutti i suoi bracci hanno un lato a n=1), quindi la fusione e' un no-op nel poolato e resta solo il rischio.","Il gruppo e' marcato COERENTE nella rilettura dei 214, peso dei confronti citati 0. Ma k_kish 2,64 su k_effective 5 = meno di 3 studi efficaci. GSE163428 confronto 1 appaia SK-N-BE(2)+ATRA contro SK-N-BE(2)C+ethanol = LINEA DIVERSA fra i bracci. GSE175757 usa 'ATRA 1mM' su Kasumi1 con 5 varianti geniche diverse, tutte contro controlli non trattati della stessa variante (corretto) ma con n=1 per braccio.","Assente da entrambi i lati: tutti e 10 gli studi sono linee cellulari o colture primarie."
"NCBITaxon:10298","Human alphaherpesvirus 1 = HSV-1","cgroup_L5_7cc951b5","cgroup_L5_1b7f19cc",FALSE,"STESSO CONTRASTO ma GUADAGNO ZERO: fusione da NON applicare",5,5,0,1,0,1,0,FALSE,FALSE,"","Come ATRA: i due cluster contengono LO STESSO STUDIO, GSE201012, e nulla piu' nell'assorbito. Vincente: 'HSV1 KOS infected' contro 'Mock infected' (n=2 contro 1). Assorbito: LO STESSO braccio trattato contro 'Uninfected' (n=2 contro 1). Il design_summary dello studio lo dice: 'compared to mock and uninfected controls'. Misurato: 0 studi nuovi (5->5), 1 braccio trattato identico, 2 campioni trattati in comune (GSM6048520, GSM6048521).","Doppio conteggio degli stessi 2 campioni infetti. Nessun guadagno: k_eff 1 prima, 1 dopo; entrambi i controlli di GSE201012 hanno n=1 e non passano n_min=2.","Il gruppo NON e' nel deliverable dei 214: 5 studi allo Stadio 3 ma k_eff misurato = 1 (solo GSE209632 ha entrambi i bracci a n>=2), 8 membri su 11 hanno un lato sotto n_min. GSE209632 da solo porta 6 dei 11 membri (3 tempi x 2 genotipi contro 2 soli controlli mock).","Assente da entrambi i lati."
"NCBITaxon:12814","Respiratory syncytial virus (RSV) (il canonical_name dell'assorbito, 'Mycobacterium tuberculosis', e' SBAGLIATO: M. tuberculosis e' taxid 1773; il design_summary dell'assorbito dice RSV, quindi l'ID e' giusto)","cgroup_L5_e25d67cf","cgroup_L5_5b37d889",FALSE,"CONTRASTI DIVERSI",4,5,1,2,0,2,0,FALSE,FALSE,"","ASSORBITO = GSE183435, 'transcriptional response of human LUNG TISSUE to RSV infection': 'Infected with RSV' (n=2, age=16) contro 'Uninfected control 1' (n=1, age=24) e 'Uninfected control 2' (n=1, age=15). E' tessuto polmonare di soggetti DIVERSI, infezione avvenuta nella persona, non nella piastra: infezione CLINICA. Il nucleo del VINCENTE e' infezione sperimentale in vitro (GSE140226 A549/H292/HBEC contro mock, GSE146795 NHBE contro mock, GSE228327 lung epithelial contro control). Il mio scan lo misura: assorbito clin=2/2 e clin_ctrl=2/2; vincente clin=3/9 (tutti e 3 da GSE113210). E' il meccanismo che ha reso incoerenti influenza e HIV-1 in questo progetto.","Aggiunge un SECONDO studio clinico a un gruppo che ne ha gia' uno (GSE113210, PBMC di pazienti pediatrici RSV-positivi contro 'Control CV'), portandolo a 2 clinici su 5 studi. In piu': soggetti disallineati (16 anni contro 24 e 15), controlli a n=1, e i 2 membri riusano lo STESSO braccio trattato contro due controlli singoli diversi (1 contrasto vero, 2 membri).","GSE113210 e' clinico e usa le sigle di visita 'AV'/'CV' (difetto storico noto del progetto su questo stesso studio); i suoi 3 membri sono 3 sottogruppi virali contro lo stesso controllo n=7, e uno di essi ('virus positive at AV, RSV, rhinovirus') e' una CO-INFEZIONE RSV+rinovirus. 7 membri su 9 hanno un lato sotto n_min.","PRESENTE E AGGRAVATO dalla fusione. Nota misurata: la guardia '_clin' della chiave di controllo NON e' scattata su GSE183435 (chiave 'uninfected' e non 'uninfected_clin') pur avendo age per braccio; nello stesso entita esiste cgroup_L5_57923e69 con chiave 'uninfected_clin' (32 membri) che la correzione NON fonde. La guardia clinica quindi copre alcuni casi e non altri."
"NCBITaxon:3052230","Orthohepacivirus hominis = virus dell'epatite C (HCV)","cgroup_L5_6b0fd283","cgroup_L5_67a1cfc1",FALSE,"STESSO CONTRASTO (ma il candidato nuovo a k=3 NON esiste nel poolato)",2,3,1,2,0,2,0,FALSE,FALSE,"","ASSORBITO = GSE211161: epatociti umani primari da paziente infettati in vitro con 'HCV JFH-1 MOI = 1 Day 2' (n=2) contro 'Control; No Treatment' / 'Control' (n=1 ciascuno). VINCENTE: GSE103729 (Huh-7.5, 'HCV Infected' n=9 contro 'Uninfected Control'/'Vehicle Control'/'Vehicle Only' n=3 ciascuno) e GSE130891 (Huh7, 'Huh7_HCV_JFH-1_48h' n=3 contro 'Huh7_uninfected_48h' n=6). Tutti e tre: infezione SPERIMENTALE con lo stesso isolato di riferimento (JFH-1 in due studi su tre), tempo appaiato, controllo senza virus. Nessun invertito, nessun campione in comune. Il materiale differisce (epatociti primari da paziente contro linee di epatoma Huh7/Huh-7.5) ma il contrasto e' lo stesso.","Nessuno di contrasto. Ma il guadagno promesso non si materializza: k Stadio 3 2->3, k_eff MISURATO 2->2. GSE211161 ha il controllo a n=1 su entrambi i confronti e non passa n_min=2. Il gruppo resta fuori dal deliverable.","GSE103729 porta 3 membri che sono lo STESSO braccio trattato (n=9) contro 3 controlli diversi dello stesso studio = 1 contrasto vero, 3 membri (pseudo-replicazione).","Assente da entrambi i lati: 'patient-derived primary hepatocytes' e' MATERIALE di paziente, ma l'infezione e' avvenuta in vitro (MOI dichiarato). Non e' il meccanismo clinico-contro-sperimentale."
"STR:kshv","scrittura non risolta: KSHV = herpesvirus del sarcoma di Kaposi, HHV-8 (NCBITaxon:37296 = human gammaherpesvirus 8, verificato nel dizionario)","cgroup_L5_179d71b0","cgroup_L5_dbd518d4",FALSE,"STESSO CONTRASTO",2,3,1,2,1,3,1,FALSE,TRUE,"GSE92341","Tutti e tre gli studi sono infezione sperimentale con KSHV di cellule umane contro mock/uninfected, con n=3 contro n=3 su OGNI braccio: VINCENTE GSE223396 (cellule epiteliali gengivali umane, KSHV contro mock) e GSE84237 (cellule endoteliali microvascolari hTert, KSHV contro mock, passaggio 60-70 tenuto fisso); ASSORBITO GSE92341 (cellule del legamento parodontale umano, KSHV 48h e 96h contro 'Uninfected'). Zero clinici, zero invertiti, zero campioni in comune, controllo senza l'entita, tempo dichiarato.","I 2 membri dell'assorbito (48h e 96h) condividono lo stesso controllo = 1 studio, 2 membri (collassati per studio dal dispatch).","Nessun difetto di appaiamento trovato. MA: e' un FRAMMENTO. La stessa entita biologica ha un secondo cluster non fuso, cgroup_L5_bca0db48 = STR:rkshv_219 ('Kaposi's sarcoma-associated herpesvirus', 2 studi, ceppo ricombinante rKSHV.219) piu' cgroup_L5_d1323075 (chiave 'non infected', 1 studio): il KSHV vale potenzialmente 5-6 studi, non 3.","Assente da entrambi i lati."
"STR:mr766","scrittura non risolta: MR766 = ceppo ugandese prototipo del virus Zika (NCBITaxon:64320 = Zika virus, verificato)","cgroup_L5_babc7ecd","cgroup_L5_9ff60287",FALSE,"STESSO CONTRASTO (ma il candidato nuovo a k=3 NON esiste nel poolato, ed e' un frammento)",2,3,1,1,0,1,0,FALSE,FALSE,"","Tutti e tre: infezione sperimentale con il ceppo MR766 contro mock/uninfected. VINCENTE GSE122193 (MSC da cordone ombelicale, MR766 4hpi e 48hpi contro Mock) e GSE149775 (SH-SY5Y, MR766 contro Mock). ASSORBITO GSE171648 (cellule placentari BeWo, 'ZIKV MR766 (MOI=1, 72h)' n=1 contro 'Control (uninfected)' n=3). Nessun clinico, nessun invertito, nessun campione in comune.","Nessuno di contrasto, e nessun guadagno: k Stadio 3 2->3 ma k_eff MISURATO 1->1 (GSE171648 ha il trattato a n=1; GSE122193 ha 1 contro 1 su entrambi i confronti). Il gruppo resta a un solo studio efficace.","GSE122193 confronto 2: trattato a 48hpi contro un controllo con infection_duration=4h -> TEMPO NON APPAIATO. GSE149775 e' uno studio su DENGUE ('response of SH-SY5Y to Dengue virus (DENV) infection') con un braccio MR766, e i suoi 2 membri riusano lo stesso braccio trattato contro 2 mock diversi. FRAMMENTO: esiste cgroup_L5_8c9339f5 = NCBITaxon:64320 'Zika virus' con 6 STUDI, dove questi studi andrebbero.","Assente da entrambi i lati."
"NCBITaxon:147711","Rhinovirus A (rinovirus umano A; RV-A1 e RV-A16 sono entrambi sierotipi della specie A)","cgroup_L5_ccefbba3","cgroup_L5_0cfef990",FALSE,"STESSO CONTRASTO",1,2,1,1,1,2,1,FALSE,FALSE,"GSE106388","La coppia piu' pulita delle dieci: sono due volte lo STESSO disegno. VINCENTE GSE146532: cellule epiteliali bronchiali di soggetti asmatici / BPCO / sani, 'Rhinovirus 1A' contro 'Uninfected' a 24/48/72/96h, con disease_state E time tenuti FISSI in ciascuno dei 12 confronti, n 4-5 per braccio. ASSORBITO GSE106388: cellule epiteliali bronchiali primarie di donatori sani e asmatici lievi, 'RV16 infected' contro 'uninfected' con disease_state tenuto fisso (n=15 contro 15 e n=4 contro 4). Infezione sperimentale in coltura in ENTRAMBI, la malattia del donatore e' uno strato tenuto costante, non il contrasto.","Nessuno. I 12 membri del vincente sono 3 strati x 4 tempi contro lo stesso strato = pseudo-replicazione intra-studio, gia' presente prima della fusione.","Sierotipi diversi (RV-A1 contro RV-A16): stessa specie, ceppi diversi. control_type dell'assorbito = disease_normal su 2/2 mentre il varying_factor e' 'perturbation' -> il campo control_type e' fuorviante (il contrasto e' infezione, non malattia).","ASSENTE, malgrado il mio scan segnali clin=12/12 nel vincente e 2/2 nell'assorbito: sono falsi positivi della mia regex, che aggancia 'asthma'/'COPD'/'healthy'/'disease_state' e sono lo STRATO del donatore, non un'infezione avvenuta nella persona. In entrambi gli studi il virus e' stato aggiunto in coltura."
"STR:symptomatic","scrittura non risolta e NON un'entita: 'symptomatic' e' uno stato clinico, non un agente. I due canonical_name si contraddicono: 'infectious disease' (vincente) e 'respiratory syncytial virus infection' (assorbito)","cgroup_L5_95f8c0ec","cgroup_L5_9fa7c92d",FALSE,"INCERTO",1,2,1,1,1,2,1,FALSE,FALSE,"GSE230169","Entrambi i lati sono caso-controllo clinico in sangue e nessuno dei due NOMINA il patogeno nelle etichette dello Stadio 2 (verificato leggendo TUTTI i replicate_group dei due studi). VINCENTE GSE236651: 'Symptomatic patients' (n=13, PBMC) contro 'Healthy controls' (n=10) e 'Healthy controls negative' (n=3); nessun agente citato, nessuna eta. ASSORBITO GSE230169: 'Symptomatic (age 0.98)' (n=8, SANGUE INTERO) contro 'Uninfected (age 1)' (n=24), con eta e sesso per braccio; l'attribuzione a RSV viene SOLO dal canonical_name, non dai dati. Non posso stabilire dalle etichette se le due coorti hanno la stessa malattia: e' esattamente il caso in cui il materiale non basta.","Materiale diverso fra i due studi (PBMC contro sangue intero). Se le malattie sono diverse, la fusione e' un minestrone 'essere sintomatico' -- la forma che ha reso incoerenti i gruppi disease_vs_normal in questo progetto. E l'entita non e' un agente, quindi nessun ID puo' arbitrare.","I 3 membri sono 2 bracci di casi contro 2 controlli dello stesso studio (pseudo-replicazione). Nell'entita esiste un TERZO cluster non fuso, cgroup_L5_f5a13508 (chiave 'asymptomatic', 2 studi): la famiglia 'symptomatic' e' spezzata in tre e nessuno dei pezzi arriva al gate.","Entrambi i lati sono clinici, quindi NON c'e' mescolanza clinico/sperimentale. Il problema e' un altro: l'entita non esiste. Come per GSE183435, la guardia '_clin' NON e' scattata su GSE230169 pur avendo age e sex per braccio."
