"entita","k_s3_prima","k_s3_dopo","guad_s3","k_eff_dichiarato","k_eff_vincente","k_eff_assorbito_solo","k_eff_fusi","guad_k_eff","passa_gate_prima","passa_gate_dopo","studi_che_entrano_nel_keff"
"NCBITaxon:10359",12,13,1,9,9,1,10,1,TRUE,TRUE,"GSE63797"
"NCBITaxon:11320",9,10,1,7,7,1,8,1,TRUE,TRUE,"GSE206606"
"STR:atra",9,9,0,5,5,0,5,0,TRUE,TRUE,""
"NCBITaxon:10298",5,5,0,NA,1,0,1,0,FALSE,FALSE,""
"NCBITaxon:12814",4,5,1,NA,2,0,2,0,FALSE,FALSE,""
"NCBITaxon:3052230",2,3,1,NA,2,0,2,0,FALSE,FALSE,""
"STR:kshv",2,3,1,NA,2,1,3,1,FALSE,TRUE,"GSE92341"
"STR:mr766",2,3,1,NA,1,0,1,0,FALSE,FALSE,""
"NCBITaxon:147711",1,2,1,NA,1,1,2,1,FALSE,FALSE,"GSE106388"
"STR:symptomatic",1,2,1,NA,1,1,2,1,FALSE,FALSE,"GSE230169"
