"entita","ruolo","cluster_id","membri","studi","clin","clin_ctrl","disease_normal","time_zero","esperimentale","invertiti","sotto_n_min","control_types"
"NCBITaxon:10359","VINCENTE","cgroup_L5_444e7fc2",26,12,6,6,0,0,18,0,9,"vehicle:15 untreated:7 secondary_arm:3 genetic_negative:1"
"NCBITaxon:10359","ASSORBITO","cgroup_L5_eff40d9b",3,1,0,0,0,3,0,0,0,"time_zero:3"
"NCBITaxon:11320","VINCENTE","cgroup_L5_79a73ac5",13,9,1,0,0,0,9,0,5,"vehicle:11 secondary_arm:2"
"NCBITaxon:11320","ASSORBITO","cgroup_L5_a299eca9",3,1,0,0,0,0,0,0,2,"untreated:3"
"STR:atra","VINCENTE","cgroup_L5_a8ff7b6d",20,9,1,0,0,0,2,0,13,"vehicle:11 untreated:9"
"STR:atra","ASSORBITO","cgroup_L5_06b5da4a",2,1,0,0,0,0,0,0,2,"untreated:2"
"NCBITaxon:10298","VINCENTE","cgroup_L5_7cc951b5",11,5,0,0,0,0,10,0,8,"secondary_arm:6 vehicle:4 untreated:1"
"NCBITaxon:10298","ASSORBITO","cgroup_L5_1b7f19cc",1,1,0,0,0,0,0,0,1,"untreated:1"
"NCBITaxon:12814","VINCENTE","cgroup_L5_e25d67cf",9,4,3,0,0,0,4,0,7,"vehicle:6 secondary_arm:3"
"NCBITaxon:12814","ASSORBITO","cgroup_L5_5b37d889",2,1,2,2,0,0,2,0,2,"untreated:2"
"NCBITaxon:3052230","VINCENTE","cgroup_L5_6b0fd283",4,2,0,0,0,0,0,0,0,"untreated:2 vehicle:2"
"NCBITaxon:3052230","ASSORBITO","cgroup_L5_67a1cfc1",2,1,2,0,0,0,2,0,2,"untreated:2"
"STR:kshv","VINCENTE","cgroup_L5_179d71b0",2,2,0,0,0,0,2,0,0,"vehicle:2"
"STR:kshv","ASSORBITO","cgroup_L5_dbd518d4",2,1,0,0,0,0,0,0,0,"untreated:2"
"STR:mr766","VINCENTE","cgroup_L5_babc7ecd",4,2,0,0,0,0,4,0,3,"vehicle:4"
"STR:mr766","ASSORBITO","cgroup_L5_9ff60287",1,1,0,0,0,0,1,0,1,"untreated:1"
"NCBITaxon:147711","VINCENTE","cgroup_L5_ccefbba3",12,1,12,0,0,0,0,4,0,"untreated:12"
"NCBITaxon:147711","ASSORBITO","cgroup_L5_0cfef990",2,1,2,0,2,0,0,1,0,"disease_normal:2"
"STR:symptomatic","VINCENTE","cgroup_L5_95f8c0ec",3,1,3,0,3,0,0,0,0,"disease_normal:3"
"STR:symptomatic","ASSORBITO","cgroup_L5_9fa7c92d",1,1,1,1,1,0,0,0,0,"disease_normal:1"
