"contrast_entity","canonical_name","contrast_entity_label","k_effective"
"HGNC:11892","Recombinant Tumor Necrosis Factor-alpha (human)","TNF",32
"CHEBI:137113","<small>D</small>-cycloserine(1+)","JQ1",25
"CHEBI:16330","4-maleylacetoacetate","DHT (5alpha-dihydrotestosterone)",23
"CHEBI:379896","dihydrotestosterone","R1881 (metribolone)",22
"HGNC:5992","Interleukin-1beta","IL1B",18
"CHEBI:27899","2,2',3,4',5,5'-Hexachloro-4-biphenylol","cisplatin",17
"CHEBI:85993","PI(18:0/18:3(6Z,9Z,12Z))","palbociclib",15
"CHEBI:50131","2,3,4,5-Tetrachloro-4'-biphenylol","5-aza-2'-deoxycytidine",14
"CHEBI:50924","<small>D</small>-homomethionine","sorafenib",13
"CHEBI:41879","2<em>H</em>-azirine","dexamethasone",13
"HGNC:5973","IL5RA","IL13",12
"CHEBI:49375","dihexadecanoyl phosphatidic acid","dasatinib",10
"CHEBI:16469","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol","17β-estradiol",10
"HGNC:6018","Interleukin-6","IL6",10
"MeSH:D003424","Crohn's Disease","Crohn Disease",10
"CHEBI:63637","sodium aurothiomalate","vemurafenib",9
"NCBITaxon:10359","influenza virus","HCMV (human cytomegalovirus)",9
"CHEBI:75998","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime","trametinib",9
"CHEBI:231598","EPZ6438","tazemetostat",9
"HGNC:5981","SNORD13P3","IL17A",9
"CHEBI:38940","3-(ethoxycarbonyl)psoralen","sunitinib",9
"STR:nutlin_3a","anabolic androgenic steroid","nutlin 3a",8
"CHEBI:49668","acridone","gefitinib",8
"CHEBI:64310","sodium aurothiomalate","crizotinib",8
"STR:r5020","estrogen","r5020",7
"STR:covid_19","Mycobacterium tuberculosis","covid 19",7
"MeSH:D015179","colorectal cancer","Colorectal Neoplasms",7
"STR:irradiation","Radiation","irradiation",7
"CHEBI:83766","1-myristoyl-2-oleoylglycerol","olaparib",7
"CHEBI:230493","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA","pinometostat",7
"MeSH:D013274","gastric cancer","Stomach Neoplasms",6
"HGNC:14900","IMPDH2","IL22",6
"STR:nash","nonalcoholic steatohepatitis","nash",6
"MeSH:D009362","colorectal cancer","Neoplasm Metastasis",6
"CHEMBL:CHEMBL265582","Tumor Necrosis Factor-alpha","TNF-ALPHA",6
"STR:pcos","endometrial cancer","pcos",6
"CHEBI:3139","bleomycin A<small><sub>2</sub></small>","bleomycin A2",6
"CHEBI:9168","benzbromarone","sirolimus",6
"CHEBI:49603","erythritol","lapatinib",5
"CHEBI:52717","flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s","bortezomib",5
"HGNC:3229","SYPL1","EGF",5
"CHEBI:37537","phorbol 13-acetate 12-myristate","PMA (phorbol 12-myristate 13-acetate)",5
"CHEBI:72564","morpholine","temozolomide",5
"STR:atra","spin probe","atra",5
"STR:heart_failure","glucose","heart failure",5
"CHEBI:28119","2,3,7,8-Tetrachlorodibenzodioxin","TCDD",5
"CHEBI:78543","4-coumaroyltriacetic acid lactone","ponatinib",4
"CHEBI:4672","EIF5A2","docetaxel",4
"STR:fshd","Facioscapulohumeral muscular dystrophy","fshd",4
"CHEBI:68478","tolcapone","everolimus",4
"CHEBI:15367","ethyl (<i>R</i>)-3-hydroxyhexanoate","all-trans-retinoic acid",4
"STR:vegf","but-1-ene-1,2,4-tricarboxylic acid","vegf",4
"HGNC:5991","Interleukin-1alpha","IL1A",4
"CHEBI:52172","flavanone","nilotinib",4
"HGNC:6001","Interleukin-2","IL2",4
"MeSH:D003093","ulcerative colitis","Colitis, Ulcerative",4
"CHEBI:39421","perfluorooctane-1-sulfonic acid","PFOS",4
"NCBITaxon:1773","mtb","mycobacteriumtuberculosis",4
"CHEBI:65347","nicotinate-adenine dinucleotide phosphate(4−)","carfilzomib",4
"STR:oscc","oral squamous cell carcinoma","oscc",4
"HGNC:11927","epoxyoctadecenoate","TWEAK (TNFSF12)",4
