contrast_entity,nome_risolto,contrast_entity_label,canonical_name,kind_effective_resolved,metodo_match,n_inchikey,pert_id,nome_lincs,n_pert_id,n_firme_lincs,n_firme_exemplar,n_linee_lincs,n_dosi_lincs,k_effective,k_kish,n_sig,n_studi_poolati,coherence_verdict,nota_ispezione
CHEBI:52717,bortezomib,bortezomib,flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s,small_molecule,struttura_inchikey_completo,1,BRD-K88510285,bortezomib,1,1755,36,147,22,5,3.62280061333751,1978,5,coherent,
CHEBI:49375,dasatinib (anhydrous),dasatinib,dihexadecanoyl phosphatidic acid,small_molecule,struttura_inchikey_completo,1,BRD-K49328571,dasatinib,1,1513,43,123,17,10,3.31642884856301,325,10,coherent,
CHEBI:114785,erlotinib,erlotinib,erlotinib,cytokine_stim,struttura_inchikey_completo,1,BRD-K70401845,erlotinib,1,1134,41,125,23,7,5.91532909086212,2479,7,coherent,
CHEBI:67271,MK-2206,MK-2206,"(5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatrienoate",genetic_knockout,struttura_inchikey_completo,1,BRD-K68065987,MK-2206,1,1117,41,101,28,3,1.43609545637793,1739,3,coherent,
CHEBI:49668,gefitinib,gefitinib,acridone,small_molecule,struttura_inchikey_completo,1,BRD-K64052750,gefitinib,1,1011,39,122,18,8,3.33788341032142,265,8,coherent,
CHEBI:61390,afatinib,afatinib,[5-(aminomethyl)-3-furyl]methyl diphosphate,small_molecule,struttura_inchikey_completo,1,BRD-K66175015,afatinib,1,1000,34,137,21,4,1.5785606437581,1715,4,coherent,
CHEBI:83766,olaparib,olaparib,1-myristoyl-2-oleoylglycerol,small_molecule,struttura_inchikey_completo,1,BRD-K02113016,olaparib,1,999,35,171,21,7,3.19591024767782,322,7,coherent,
CHEBI:64310,crizotinib,crizotinib,sodium aurothiomalate,small_molecule,struttura_inchikey_completo,1,BRD-K78431006,crizotinib,1,966,34,116,17,8,4.92774038093782,1112,8,coherent,
CHEBI:49603,lapatinib,lapatinib,erythritol,small_molecule,struttura_inchikey_completo,1,BRD-M07438658;BRD-K19687926,lapatinib,2,936,53,138,19,5,2.22953019097398,1052,5,coherent,
CHEBI:63637,vemurafenib,vemurafenib,sodium aurothiomalate,small_molecule,struttura_inchikey_completo,1,BRD-K56343971,vemurafenib,1,931,32,163,14,9,3.96320633337472,671,9,coherent,
