id,simbolo,kind,k,simbolo_risolto,lincs_trt_lig,n_firme_lig
HGNC:11766,TGFB1,small_molecule,59,TGFB1,TRUE,18
HGNC:11892,TNF,cytokine_stim,32,TNF,TRUE,84
HGNC:5438,IFNG,cytokine_stim,20,IFNG,TRUE,84
HGNC:5992,IL1B,cytokine_stim,18,IL1B,TRUE,18
HGNC:5973,IL13,cytokine_stim,12,IL13,TRUE,18
HGNC:6014,IL4,cytokine_stim,10,IL4,TRUE,84
HGNC:6018,IL6,cytokine_stim,10,IL6,TRUE,84
HGNC:5981,IL17A,cytokine_stim,9,IL17A,TRUE,76
HGNC:14900,IL22,cytokine_stim,6,IL22,TRUE,18
HGNC:3229,EGF,genetic_knockout,5,EGF,TRUE,150
HGNC:5991,IL1A,cytokine_stim,4,IL1A,TRUE,18
HGNC:6001,IL2,genetic_overexpression,4,IL2,TRUE,18
HGNC:11927,TWEAK (TNFSF12),cytokine_stim,4,TNFSF12,TRUE,18
HGNC:6005,IL21,cytokine_stim,3,IL21,TRUE,18
HGNC:1071,BMP4,environmental,3,BMP4,TRUE,18
HGNC:5417,IFNA1,cytokine_stim,3,IFNA1,TRUE,18
HGNC:1653,anti-CD3/CD28 stimulation,pathogen_or_aggregate_exposure,3,CD28,FALSE,
HGNC:5977,IL15,cytokine_stim,3,IL15,TRUE,18
HGNC:6011,IL3,cytokine_stim,3,IL3,TRUE,18
HGNC:5434,IFNB1,cytokine_stim,3,IFNB1,TRUE,18
