"cluster_id","liv","qc_final_k","n_membri_preqc","contrast_entity","contrast_direction","contrast_control_key","canonical_name","n_gse_indipendenti","gse_superstiti","gse_indipendenti","meta214_agganciate","anchor_key"
"cgroup_L5_ff04c7c1","b_solo_entita",2,4,"CHEBI:4167","loss","vehicle_untreated","colon cancer",1,"GSE179347;GSE227379","GSE227379","","CHEBI:4167||loss||vehicle_untreated"
"cgroup_L5_067df4a3","c_assente",2,3,"STR:radiotherapy","gain","vehicle_untreated",NA,1,"GSE165548;GSE190504","GSE190504","","STR:radiotherapy||gain||vehicle_untreated"
"cgroup_L5_0a71325c","c_assente",2,3,"CHEBI:90217","gain","vehicle_untreated","quizartinib",1,"GSE121272;GSE186341","GSE121272","","CHEBI:90217||gain||vehicle_untreated"
"cgroup_L5_0b985869","c_assente",2,3,"CHEBI:16335","gain","vehicle_untreated","glucose",2,"GSE113091;GSE201334","GSE113091;GSE201334","","CHEBI:16335||gain||vehicle_untreated"
"cgroup_L5_1556072e","c_assente",2,3,"STR:interferon_alpha","gain","vehicle_untreated","Interferon-alpha",1,"GSE148058;GSE158434","GSE148058","","STR:interferon_alpha||gain||vehicle_untreated"
"cgroup_L5_165b7913","c_assente",2,5,"CHEMBL:CHEMBL2108494","gain","vehicle_untreated","IFNG",2,"GSE109720;GSE156295","GSE109720;GSE156295","","CHEMBL:CHEMBL2108494||gain||vehicle_untreated"
"cgroup_L5_1c7b64af","c_assente",2,3,"CHEBI:3638","gain","vehicle_untreated","chloroquine",1,"GSE197302;GSE209582","GSE209582","","CHEBI:3638||gain||vehicle_untreated"
"cgroup_L5_1d4f4a13","c_assente",2,3,"CHEMBL:CHEMBL1201583","gain","vehicle_untreated","bevacizumab",0,"GSE217421;GSE217423","","","CHEMBL:CHEMBL1201583||gain||vehicle_untreated"
"cgroup_L5_203dc31a","c_assente",2,3,"CHEBI:91091","gain","vehicle_untreated","dihexadecanoyl phosphatidic acid",1,"GSE227433;GSE232218","GSE227433","","CHEBI:91091||gain||vehicle_untreated"
"cgroup_L5_2618c026","c_assente",2,3,"CHEBI:232613","gain","vehicle_untreated","BRM014",2,"GSE198517;GSE235704","GSE198517;GSE235704","","CHEBI:232613||gain||vehicle_untreated"
"cgroup_L5_3437775a","c_assente",2,3,"CHEBI:91450","gain","vehicle_untreated","sapanisertib",0,"GSE199800;GSE246886","","","CHEBI:91450||gain||vehicle_untreated"
"cgroup_L5_36b956de","c_assente",2,3,"STR:ptsd","gain","vehicle_untreated","acute myeloid leukemia",2,"GSE64813;GSE97356","GSE64813;GSE97356","","STR:ptsd||gain||vehicle_untreated"
"cgroup_L5_3d3658ad","c_assente",2,3,"CHEBI:28777","gain","vehicle_untreated","liquiritigenin",2,"GSE223524;GSE56066","GSE223524;GSE56066","","CHEBI:28777||gain||vehicle_untreated"
"cgroup_L5_3e8ba26a","c_assente",2,3,"MeSH:D005909","gain","vehicle_untreated","Gentamicins",1,"GSE123892;GSE159851","GSE123892","","MeSH:D005909||gain||vehicle_untreated"
"cgroup_L5_417c69a3","c_assente",2,4,"CHEBI:231324","gain","vehicle_untreated","BYL-719",2,"GSE151840;GSE235631","GSE151840;GSE235631","","CHEBI:231324||gain||vehicle_untreated"
"cgroup_L5_4399f313","c_assente",2,3,"STR:epilepsy","gain","vehicle_untreated",NA,1,"GSE168375;GSE89843","GSE168375","","STR:epilepsy||gain||vehicle_untreated"
"cgroup_L5_44420e6e","c_assente",2,3,"NCBITaxon:851","gain","vehicle_untreated","fusobacteriumnucleatum",1,"GSE222136;GSE237052","GSE222136","","NCBITaxon:851||gain||vehicle_untreated"
"cgroup_L5_4def5638","c_assente",2,3,"STR:fshd1","gain","vehicle_untreated","Facioscapulohumeral muscular dystrophy",2,"GSE153523;GSE56787","GSE153523;GSE56787","","STR:fshd1||gain||vehicle_untreated"
"cgroup_L5_548236b5","c_assente",2,6,"CHEBI:90227","gain","vehicle_untreated","(<i>S</i>)-2-hydroxyhexadecanoate",0,"GSE199800;GSE262030","","","CHEBI:90227||gain||vehicle_untreated"
"cgroup_L5_57ea5503","c_assente",2,4,"CHEBI:88249","gain","vehicle_untreated","PD 0325901",2,"GSE125035;GSE195917","GSE125035;GSE195917","","CHEBI:88249||gain||vehicle_untreated"
"cgroup_L5_5a202240","c_assente",2,3,"CHEBI:17234","gain","vehicle_untreated","glucose",2,"GSE129479;GSE203284","GSE129479;GSE203284","","CHEBI:17234||gain||vehicle_untreated"
"cgroup_L5_60d9a5bf","c_assente",2,4,"CHEBI:32588","gain","vehicle_untreated","Harringtonine",2,"GSE203082;GSE236109","GSE203082;GSE236109","","CHEBI:32588||gain||vehicle_untreated"
"cgroup_L5_61352c9e","c_assente",2,3,"CHEBI:132082","gain","vehicle_untreated","entinostat",2,"GSE110571;GSE249561","GSE110571;GSE249561","","CHEBI:132082||gain||vehicle_untreated"
"cgroup_L5_62404e11","c_assente",2,4,"CHEBI:4026","gain","vehicle_untreated","cyclophosphamide hydrate",1,"GSE128728;GSE181228","GSE181228","","CHEBI:4026||gain||vehicle_untreated"
"cgroup_L5_63180d66","c_assente",2,3,"CHEBI:138438","gain","vehicle_untreated",NA,2,"GSE182286;GSE183194","GSE182286;GSE183194","","CHEBI:138438||gain||vehicle_untreated"
"cgroup_L5_64fbeb97","c_assente",2,4,"CHEBI:102218","gain","vehicle_untreated","dimethyloxalylglycine",2,"GSE162834;GSE189504","GSE162834;GSE189504","","CHEBI:102218||gain||vehicle_untreated"
"cgroup_L5_67e7722b","c_assente",2,3,"STR:osteogenic_differentiation","gain","vehicle_untreated",NA,2,"GSE224257;GSE240641","GSE224257;GSE240641","","STR:osteogenic_differentiation||gain||vehicle_untreated"
"cgroup_L5_6ac5ea3a","c_assente",2,4,"CHEBI:68747","gain","vehicle_untreated","Filixic acid BBB",2,"GSE224311;GSE232639","GSE224311;GSE232639","","CHEBI:68747||gain||vehicle_untreated"
"cgroup_L5_6c7f9e9e","c_assente",2,3,"MeSH:D015451","gain","vehicle_untreated","chronic lymphocytic leukemia",1,"GSE113386;GSE145842","GSE113386","","MeSH:D015451||gain||vehicle_untreated"
"cgroup_L5_6ce4ac22","c_assente",2,3,"STR:tuberculosis","gain","vehicle_untreated","Mycobacterium tuberculosis",2,"GSE122485;GSE157671","GSE122485;GSE157671","","STR:tuberculosis||gain||vehicle_untreated"
"cgroup_L5_6e9f3913","c_assente",2,3,"STR:ovarian_tumor","gain","vehicle_untreated","ovarian cancer",2,"GSE137238;GSE192410","GSE137238;GSE192410","","STR:ovarian_tumor||gain||vehicle_untreated"
