"contrast_entity","n_gruppi_scartati","studi_slot","gse_superstiti","direzioni","controlli","nome","livello_max","gse_indipendenti","lista_indipendenti","meta214","k_effective_214","n_sig_214"
"CHEBI:102218",1,2,2,"gain","vehicle_untreated","dimethyloxalylglycine","c_assente",0,NA,0,NA,NA
"CHEBI:132082",1,2,2,"gain","vehicle_untreated","entinostat","c_assente",0,NA,0,NA,NA
"CHEBI:138438",1,2,2,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"CHEBI:140908",1,2,2,"gain","vehicle_untreated","GANT61","c_assente",0,NA,0,NA,NA
"CHEBI:142708",1,2,2,"gain","vehicle_untreated","tigecycline(1+)","c_assente",0,NA,0,NA,NA
"CHEBI:145431",1,2,2,"gain","vehicle_untreated","2-amino-6-(1-hydroxypropyl)-8-methylpteridine-4,7(3<em>H</em>,8<em>H</em>)-dione","c_assente",0,NA,0,NA,NA
"CHEBI:16335",1,2,2,"gain","vehicle_untreated","glucose","c_assente",0,NA,0,NA,NA
"CHEBI:167693",1,2,2,"gain","vehicle_untreated","GSK343","c_assente",0,NA,0,NA,NA
"CHEBI:17234",1,2,2,"gain","vehicle_untreated","glucose","c_assente",0,NA,0,NA,NA
"CHEBI:195599",1,2,2,"gain","vehicle_untreated","CH-223191","c_assente",0,NA,0,NA,NA
"CHEBI:230905",1,2,2,"gain","vehicle_untreated","Ribociclib","c_assente",0,NA,0,NA,NA
"CHEBI:231324",1,2,2,"gain","vehicle_untreated","BYL-719","c_assente",0,NA,0,NA,NA
"CHEBI:231344",1,2,2,"gain","vehicle_untreated","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA","c_assente",0,NA,0,NA,NA
"CHEBI:232613",1,2,2,"gain","vehicle_untreated","BRM014","c_assente",0,NA,0,NA,NA
"CHEBI:233363",1,2,2,"gain","vehicle_untreated","A-485","c_assente",0,NA,0,NA,NA
"CHEBI:233643",1,2,2,"gain","vehicle_untreated","<small>L</small>-methionine + UNC0642","c_assente",0,NA,0,NA,NA
"CHEBI:28777",1,2,2,"gain","vehicle_untreated","liquiritigenin","c_assente",0,NA,0,NA,NA
"CHEBI:32588",1,2,2,"gain","vehicle_untreated","Harringtonine","c_assente",0,NA,0,NA,NA
"CHEBI:3638",1,2,2,"gain","vehicle_untreated","chloroquine","c_assente",0,NA,0,NA,NA
"CHEBI:39112",1,2,2,"gain","vehicle_untreated","Rhein","c_assente",0,NA,0,NA,NA
"CHEBI:4026",1,2,2,"gain","vehicle_untreated","cyclophosphamide hydrate","c_assente",0,NA,0,NA,NA
"CHEBI:4167",1,2,2,"loss","vehicle_untreated","colon cancer","b_solo_entita",0,NA,1,"4","2326"
"CHEBI:42068",1,2,2,"gain","vehicle_untreated","idarubicin","c_assente",0,NA,0,NA,NA
"CHEBI:45716",1,2,2,"gain","vehicle_untreated","coformycin","c_assente",0,NA,0,NA,NA
"CHEBI:50729",1,2,2,"gain","vehicle_untreated","mitoxantrone","c_assente",0,NA,0,NA,NA
"CHEBI:5931",1,2,2,"gain","vehicle_untreated","chloride","c_assente",0,NA,0,NA,NA
"CHEBI:68747",1,2,2,"gain","vehicle_untreated","Filixic acid BBB","c_assente",0,NA,0,NA,NA
"CHEBI:76612",1,2,2,"gain","vehicle_untreated","EC 6.3.2.4 (<small>D</small>-alanine—<small>D</small>-alanine ligase) inhibitor","c_assente",0,NA,0,NA,NA
"CHEBI:78432",1,2,2,"gain","vehicle_untreated","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","c_assente",0,NA,0,NA,NA
"CHEBI:80630",1,2,2,"gain","vehicle_untreated","calcium carbonate","c_assente",0,NA,0,NA,NA
"CHEBI:8228",1,2,2,"gain","vehicle_untreated","pioglitazone","c_assente",0,NA,0,NA,NA
"CHEBI:85164",1,2,2,"gain","vehicle_untreated","nintedanib","c_assente",0,NA,0,NA,NA
"CHEBI:88249",1,2,2,"gain","vehicle_untreated","PD 0325901","c_assente",0,NA,0,NA,NA
"CHEBI:90217",1,2,2,"gain","vehicle_untreated","quizartinib","c_assente",0,NA,0,NA,NA
"CHEBI:90227",1,2,2,"gain","vehicle_untreated","(<i>S</i>)-2-hydroxyhexadecanoate","c_assente",0,NA,0,NA,NA
"CHEBI:90693",1,2,2,"gain","vehicle_untreated","hydrogen trithiocarbonate","c_assente",0,NA,0,NA,NA
"CHEBI:91091",1,2,2,"gain","vehicle_untreated","dihexadecanoyl phosphatidic acid","c_assente",0,NA,0,NA,NA
"CHEBI:91414",1,2,2,"gain","vehicle_untreated","adavosertib","c_assente",0,NA,0,NA,NA
"CHEBI:91450",1,2,2,"gain","vehicle_untreated","sapanisertib","c_assente",0,NA,0,NA,NA
"CHEBI:95083",1,2,2,"gain","vehicle_untreated","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NHC(=O)[CH<small><sub>2</sub></small>]<small><sub>4</sub></small>C(=O)NHR group","c_assente",0,NA,0,NA,NA
"CHEBI:9513",1,2,2,"gain","vehicle_untreated","thalidomide","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL1201577",1,2,2,"gain","vehicle_untreated","CETUXIMAB","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL1201583",1,2,2,"gain","vehicle_untreated","bevacizumab","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL2108494",1,2,2,"gain","vehicle_untreated","IFNG","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL4650278",1,2,2,"gain","vehicle_untreated","REVUMENIB SESQUIFUMARATE","c_assente",0,NA,0,NA,NA
"COMBO:il-13+il-4",1,2,2,"gain","vehicle_untreated","Interleukin-4","c_assente",0,NA,0,NA,NA
"COMBO:indisulam+palbociclib",1,2,2,"gain","vehicle_untreated","PS(20:3(8Z,11Z,14Z)/18:0)","c_assente",0,NA,0,NA,NA
"HGNC:11768",1,2,2,"gain","vehicle_untreated","TGFB2","c_assente",0,NA,0,NA,NA
"HGNC:30743",1,2,2,"gain","vehicle_untreated","IL25","c_assente",0,NA,0,NA,NA
"HGNC:3430",1,2,2,"gain","vehicle_untreated","HERC2P7","c_assente",0,NA,0,NA,NA
