"cluster_id","study_id","ent_dir","contrast_entity","liv","stesso_pool","stesso_cens","altrove_pool","altrove_cens"
"cgroup_L5_ff04c7c1","GSE179347","CHEBI:4167||loss","CHEBI:4167","b_solo_entita",FALSE,FALSE,TRUE,TRUE
"cgroup_L5_ff04c7c1","GSE227379","CHEBI:4167||loss","CHEBI:4167","b_solo_entita",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_067df4a3","GSE165548","STR:radiotherapy||gain","STR:radiotherapy","c_assente",FALSE,FALSE,TRUE,TRUE
"cgroup_L5_067df4a3","GSE190504","STR:radiotherapy||gain","STR:radiotherapy","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_06ff1592","GSE200209","CHEBI:5118||gain","CHEBI:5118","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_0a4e5f58","GSE154545","CHEMBL:CHEMBL3544911||gain","CHEMBL:CHEMBL3544911","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_0a71325c","GSE121272","CHEBI:90217||gain","CHEBI:90217","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_0a71325c","GSE186341","CHEBI:90217||gain","CHEBI:90217","c_assente",FALSE,FALSE,TRUE,TRUE
"cgroup_L5_0b985869","GSE113091","CHEBI:16335||gain","CHEBI:16335","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_0b985869","GSE201334","CHEBI:16335||gain","CHEBI:16335","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_0dd60753","GSE194374","CHEBI:233362||gain","CHEBI:233362","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_1556072e","GSE158434","STR:interferon_alpha||gain","STR:interferon_alpha","c_assente",FALSE,FALSE,TRUE,TRUE
"cgroup_L5_1556072e","GSE148058","STR:interferon_alpha||gain","STR:interferon_alpha","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_165b7913","GSE156295","CHEMBL:CHEMBL2108494||gain","CHEMBL:CHEMBL2108494","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_165b7913","GSE109720","CHEMBL:CHEMBL2108494||gain","CHEMBL:CHEMBL2108494","c_assente",FALSE,FALSE,FALSE,FALSE
"cgroup_L5_1c583f9b","GSE168678","HGNC:11998||block","HGNC:11998","c_assente",FALSE,FALSE,FALSE,FALSE
