"cluster_id","contrast_entity","canonical_name","k","entity_source","recovery_source","nel_deliverable","label_id","n_alias","esito","alias_che_matcha","n_membri"
"cgroup_L5_444e7fc2","NCBITaxon:10359","influenza virus",12,"onto","LLM_NAME_CLEANUP",TRUE,"humanbetaherpesvirus5",4,"nessun nome trovato","",26
"cgroup_L5_79a73ac5","NCBITaxon:11320",NA,9,"onto","NO_RECOVERY",TRUE,"influenzaavirus",3,"nessun nome trovato","",13
"cgroup_L5_b9c77320","NCBITaxon:11676","HIV-1",6,"onto","NO_RECOVERY",TRUE,"humanimmunodeficiencyvirus1",6,"nessun nome trovato","",13
"cgroup_L5_7cc951b5","NCBITaxon:10298","hsv-1",5,"onto","PATHOGEN_VERNACULAR",FALSE,"humanalphaherpesvirus1",8,"nessun nome trovato","",11
"cgroup_L5_538960a6","NCBITaxon:1773","mtb",5,"onto","PATHOGEN_VERNACULAR",TRUE,"mycobacteriumtuberculosis",6,"nessun nome trovato","",13
"cgroup_L5_fea19ca0","HGNC:5434","Interferon-beta",4,"onto","NO_RECOVERY",TRUE,"IFNB1",5,"nessun nome trovato","",6
"cgroup_L5_debadb13","NCBITaxon:10407","hepatitis B virus",4,"anchor","LLM_NAME_CLEANUP",TRUE,"hepatitisbvirus",4,"nessun nome trovato","",9
"cgroup_L5_304e1195","STR:pathogen_or_aggregate_exposure",NA,4,"STR","NO_RECOVERY",FALSE,"pathogen_or_aggregate_exposure",1,"nessun nome trovato","",5
"cgroup_L5_6e9f3913","STR:ovarian_tumor","ovarian cancer",3,"STR","LLM_NAME_CLEANUP",FALSE,"ovarian_tumor",1,"nessun nome trovato","",7
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide",50,"onto","PAMP_WHITELIST",TRUE,"lipopolysaccharide",4,"SOLO SIGLA","lps",120
"cgroup_L5_930c8dcf","CHEBI:16330","4-maleylacetoacetate",34,"onto","LLM_NAME_CLEANUP",TRUE,"17β-hydroxy-5α-androstan-3-one",15,"SOLO SIGLA","dht/5α-dht",57
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide",20,"onto","CHEBI_ALIAS",TRUE,"hydrogen peroxide",13,"SOLO SIGLA","h2o2",34
"cgroup_L5_721184e6","CHEBI:230500","THZ1",18,"onto","CHEBI_ALIAS",TRUE,"THZ1",7,"SOLO SIGLA","thz-1/thz 1/thz1/THZ1",44
"cgroup_L5_be15b706","HGNC:5973","IL5RA",15,"onto","CYTOKINE_IMMPORT",TRUE,"IL13",9,"SOLO SIGLA","il-13/IL13",41
"cgroup_L5_49d55bfd","HGNC:6014","IL4",14,"onto","LLM_NAME_CLEANUP",TRUE,"IL4",7,"SOLO SIGLA","il-4/IL4",29
"cgroup_L5_12228932","HGNC:3229","SYPL1",12,"onto","NO_RECOVERY",TRUE,"EGF",2,"SOLO SIGLA","EGF",29
"cgroup_L5_a25d0964","HGNC:6018","Interleukin-6",10,"onto","CYTOKINE_IMMPORT",TRUE,"IL6",7,"SOLO SIGLA","il-6/IL6",26
"cgroup_L5_a8ff7b6d","STR:atra","spin probe",9,"STR","NO_RECOVERY",TRUE,"atra",1,"SOLO SIGLA","atra",20
"cgroup_L5_31308596","CHEBI:37537","phorbol 13-acetate 12-myristate",8,"onto","CHEBI_ALIAS",TRUE,"phorbol 13-acetate 12-myristate",11,"SOLO SIGLA","pma",9
"cgroup_L5_f956ef98","CHEBI:28119","2,3,7,8-Tetrachlorodibenzodioxin",7,"onto","LLM_NAME_CLEANUP",TRUE,"2,3,7,8-tetrachlorodibenzodioxine",11,"SOLO SIGLA","tcdd",19
"cgroup_L5_3824dc37","STR:nash","nonalcoholic steatohepatitis",7,"STR","LLM_NAME_CLEANUP",TRUE,"nash",1,"SOLO SIGLA","nash",9
"cgroup_L5_2ab433c8","HGNC:14900","IMPDH2",6,"onto","CYTOKINE_IMMPORT",TRUE,"IL22",12,"SOLO SIGLA","il-22/IL22",11
"cgroup_L5_3d8c29f4","HGNC:6001","Interleukin-2",6,"onto","NO_RECOVERY",TRUE,"IL2",4,"SOLO SIGLA","il-2/IL2",12
"cgroup_L5_9bdf0dcb","STR:ifna","palmitate",6,"STR","LLM_NAME_CLEANUP",TRUE,"ifna",1,"SOLO SIGLA","ifna",12
"cgroup_L5_7784bb43","STR:pcos","endometrial cancer",6,"STR","LLM_NAME_CLEANUP",TRUE,"pcos",1,"SOLO SIGLA","pcos",12
"cgroup_L5_356eedd3","CHEBI:46024","trichostatin A",5,"onto","CHEBI_ALIAS",TRUE,"trichostatin A",6,"SOLO SIGLA","tsa",7
"cgroup_L5_e294a3bc","CHEBI:49852","DRB",5,"onto","LLM_NAME_CLEANUP",TRUE,"5,6-dichloro-1-β-D-ribofuranosyl-1H-benzimidazole",12,"SOLO SIGLA","drb",7
"cgroup_L5_344e058f","HGNC:1071","Bone Morphogenetic Protein 4",5,"onto","NO_RECOVERY",TRUE,"BMP4",3,"SOLO SIGLA","BMP4",12
"cgroup_L5_2d53def6","HGNC:6005","IL5",5,"onto","CYTOKINE_IMMPORT",TRUE,"IL21",4,"SOLO SIGLA","il-21/IL21",36
"cgroup_L5_9bb4734d","STR:ifnb","Interferon-beta",5,"STR","CYTOKINE_IMMPORT",TRUE,"ifnb",1,"SOLO SIGLA","ifnb",16
"cgroup_L5_522fa0c2","STR:sals","sals",5,"STR","STR_FALLBACK",TRUE,"sals",1,"SOLO SIGLA","sals",17
"cgroup_L5_64fbeb97","CHEBI:102218","dimethyloxalylglycine",4,"onto","CHEBI_ALIAS",FALSE,"dimethyloxalylglycine",7,"SOLO SIGLA","dmog",5
"cgroup_L5_3a58e5f5","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>",4,"onto","CHEBI_ALIAS",TRUE,"prostaglandin E2",33,"SOLO SIGLA","pge2",6
"cgroup_L5_5d1a5c5f","CHEBI:173109","RSL3",4,"onto","STR_FALLBACK",FALSE,"RSL3",6,"SOLO SIGLA","rsl3/RSL3",6
"cgroup_L5_9f0ea111","CHEBI:230484","StemRegenin 1",4,"onto","CHEBI_ALIAS",TRUE,"StemRegenin 1",4,"SOLO SIGLA","sr1",8
"cgroup_L5_8b65b3ff","CHEBI:233363","A-485",4,"onto","CHEBI_ALIAS",FALSE,"A-485",5,"SOLO SIGLA","a-485/A-485",8
"cgroup_L5_a48d6990","CHEBI:25255","xylobiose",4,"onto","CHEBI_ALIAS",FALSE,"methyl methanesulfonate",7,"SOLO SIGLA","mms",7
"cgroup_L5_60d9a5bf","CHEBI:32588","Harringtonine",4,"onto","LLM_NAME_CLEANUP",FALSE,"potassium chloride",11,"SOLO SIGLA","[kcl]/kcl",6
"cgroup_L5_4be9e90d","CHEBI:39421","perfluorooctane-1-sulfonic acid",4,"onto","CHEBI_ALIAS",TRUE,"perfluorooctane-1-sulfonic acid",8,"SOLO SIGLA","pfos",37
"cgroup_L5_455fe91d","CHEBI:86193","DAPT",4,"onto","CHEBI_ALIAS",TRUE,"DAPT",7,"SOLO SIGLA","dapt/DAPT",7
"cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771",NA,4,"onto","NO_RECOVERY",TRUE,"INTERLEUKIN-10",4,"SOLO SIGLA","il-10",4
"cgroup_L5_840b7e36","HGNC:1653","Corynebacterium acnes",4,"onto","LLM_NAME_CLEANUP",TRUE,"CD28",2,"SOLO SIGLA","CD28",6
"cgroup_L5_bd40f34f","HGNC:5977","IL5",4,"onto","CYTOKINE_IMMPORT",TRUE,"IL15",4,"SOLO SIGLA","il-15/IL15",22
"cgroup_L5_d631ee89","HGNC:6011","IL3",4,"onto","CYTOKINE_IMMPORT",TRUE,"IL3",7,"SOLO SIGLA","il-3/IL3",5
"cgroup_L5_988d478d","STR:copd","ionizing radiation",4,"STR","LLM_NAME_CLEANUP",TRUE,"copd",1,"SOLO SIGLA","copd",5
"cgroup_L5_17b55386","STR:fshd","Facioscapulohumeral muscular dystrophy",4,"STR","LLM_NAME_CLEANUP",TRUE,"fshd",1,"SOLO SIGLA","fshd",19
