"predittore","tipo","media_si","media_no","d_cohen"
"n_gse_accusati","CIRCOLARE",1.675,2.64,-0.567
"n_studi_censiti","num",5.831,9.941,-0.539
"k_effective","num",4.364,6.934,-0.503
"n_studi_poolati","num",4.364,6.934,-0.503
"n_studi_unknown","num",2.987,4.544,-0.395
"n_studi_model","num",0.831,1.412,-0.372
"k_kish","num",2.867,4.476,-0.335
"frac_gse_accusati","CIRCOLARE",0.421,0.527,-0.268
"I2_med","num",58.786,64.628,-0.212
"frazione_efficace","num",0.676,0.642,0.195
"stessi_membri","bin",0.351,0.221,0.13
"quota_top1","num",0.535,0.509,0.125
"materiale_misto","bin",0.169,0.294,-0.125
"dominato","bin",0.632,0.544,0.087
"ramo_anchor","bin",0.117,0.184,-0.067
"n_sig","num",1639.286,1550.456,0.054
"entita_STR","bin",0.247,0.206,0.041
"dominato_da_modello","bin",0.026,0.059,-0.033
"entita_MeSH","bin",0.091,0.118,-0.027
"controllo_veicolo","bin",0.961,0.985,-0.024
"entita_NCBITaxon","bin",0.039,0.051,-0.013
"frac_model","num",0.2,0.199,0.008
"verso_gain","bin",0.987,0.993,-0.006
"studi_caduti","num",NA,NA,NA
