"predittore","tipo","media_si","media_no","d_cohen"
"n_gse_accusati","CIRCOLARE",1.218,2.665,-0.88
"frac_gse_accusati","CIRCOLARE",0.304,0.553,-0.653
"n_studi_censiti","num",5.564,9.462,-0.507
"k_effective","num",4.182,6.639,-0.478
"n_studi_poolati","num",4.182,6.639,-0.478
"n_studi_model","num",0.691,1.38,-0.443
"n_studi_unknown","num",2.982,4.329,-0.34
"k_kish","num",2.817,4.269,-0.301
"frazione_efficace","num",0.691,0.642,0.287
"n_sig","num",1847.036,1490.506,0.218
"frac_model","num",0.172,0.208,-0.198
"stessi_membri","bin",0.382,0.228,0.154
"I2_med","num",59.967,63.403,-0.124
"materiale_misto","bin",0.164,0.278,-0.115
"quota_top1","num",0.534,0.513,0.102
"entita_STR","bin",0.273,0.203,0.07
"controllo_veicolo","bin",0.945,0.987,-0.042
"entita_NCBITaxon","bin",0.018,0.057,-0.039
"dominato","bin",0.593,0.57,0.023
"entita_MeSH","bin",0.091,0.114,-0.023
"ramo_anchor","bin",0.145,0.165,-0.019
"dominato_da_modello","bin",0.036,0.051,-0.014
"verso_gain","bin",0.982,0.994,-0.012
"studi_caduti","num",NA,NA,NA
