"regola","n_cond","prec_A","cop_A","n_A"
"k_effective<=6 & !dominato & !entita_MeSH",3,0.666666666666667,0.434782608695652,15
"k_effective<=6 & frazione_efficace>=0.6 & !dominato",3,0.611111111111111,0.478260869565217,18
"k_effective<=6 & n_studi_model<=1 & !dominato",3,0.588235294117647,0.434782608695652,17
"k_effective<=6 & !dominato & !stessi_membri",3,0.588235294117647,0.434782608695652,17
"k_effective<=6 & frazione_efficace>=0.7 & !dominato",3,0.571428571428571,0.347826086956522,14
"k_effective<=6 & !dominato",2,0.55,0.478260869565217,20
"k_effective<=6 & k_effective<=8 & !dominato",3,0.55,0.478260869565217,20
"k_effective<=6 & k_effective<=10 & !dominato",3,0.55,0.478260869565217,20
"k_effective<=6 & n_studi_model<=2 & !dominato",3,0.55,0.478260869565217,20
"k_effective<=6 & frazione_efficace>=0.5 & !dominato",3,0.55,0.478260869565217,20
"k_effective<=6 & !dominato & !dominato_da_modello",3,0.55,0.478260869565217,20
"k_effective<=6 & !dominato & !entita_NCBITaxon",3,0.55,0.478260869565217,20
"k_effective<=6 & !dominato & controllo_veicolo",3,0.55,0.478260869565217,20
"k_effective<=6 & !dominato & verso_gain",3,0.55,0.478260869565217,20
"k_effective<=5 & !dominato & !stessi_membri",3,0.545454545454545,0.260869565217391,11
"I2_med<=60 & entita_STR & !ramo_anchor",3,0.545454545454545,0.260869565217391,11
"k_effective<=5 & !dominato",2,0.538461538461538,0.304347826086957,13
"k_effective<=5 & k_effective<=6 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & k_effective<=8 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & k_effective<=10 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & k_kish<=4 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & k_kish<=5 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & n_studi_model<=2 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & frazione_efficace>=0.5 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & frazione_efficace>=0.6 & !dominato",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & !dominato & !materiale_misto",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & !dominato & !dominato_da_modello",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & !dominato & !entita_NCBITaxon",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & !dominato & controllo_veicolo",3,0.538461538461538,0.304347826086957,13
"k_effective<=5 & !dominato & verso_gain",3,0.538461538461538,0.304347826086957,13
"k_effective<=6 & !dominato & !ramo_anchor",3,0.529411764705882,0.391304347826087,17
"k_effective<=6 & !dominato & !materiale_misto",3,0.526315789473684,0.434782608695652,19
"k_effective<=6 & k_kish<=5 & !dominato",3,0.5,0.391304347826087,18
"k_effective<=6 & !dominato & !entita_STR",3,0.5,0.391304347826087,18
"k_effective<=6 & frazione_efficace>=0.7 & !stessi_membri",3,0.5,0.347826086956522,16
"n_studi_model<=0 & I2_med<=50",2,0.5,0.260869565217391,12
"k_effective<=5 & n_studi_model<=0 & I2_med<=50",3,0.5,0.260869565217391,12
"k_effective<=5 & n_studi_model<=1 & !dominato",3,0.5,0.260869565217391,12
"k_effective<=5 & !dominato & !entita_STR",3,0.5,0.260869565217391,12
"k_effective<=5 & !dominato & !ramo_anchor",3,0.5,0.260869565217391,12
"k_effective<=6 & n_studi_model<=0 & I2_med<=50",3,0.5,0.260869565217391,12
"k_effective<=8 & n_studi_model<=0 & I2_med<=50",3,0.5,0.260869565217391,12
"k_effective<=10 & n_studi_model<=0 & I2_med<=50",3,0.5,0.260869565217391,12
"k_kish<=5 & frazione_efficace>=0.7 & !dominato",3,0.5,0.260869565217391,12
"n_studi_model<=0 & n_studi_model<=1 & I2_med<=50",3,0.5,0.260869565217391,12
"n_studi_model<=0 & n_studi_model<=2 & I2_med<=50",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & I2_med<=60",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & I2_med<=70",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & !materiale_misto",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & !dominato_da_modello",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & !entita_NCBITaxon",3,0.5,0.260869565217391,12
"n_studi_model<=0 & I2_med<=50 & verso_gain",3,0.5,0.260869565217391,12
"I2_med<=50 & stessi_membri & !ramo_anchor",3,0.5,0.260869565217391,12
"I2_med<=70 & entita_STR & !ramo_anchor",3,0.5,0.260869565217391,12
"k_effective<=3 & n_studi_model<=0 & I2_med<=70",3,0.5,0.217391304347826,10
"k_effective<=3 & n_studi_model<=1 & frazione_efficace>=0.7",3,0.5,0.217391304347826,10
"k_effective<=3 & frazione_efficace>=0.7 & !entita_STR",3,0.5,0.217391304347826,10
"n_studi_model<=0 & frazione_efficace>=0.7 & !stessi_membri",3,0.5,0.217391304347826,10
"n_studi_model<=0 & I2_med<=50 & !ramo_anchor",3,0.5,0.217391304347826,10
"n_studi_model<=0 & I2_med<=70 & entita_STR",3,0.5,0.217391304347826,10
"frazione_efficace>=0.5 & I2_med<=50 & stessi_membri",3,0.5,0.217391304347826,10
"I2_med<=50 & entita_STR & !ramo_anchor",3,0.5,0.217391304347826,10
"I2_med<=60 & !materiale_misto & entita_STR",3,0.5,0.217391304347826,10
"k_kish<=5 & frazione_efficace>=0.6 & !dominato",3,0.473684210526316,0.391304347826087,19
"k_effective<=6 & frazione_efficace>=0.7 & !entita_MeSH",3,0.470588235294118,0.347826086956522,17
"k_effective<=8 & frazione_efficace>=0.7 & !dominato",3,0.470588235294118,0.347826086956522,17
"k_effective<=5 & n_studi_model<=0 & I2_med<=60",3,0.466666666666667,0.304347826086957,15
"k_effective<=6 & entita_STR & !ramo_anchor",3,0.466666666666667,0.304347826086957,15
"k_effective<=3 & n_studi_model<=0",2,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_effective<=4 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_effective<=5 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_effective<=6 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_effective<=8 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_effective<=10 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_kish<=3 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_kish<=4 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & k_kish<=5 & n_studi_model<=0",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & n_studi_model<=1",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & n_studi_model<=2",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & !materiale_misto",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & !dominato_da_modello",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & !entita_NCBITaxon",3,0.461538461538462,0.260869565217391,13
"k_effective<=3 & n_studi_model<=0 & verso_gain",3,0.461538461538462,0.260869565217391,13
"k_effective<=4 & I2_med<=50 & stessi_membri",3,0.461538461538462,0.260869565217391,13
"k_effective<=5 & I2_med<=50 & stessi_membri",3,0.461538461538462,0.260869565217391,13
"k_effective<=6 & I2_med<=50 & stessi_membri",3,0.461538461538462,0.260869565217391,13
"k_effective<=6 & I2_med<=60 & entita_STR",3,0.461538461538462,0.260869565217391,13
"n_studi_model<=0 & I2_med<=60 & !entita_MeSH",3,0.461538461538462,0.260869565217391,13
"n_studi_model<=0 & I2_med<=60 & !ramo_anchor",3,0.461538461538462,0.260869565217391,13
"I2_med<=50 & stessi_membri & !entita_MeSH",3,0.461538461538462,0.260869565217391,13
"k_effective<=8 & frazione_efficace>=0.6 & !dominato",3,0.458333333333333,0.478260869565217,24
"k_effective<=8 & n_studi_model<=1 & !dominato",3,0.454545454545455,0.434782608695652,22
"k_effective<=3 & frazione_efficace>=0.7",2,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_effective<=4 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_effective<=5 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_effective<=6 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_effective<=8 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_effective<=10 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_kish<=3 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_kish<=4 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & k_kish<=5 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & n_studi_model<=0 & frazione_efficace>=0.5",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & n_studi_model<=0 & !ramo_anchor",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & n_studi_model<=2 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & frazione_efficace>=0.5 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & frazione_efficace>=0.6 & frazione_efficace>=0.7",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & frazione_efficace>=0.7 & !entita_NCBITaxon",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & frazione_efficace>=0.7 & controllo_veicolo",3,0.454545454545455,0.217391304347826,11
"k_effective<=3 & frazione_efficace>=0.7 & verso_gain",3,0.454545454545455,0.217391304347826,11
"k_effective<=4 & n_studi_model<=0 & I2_med<=50",3,0.454545454545455,0.217391304347826,11
"k_effective<=5 & frazione_efficace>=0.7 & !dominato",3,0.454545454545455,0.217391304347826,11
"k_effective<=6 & I2_med<=50 & entita_STR",3,0.454545454545455,0.217391304347826,11
"k_kish<=4 & n_studi_model<=0 & I2_med<=50",3,0.454545454545455,0.217391304347826,11
"k_kish<=4 & frazione_efficace>=0.7 & !dominato",3,0.454545454545455,0.217391304347826,11
"k_kish<=5 & n_studi_model<=0 & I2_med<=50",3,0.454545454545455,0.217391304347826,11
"n_studi_model<=0 & I2_med<=50 & !entita_MeSH",3,0.454545454545455,0.217391304347826,11
"n_studi_model<=0 & I2_med<=50 & controllo_veicolo",3,0.454545454545455,0.217391304347826,11
"n_studi_model<=0 & entita_STR & !ramo_anchor",3,0.454545454545455,0.217391304347826,11
"n_studi_model<=1 & I2_med<=50 & stessi_membri",3,0.454545454545455,0.217391304347826,11
"frazione_efficace>=0.5 & I2_med<=60 & entita_STR",3,0.454545454545455,0.217391304347826,11
"I2_med<=50 & !materiale_misto & stessi_membri",3,0.454545454545455,0.217391304347826,11
"I2_med<=50 & !dominato_da_modello & stessi_membri",3,0.454545454545455,0.217391304347826,11
"I2_med<=70 & !materiale_misto & entita_STR",3,0.454545454545455,0.217391304347826,11
"k_effective<=6 & frazione_efficace>=0.7 & !materiale_misto",3,0.45,0.391304347826087,20
"k_effective<=6 & frazione_efficace>=0.7 & !dominato_da_modello",3,0.45,0.391304347826087,20
"k_effective<=8 & frazione_efficace>=0.7 & !stessi_membri",3,0.444444444444444,0.347826086956522,18
"k_effective<=10 & frazione_efficace>=0.7 & !dominato",3,0.444444444444444,0.347826086956522,18
"k_effective<=10 & frazione_efficace>=0.6 & !dominato",3,0.44,0.478260869565217,25
"n_studi_model<=0 & I2_med<=60",2,0.4375,0.304347826086957,16
"k_effective<=6 & k_kish<=4 & !dominato",3,0.4375,0.304347826086957,16
"k_effective<=6 & n_studi_model<=0 & I2_med<=60",3,0.4375,0.304347826086957,16
"k_effective<=8 & n_studi_model<=0 & I2_med<=60",3,0.4375,0.304347826086957,16
"k_effective<=10 & n_studi_model<=0 & I2_med<=60",3,0.4375,0.304347826086957,16
"k_kish<=4 & frazione_efficace>=0.6 & !dominato",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & n_studi_model<=1 & I2_med<=60",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & n_studi_model<=2 & I2_med<=60",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & I2_med<=60 & I2_med<=70",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & I2_med<=60 & !materiale_misto",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & I2_med<=60 & !dominato_da_modello",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & I2_med<=60 & !entita_NCBITaxon",3,0.4375,0.304347826086957,16
"n_studi_model<=0 & I2_med<=60 & verso_gain",3,0.4375,0.304347826086957,16
"k_effective<=8 & !dominato & !entita_MeSH",3,0.434782608695652,0.434782608695652,23
"n_studi_model<=1 & frazione_efficace>=0.6 & !dominato",3,0.434782608695652,0.434782608695652,23
"k_effective<=6 & n_studi_model<=1 & frazione_efficace>=0.7",3,0.428571428571429,0.391304347826087,21
"n_studi_model<=1 & !dominato & !entita_MeSH",3,0.428571428571429,0.391304347826087,21
"I2_med<=50 & stessi_membri",2,0.428571428571429,0.260869565217391,14
"k_effective<=4 & n_studi_model<=0 & I2_med<=60",3,0.428571428571429,0.260869565217391,14
"k_effective<=5 & !materiale_misto & entita_STR",3,0.428571428571429,0.260869565217391,14
"k_effective<=5 & entita_STR & !ramo_anchor",3,0.428571428571429,0.260869565217391,14
"k_effective<=6 & I2_med<=70 & entita_STR",3,0.428571428571429,0.260869565217391,14
"k_effective<=6 & !materiale_misto & entita_STR",3,0.428571428571429,0.260869565217391,14
"k_effective<=8 & I2_med<=50 & stessi_membri",3,0.428571428571429,0.260869565217391,14
"k_effective<=8 & I2_med<=60 & entita_STR",3,0.428571428571429,0.260869565217391,14
"k_effective<=10 & I2_med<=50 & stessi_membri",3,0.428571428571429,0.260869565217391,14
"k_effective<=10 & I2_med<=60 & entita_STR",3,0.428571428571429,0.260869565217391,14
"k_kish<=5 & frazione_efficace>=0.7 & !stessi_membri",3,0.428571428571429,0.260869565217391,14
"n_studi_model<=2 & I2_med<=50 & stessi_membri",3,0.428571428571429,0.260869565217391,14
"I2_med<=50 & I2_med<=60 & stessi_membri",3,0.428571428571429,0.260869565217391,14
"I2_med<=50 & I2_med<=70 & stessi_membri",3,0.428571428571429,0.260869565217391,14
"I2_med<=50 & stessi_membri & !entita_NCBITaxon",3,0.428571428571429,0.260869565217391,14
"I2_med<=50 & stessi_membri & verso_gain",3,0.428571428571429,0.260869565217391,14
"I2_med<=60 & stessi_membri & !ramo_anchor",3,0.428571428571429,0.260869565217391,14
"!materiale_misto & entita_STR & !ramo_anchor",3,0.428571428571429,0.260869565217391,14
"k_effective<=6 & frazione_efficace>=0.7 & !entita_STR",3,0.421052631578947,0.347826086956522,19
"k_effective<=10 & frazione_efficace>=0.7 & !stessi_membri",3,0.421052631578947,0.347826086956522,19
"n_studi_model<=1 & frazione_efficace>=0.7 & !dominato",3,0.421052631578947,0.347826086956522,19
"k_effective<=8 & !dominato & !materiale_misto",3,0.416666666666667,0.434782608695652,24
"k_effective<=10 & n_studi_model<=1 & !dominato",3,0.416666666666667,0.434782608695652,24
"frazione_efficace>=0.6 & !dominato & !materiale_misto",3,0.416666666666667,0.434782608695652,24
"k_effective<=3 & n_studi_model<=0 & dominato",3,0.416666666666667,0.217391304347826,12
"k_effective<=3 & n_studi_model<=0 & !entita_MeSH",3,0.416666666666667,0.217391304347826,12
"k_effective<=3 & n_studi_model<=0 & controllo_veicolo",3,0.416666666666667,0.217391304347826,12
"k_effective<=4 & !materiale_misto & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_effective<=4 & entita_STR & !ramo_anchor",3,0.416666666666667,0.217391304347826,12
"k_effective<=5 & n_studi_model<=0 & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_effective<=5 & I2_med<=60 & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_effective<=6 & n_studi_model<=0 & frazione_efficace>=0.7",3,0.416666666666667,0.217391304347826,12
