"cluster_id","n_confronti_censiti","study_id","etichetta_trattato","etichetta_controllo","meccanismo","chiave","rec","braccio","dedup","nmin","altro","stato"
"cgroup_L5_2e16719f",145,"GSE139963","Hypoxia + TGF-β1","PBS (Vehicle Control)","1 secondo agente (Hypoxia non isolata; lo stesso studio ha anche TGF-β1 vs PBS pulito)","GSE139963 ‖ Hypoxia + TGF-β1 ‖ PBS (Vehicle Control)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE240476","Fibrotic tissue, TGFB+AR","Fibrotic tissue, Vehicle","1 secondo agente (AR non isolato)","GSE240476 ‖ Fibrotic tissue, TGFB+AR ‖ Fibrotic tissue, Vehicle",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE240476","Fibrotic tissue, TGFB+AR","Fibrotic tissue, Vehicle","1 secondo agente (AR non isolato, duplicato n=2 vs 1)","GSE240476 ‖ Fibrotic tissue, TGFB+AR ‖ Fibrotic tissue, Vehicle",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE240476","Non-fibrotic tissue, TGFB+AR","Non-fibrotic tissue, Vehicle","1 secondo agente (AR non isolato)","GSE240476 ‖ Non-fibrotic tissue, TGFB+AR ‖ Non-fibrotic tissue, Vehicle",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE240476","Knee tissue, TGFB","Non-fibrotic tissue, Vehicle","2 sede diversa (ginocchio vs non-fibrotico)","GSE240476 ‖ Knee tissue, TGFB ‖ Non-fibrotic tissue, Vehicle",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE240476","Knee tissue, TGFB","Non-fibrotic tissue, Vehicle","2 sede diversa (duplicato identico)","GSE240476 ‖ Knee tissue, TGFB ‖ Non-fibrotic tissue, Vehicle",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days","Primary Mesenchymal Stem Cells (Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days ‖ Primary Mesenchymal Stem Cells (Control)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 14 days","Primary Mesenchymal Stem Cells (Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 14 days ‖ Primary Mesenchymal Stem Cells (Control)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 21 days","Primary Mesenchymal Stem Cells (Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 21 days ‖ Primary Mesenchymal Stem Cells (Control)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days (Replicate)","Primary Mesenchymal Stem Cells (Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days (Replicate) ‖ Primary Mesenchymal Stem Cells (Control)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days","Primary Mesenchymal Stem Cells (Vehicle Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days ‖ Primary Mesenchymal Stem Cells (Vehicle Control)",1,0,0,1,0,"fuori: n_min"
