"cluster_id","entita","k","confronti_censiti","bracci_veri","accuse","accuse_dentro","accuse_collassate","accuse_fuori","studi_accusati_dentro"
"cgroup_L5_2e16719f","TGFB1",59,145,97,29,12,0,17,5
"cgroup_L5_c548d053","lipopolysaccharide",35,72,54,6,6,0,0,5
"cgroup_L5_871ae09e","SARS-CoV-2",34,98,68,3,1,0,2,1
"cgroup_L5_d9e23e09","TNF",32,71,46,4,0,0,4,0
"cgroup_L5_83f57274","hypoxia",25,58,37,3,2,0,1,2
"cgroup_L5_b71a25a2","JQ1",25,58,39,6,4,0,2,1
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)",23,44,32,3,2,0,1,2
"cgroup_L5_f94b6180","R1881 (metribolone)",22,92,43,4,2,0,2,2
"cgroup_L5_87c40ebb","IFNG",20,35,24,3,1,0,2,1
"cgroup_L5_c0d1d837","enzalutamide",19,45,27,4,0,0,4,0
"cgroup_L5_905be893","IL1B",18,37,26,4,4,0,0,2
"cgroup_L5_021e875e","cisplatin",17,49,23,5,4,0,1,2
"cgroup_L5_b6b8bc00","palbociclib",15,39,17,11,3,0,8,2
