"cluster_id","entita","k","studi_vecchi","studi_corretti","peso_pubblicato","peso_regola_nuova_lista_vecchia","peso_regola_vecchia_lista_nuova","peso_CORRETTO"
"cgroup_L5_2e16719f","TGFB1",59,5,5,6.70146385868849,9.10413869988708,6.70146385868849,9.10413869988708
"cgroup_L5_c548d053","lipopolysaccharide",35,5,5,19.5391903032514,15.9073246177151,19.5391903032514,15.9073246177151
"cgroup_L5_871ae09e","SARS-CoV-2",34,2,1,0.690394655562589,3.94424283501057,0.424941929185419,2.08659204123005
"cgroup_L5_d9e23e09","TNF",32,3,0,13.825168317909,10.5024291008013,0,0
"cgroup_L5_83f57274","hypoxia",25,2,2,1.33153913719581,5.03633317945723,1.33153913719581,5.03633317945723
"cgroup_L5_b71a25a2","JQ1",25,1,1,3.23619841845554,4.52357786280739,3.23619841845554,4.52357786280739
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)",23,3,2,12.0304200897526,12.1782267370228,11.0486446467654,9.07336739849105
"cgroup_L5_f94b6180","R1881 (metribolone)",22,3,2,4.3962592642905,13.1635933315346,2.97421516085707,8.78214051120775
"cgroup_L5_87c40ebb","IFNG",20,2,1,12.9749947413767,11.573438039749,7.53088132236747,5.96028958365034
"cgroup_L5_c0d1d837","enzalutamide",19,1,0,12.1320865410131,6.33092477628069,0,0
"cgroup_L5_905be893","IL1B",18,2,2,33.6741675173896,13.3104400208123,33.6741675173896,13.3104400208123
"cgroup_L5_021e875e","cisplatin",17,2,2,4.67391989566014,12.013689979068,4.67391989566014,12.013689979068
"cgroup_L5_b6b8bc00","palbociclib",15,3,2,16.1427397888845,20.0389023960142,15.7203783655978,15.3842065448398
