"cluster_id","entita","tipo","chi","modo","n_studi_tolti","bracci_tolti","campioni_tolti","n_geni_richiesti","n_geni_confrontati","n_geni_spariti","spearman","n_sig_pieno","n_sig_ridotto","n_sig_persi","n_sig_guadagnati","max_abs_delta_logFC","gene_max_delta","k_pieno","k_ridotto"
"cgroup_L5_021e875e","cisplatin","accusato (LOO)","GSE161800","tutti",1,3,16,835,832,3,0.853662826239233,835,634,201,0,0.0718548910612178,"ENSG00000206500",17,16
"cgroup_L5_021e875e","cisplatin","accusato (LOO)","GSE206649","tutti",1,1,6,835,835,0,0.806168343136631,835,785,50,0,0.0126425801570431,"ENSG00000100100",17,16
"cgroup_L5_021e875e","cisplatin","accusati (blocco)","GSE161800+GSE206649","tutti",2,4,22,835,832,3,0.720309354316693,835,663,172,0,0.0718548910612178,"ENSG00000206500",17,15
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE145085","tutti",1,1,8,835,811,24,0.735131919438534,835,575,260,0,0.864335559427681,"ENSG00000271824",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE157069","tutti",1,1,4,835,835,0,0.89068030007543,835,626,209,0,0.0317267973016729,"ENSG00000100100",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE163377","tutti",1,1,6,835,834,1,0.910574054187397,835,509,326,0,0.038322135741368,"ENSG00000275758",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE165767","tutti",1,1,5,835,786,49,0.868116280320042,835,745,90,0,0.433020809782477,"ENSG00000284872",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE173201","tutti",1,1,6,835,833,2,0.909661765332069,835,629,206,0,0.0106556788630142,"ENSG00000275758",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE195663","tutti",1,2,20,835,833,2,0.915755643391436,835,818,17,0,0.110117777158134,"ENSG00000100100",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE209769","tutti",1,1,6,835,826,9,0.82978627992353,835,562,273,0,0.0555657819942198,"ENSG00000244242",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE213102","tutti",1,3,15,835,830,5,0.883987643973289,835,530,305,0,0.191583695914701,"ENSG00000206500",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE216043","tutti",1,1,5,835,833,2,0.890798118734229,835,761,74,0,0.0840045749565012,"ENSG00000142182",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE223839","tutti",1,1,4,835,827,8,0.833175130137205,835,453,382,0,0.804088883727248,"ENSG00000271824",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE235681","tutti",1,1,5,835,834,1,0.881205528532564,835,522,313,0,0.0351637293941405,"ENSG00000206500",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE235908","tutti",1,1,6,835,834,1,0.896100388825953,835,656,179,0,0.0425519443720952,"ENSG00000244242",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE241595","tutti",1,1,5,835,835,0,0.903111987630252,835,811,24,0,0.219864716652648,"ENSG00000227877",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE249026","tutti",1,1,6,835,835,0,0.899022109286102,835,765,70,0,0.0570578109232747,"ENSG00000100100",17,16
"cgroup_L5_021e875e","cisplatin","pulito (LOO)","GSE264575","tutti",1,2,9,835,832,3,0.805305915459221,835,790,45,0,0.0407474544087392,"ENSG00000244242",17,16
"cgroup_L5_021e875e","cisplatin","nullo appaiato","estrazione 1","tutti",3,4,23,835,797,38,0.603084802974242,835,509,326,0,0.864335559427681,"ENSG00000271824",17,14
"cgroup_L5_021e875e","cisplatin","nullo appaiato","estrazione 2","tutti",4,4,20,835,832,3,0.705141068089358,835,487,348,0,0.219864716652648,"ENSG00000227877",17,13
"cgroup_L5_021e875e","cisplatin","nullo appaiato","estrazione 3","tutti",2,4,19,835,820,15,0.76145293457894,835,280,555,0,0.804088883727248,"ENSG00000271824",17,15
