"entita","k","bracci_tolti","bracci_nullo","sp_acc","sp_nullo_med","d_acc","d_nullo_med","d_nullo_p90","sig_persi_acc","sig_persi_nullo","sig_pieno","pct_d","pct_sp","sig_persi_pct"
"TGFB1",58,16,16,0.901693311395286,0.92034796680002,0.203112408302129,0.348740522516237,0.510377382335957,594,1203,7909,0.1,0.85,7.51043115438108
"SARS-CoV-2",34,1,2,0.88604589200569,0.949124360992855,0.00265073585554287,0.110596873071396,0.412123823065755,85,122.5,1933,0,0.9,4.39730988101397
"lipopolysaccharide",34,8,8,0.916595784898701,0.915817660611639,0.463715518217416,0.404523429314244,0.661924606888377,1062,1186.5,6883,0.6,0.5,15.4293186110708
"JQ1",25,4,4,0.985137952342043,0.943586497371367,0.0474699937868077,0.174039254014396,0.51690808688582,252,851.5,9678,0.1,0,2.60384376937384
"hypoxia",24,2,2,0.953676308547058,0.936180360535123,0.69635407427746,0.106321169391396,0.224441975665632,425,545.5,4068,1,0.35,10.4473942969518
"DHT (5alpha-dihydrotestosterone)",23,2,2,0.895832633915209,0.939112217849092,0.254493817603515,0.150060284336406,0.38603134514686,492,575.5,4875,0.65,0.95,10.0923076923077
"R1881 (metribolone)",22,4,4.5,0.913853149697533,0.948681015171635,0.269584601358319,0.304424603780196,0.434971012253451,560,773,8427,0.45,1,6.64530675210632
"IFNG",20,2,2,0.923978223565679,0.909440053942004,0.241302216596303,0.318938141135325,0.500541786004686,431,658.5,3579,0.2,0.3,12.042469963677
"cisplatin",17,4,4,0.720309354316693,0.699310134151433,0.0718548910612178,0.219864716652648,0.864335559427681,172,326,835,0,0.4,20.5988023952096
"IL1B",17,3,3.5,0.73172767690592,0.807951678007123,0.69084196083448,0.327703575720884,0.440422662083409,266,509.5,1681,0.95,0.95,15.8239143367043
"palbociclib",15,3,3,0.716481800508912,0.821576734976603,0.145143637404192,0.160619185575547,1.03051497043145,251,932,2833,0.5,0.85,8.85986586657254
