"cluster_id","entita","chi","pct_d","pct_sp","pct_sig"
"cgroup_L5_021e875e","cisplatin","GSE161800",0.533333333333333,0.733333333333333,0.466666666666667
"cgroup_L5_021e875e","cisplatin","GSE206649",0.0666666666666667,0.866666666666667,0.2
"cgroup_L5_2e16719f","TGFB1","GSE139963",0.555555555555556,0.666666666666667,0.759259259259259
"cgroup_L5_2e16719f","TGFB1","GSE240476",0.185185185185185,0.62962962962963,0.407407407407407
"cgroup_L5_2e16719f","TGFB1","GSE210984",0.685185185185185,1,0.518518518518518
"cgroup_L5_2e16719f","TGFB1","GSE161176",0.537037037037037,1,0.740740740740741
"cgroup_L5_2e16719f","TGFB1","GSE97358",0.648148148148148,0.37037037037037,0.444444444444444
"cgroup_L5_83f57274","hypoxia","GSE269699",1,0.434782608695652,0.260869565217391
"cgroup_L5_83f57274","hypoxia","GSE139233",0.565217391304348,0.0434782608695652,0.565217391304348
"cgroup_L5_871ae09e","SARS-CoV-2","GSE169241",0,0.939393939393939,0.272727272727273
"cgroup_L5_87c40ebb","IFNG","GSE141585",0.789473684210526,0.894736842105263,0.684210526315789
"cgroup_L5_905be893","IL1B","GSE134896",0.625,1,0.8125
"cgroup_L5_905be893","IL1B","GSE162691",1,0.75,0.0625
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)","GSE130247",0.761904761904762,0.619047619047619,0.238095238095238
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)","GSE99626",0.761904761904762,0.857142857142857,0.428571428571429
"cgroup_L5_b6b8bc00","palbociclib","GSE133567",0.846153846153846,0.846153846153846,0.0769230769230769
"cgroup_L5_b6b8bc00","palbociclib","GSE234514",0.846153846153846,0.923076923076923,0.384615384615385
"cgroup_L5_b71a25a2","JQ1","GSE78801",0.5,0.5,0.166666666666667
"cgroup_L5_c548d053","lipopolysaccharide","GSE97744",1,0.0666666666666667,0.133333333333333
"cgroup_L5_c548d053","lipopolysaccharide","GSE180693",0.933333333333333,0.166666666666667,0.2
"cgroup_L5_c548d053","lipopolysaccharide","GSE181851",1,0.766666666666667,0.933333333333333
"cgroup_L5_c548d053","lipopolysaccharide","GSE245677",0.666666666666667,0.933333333333333,0.9
"cgroup_L5_c548d053","lipopolysaccharide","GSE76404",0.333333333333333,0.666666666666667,0.5
"cgroup_L5_f94b6180","R1881 (metribolone)","GSE172205",0.4,0.55,0.25
"cgroup_L5_f94b6180","R1881 (metribolone)","GSE225481",0.9,1,0.7
