"cluster_id","entita","chi","bracci","n_rif","usabile","pct_d","pct_sp"
"cgroup_L5_021e875e","cisplatin","GSE161800",3,1,FALSE,NA,NA
"cgroup_L5_021e875e","cisplatin","GSE206649",1,12,TRUE,0.0833333333333333,0.916666666666667
"cgroup_L5_2e16719f","TGFB1","GSE139963",2,11,TRUE,0.454545454545455,0.545454545454545
"cgroup_L5_2e16719f","TGFB1","GSE240476",1,36,TRUE,0.194444444444444,0.694444444444444
"cgroup_L5_2e16719f","TGFB1","GSE210984",3,5,TRUE,0.8,1
"cgroup_L5_2e16719f","TGFB1","GSE161176",6,0,FALSE,NA,NA
"cgroup_L5_2e16719f","TGFB1","GSE97358",4,2,FALSE,NA,NA
"cgroup_L5_83f57274","hypoxia","GSE269699",1,14,TRUE,1,0.5
"cgroup_L5_83f57274","hypoxia","GSE139233",1,14,TRUE,0.571428571428571,0.0714285714285714
"cgroup_L5_871ae09e","SARS-CoV-2","GSE169241",1,17,TRUE,0,0.882352941176471
"cgroup_L5_87c40ebb","IFNG","GSE141585",2,1,FALSE,NA,NA
"cgroup_L5_905be893","IL1B","GSE134896",2,1,FALSE,NA,NA
"cgroup_L5_905be893","IL1B","GSE162691",1,13,TRUE,1,0.692307692307692
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)","GSE130247",1,14,TRUE,0.785714285714286,0.714285714285714
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)","GSE99626",1,14,TRUE,0.785714285714286,1
"cgroup_L5_b6b8bc00","palbociclib","GSE133567",1,12,TRUE,0.916666666666667,0.833333333333333
"cgroup_L5_b6b8bc00","palbociclib","GSE234514",2,1,FALSE,NA,NA
"cgroup_L5_b71a25a2","JQ1","GSE78801",4,1,FALSE,NA,NA
"cgroup_L5_c548d053","lipopolysaccharide","GSE97744",1,19,TRUE,1,0.0526315789473684
"cgroup_L5_c548d053","lipopolysaccharide","GSE180693",2,8,TRUE,1,0.25
"cgroup_L5_c548d053","lipopolysaccharide","GSE181851",2,8,TRUE,1,0.625
"cgroup_L5_c548d053","lipopolysaccharide","GSE245677",2,8,TRUE,0.75,0.75
"cgroup_L5_c548d053","lipopolysaccharide","GSE76404",1,19,TRUE,0.315789473684211,0.789473684210526
"cgroup_L5_f94b6180","R1881 (metribolone)","GSE172205",1,9,TRUE,0.333333333333333,0.888888888888889
"cgroup_L5_f94b6180","R1881 (metribolone)","GSE225481",3,2,FALSE,NA,NA
