"cluster_id","record_id","study_id","treated_group","control_group","n_treated","n_control","esito"
"cgroup_L5_004d293d","GSE114575__GSE114575__lapatinib_vs_untreated_SKBr3__1","GSE114575","grp_0003","grp_0005",1,1,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_3_uM_6h_vs_DMSO_0.001_uM_6h__1","GSE114686","grp_Lapatinib_3_uM_6h","grp_DMSO_0.001_uM_6h",2,1,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_10_uM_24h_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_10_uM_24h","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_1_uM_24h_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_1_uM_24h","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_10_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_10_uM_24h_2","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_3_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_3_uM_24h_2","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_3_uM_6h_2_vs_DMSO_0.001_uM_6h__1","GSE114686","grp_Lapatinib_3_uM_6h_2","grp_DMSO_0.001_uM_6h",1,1,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_1_uM_24h_2_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_1_uM_24h_2","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_10_uM_24h_3_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_10_uM_24h_3","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_3_uM_168h_2_vs_DMSO_0.001_uM_168h__1","GSE114686","grp_Lapatinib_3_uM_168h_2","grp_DMSO_0.001_uM_168h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_3_uM_24h_3_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_3_uM_24h_3","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE114686__GSE114686__Lapatinib_1_uM_24h_3_vs_DMSO_0.001_uM_24h__1","GSE114686","grp_Lapatinib_1_uM_24h_3","grp_DMSO_0.001_uM_24h",1,3,"sotto_n_min"
"cgroup_L5_004d293d","GSE132055__GSE132055__grp_0002_vs_grp_0004__1","GSE132055","grp_0002","grp_0004",1,1,"sotto_n_min"
"cgroup_L5_004d293d","GSE146096__GSE146096__grp_lapatinib_2uM_vs_grp_vehicle__1","GSE146096","mg71","mg1",5,102,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__Lapatinib_vs_DMSO__1","GSE186341","mg6","mg1",2,17,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__Lapatinib_vs_DMSO__2","GSE186341","mg81","mg76",1,48,"sotto_n_min"
"cgroup_L5_004d293d","GSE186341__GSE186341__Lapatinib_vs_DMSO__4","GSE186341","mg196","mg168",2,9,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__grp_017_vs_grp_052__1","GSE186341","mg229","mg264",2,26,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__HSTS_Lapatinib_vs_HSTS_DMSO__1","GSE186341","mg293","mg283",2,27,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__grp_001_vs_grp_022__1","GSE186341","mg308","mg329",1,35,"sotto_n_min"
"cgroup_L5_004d293d","GSE186341__GSE186341__LNCaP_Lapatinib_vs_LNCaP_DMSO__1","GSE186341","mg378","mg363",2,23,"ammessa"
"cgroup_L5_004d293d","GSE186341__GSE186341__NCI-H1793_Lapatinib_vs_NCI-H1793_DMSO__1","GSE186341","mg393","mg387",1,22,"sotto_n_min"
"cgroup_L5_004d293d","GSE186341__GSE186341__grp_0023_vs_grp_0019__1","GSE186341","mg429","mg425",2,3,"ammessa"
