"cluster_id","study_id","treated_group","n_treated","n_control","n_bio_treated","n_bio_control","tocca","cade"
"cgroup_L5_004d293d","GSE146096","mg71",5,102,5,102,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg6",2,17,2,17,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg196",2,9,2,9,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg229",2,26,2,26,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg293",2,27,2,27,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg378",2,23,2,23,FALSE,FALSE
"cgroup_L5_004d293d","GSE186341","mg429",2,3,2,3,FALSE,FALSE
"cgroup_L5_004d293d","GSE217421","mg190",11,9,11,9,FALSE,FALSE
"cgroup_L5_004d293d","GSE237413","grp_0004",4,3,4,3,FALSE,FALSE
"cgroup_L5_004d293d","GSE89127","grp_N87_Lapatinib_100nM_48h",3,3,3,3,FALSE,FALSE
"cgroup_L5_00fd9348","GSE191165","grp_propranolol",3,3,3,3,FALSE,FALSE
"cgroup_L5_00fd9348","GSE199800","mg70",2,4,2,4,FALSE,FALSE
"cgroup_L5_00fd9348","GSE228234","grp_FT246_propranolol_24hr",2,2,2,2,FALSE,FALSE
"cgroup_L5_021e875e","GSE145085","grp_0001",4,4,4,4,FALSE,FALSE
"cgroup_L5_021e875e","GSE157069","grp_0002",2,2,2,2,FALSE,FALSE
"cgroup_L5_021e875e","GSE161800","grp_0001",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE161800","grp_0004",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE161800","grp_0006",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE163377","grp_CDDP_50uM_10h",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE165767","grp_0001",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE173201","grp_A2780_cisplatin",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE195663","grp_0012",2,8,2,8,FALSE,FALSE
"cgroup_L5_021e875e","GSE195663","grp_0013",2,8,2,8,FALSE,FALSE
"cgroup_L5_021e875e","GSE206649","grp_0002",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE209769","grp_0004",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE213102","grp_0006",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE213102","grp_0010",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE213102","grp_0013",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE216043","grp_0019",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE223839","grp_0014",2,2,2,2,FALSE,FALSE
"cgroup_L5_021e875e","GSE235681","grp_A549_cisplatin",2,3,2,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE235908","grp_0001",3,3,3,3,FALSE,FALSE
"cgroup_L5_021e875e","GSE241595","grp_0003",3,2,3,2,FALSE,FALSE
