"studio","a","b","ta","tb","r","stessa_libreria"
"GSE173902","GSM5282757","GSM5282758","none.none sam1_L001","SE.none sam2_L001",0.91010324353855,FALSE
"GSE173902","GSM5282757","GSM5282759","none.none sam1_L001","SA.none sam3_L001",0.91043713627974,FALSE
"GSE173902","GSM5282758","GSM5282759","SE.none sam2_L001","SA.none sam3_L001",0.91092568421215,FALSE
"GSE173902","GSM5282757","GSM5282760","none.none sam1_L001","none.IL4 sam4_L001",0.908702976493273,FALSE
"GSE173902","GSM5282758","GSM5282760","SE.none sam2_L001","none.IL4 sam4_L001",0.904315665606762,FALSE
"GSE173902","GSM5282759","GSM5282760","SA.none sam3_L001","none.IL4 sam4_L001",0.905697315275739,FALSE
"GSE173902","GSM5282757","GSM5282761","none.none sam1_L001","SE.IL4 sam5_L001",0.90193199079611,FALSE
"GSE173902","GSM5282758","GSM5282761","SE.none sam2_L001","SE.IL4 sam5_L001",0.901773444579042,FALSE
"GSE173902","GSM5282759","GSM5282761","SA.none sam3_L001","SE.IL4 sam5_L001",0.904604712018384,FALSE
"GSE173902","GSM5282760","GSM5282761","none.IL4 sam4_L001","SE.IL4 sam5_L001",0.907632696140552,FALSE
"GSE173902","GSM5282757","GSM5282762","none.none sam1_L001","SA.IL4 sam6_L001",0.903692003891489,FALSE
"GSE173902","GSM5282758","GSM5282762","SE.none sam2_L001","SA.IL4 sam6_L001",0.903826964939445,FALSE
"GSE173902","GSM5282759","GSM5282762","SA.none sam3_L001","SA.IL4 sam6_L001",0.906047855572459,FALSE
"GSE173902","GSM5282760","GSM5282762","none.IL4 sam4_L001","SA.IL4 sam6_L001",0.909745262588218,FALSE
"GSE173902","GSM5282761","GSM5282762","SE.IL4 sam5_L001","SA.IL4 sam6_L001",0.909784485968129,FALSE
"GSE173902","GSM5282757","GSM5282763","none.none sam1_L001","none.IL13 sam7_L001",0.904442119607817,FALSE
"GSE173902","GSM5282758","GSM5282763","SE.none sam2_L001","none.IL13 sam7_L001",0.902230035846332,FALSE
"GSE173902","GSM5282759","GSM5282763","SA.none sam3_L001","none.IL13 sam7_L001",0.902680506988563,FALSE
"GSE173902","GSM5282760","GSM5282763","none.IL4 sam4_L001","none.IL13 sam7_L001",0.909733359538696,FALSE
"GSE173902","GSM5282761","GSM5282763","SE.IL4 sam5_L001","none.IL13 sam7_L001",0.903991424906435,FALSE
"GSE173902","GSM5282762","GSM5282763","SA.IL4 sam6_L001","none.IL13 sam7_L001",0.904604900575642,FALSE
"GSE173902","GSM5282757","GSM5282764","none.none sam1_L001","SE.IL13 sam8_L001",0.903203381385906,FALSE
"GSE173902","GSM5282758","GSM5282764","SE.none sam2_L001","SE.IL13 sam8_L001",0.903978928629289,FALSE
"GSE173902","GSM5282759","GSM5282764","SA.none sam3_L001","SE.IL13 sam8_L001",0.904597365835703,FALSE
"GSE173902","GSM5282760","GSM5282764","none.IL4 sam4_L001","SE.IL13 sam8_L001",0.906982524899363,FALSE
"GSE173902","GSM5282761","GSM5282764","SE.IL4 sam5_L001","SE.IL13 sam8_L001",0.906471465270362,FALSE
"GSE173902","GSM5282762","GSM5282764","SA.IL4 sam6_L001","SE.IL13 sam8_L001",0.908516373367159,FALSE
"GSE173902","GSM5282763","GSM5282764","none.IL13 sam7_L001","SE.IL13 sam8_L001",0.904860254312366,FALSE
"GSE173902","GSM5282757","GSM5282765","none.none sam1_L001","SA.IL13 sam9_L001",0.899812045243882,FALSE
"GSE173902","GSM5282758","GSM5282765","SE.none sam2_L001","SA.IL13 sam9_L001",0.901809907787906,FALSE
"GSE173902","GSM5282759","GSM5282765","SA.none sam3_L001","SA.IL13 sam9_L001",0.901627539827722,FALSE
"GSE173902","GSM5282760","GSM5282765","none.IL4 sam4_L001","SA.IL13 sam9_L001",0.904435311999806,FALSE
"GSE173902","GSM5282761","GSM5282765","SE.IL4 sam5_L001","SA.IL13 sam9_L001",0.904100174816792,FALSE
"GSE173902","GSM5282762","GSM5282765","SA.IL4 sam6_L001","SA.IL13 sam9_L001",0.904923708318883,FALSE
"GSE173902","GSM5282763","GSM5282765","none.IL13 sam7_L001","SA.IL13 sam9_L001",0.901424998565498,FALSE
"GSE173902","GSM5282764","GSM5282765","SE.IL13 sam8_L001","SA.IL13 sam9_L001",0.904064537957866,FALSE
"GSE173902","GSM5282757","GSM5282766","none.none sam1_L001","none.IL4IL13 sam10_L001",0.905356069201384,FALSE
"GSE173902","GSM5282758","GSM5282766","SE.none sam2_L001","none.IL4IL13 sam10_L001",0.902345680049461,FALSE
"GSE173902","GSM5282759","GSM5282766","SA.none sam3_L001","none.IL4IL13 sam10_L001",0.902828479774501,FALSE
"GSE173902","GSM5282760","GSM5282766","none.IL4 sam4_L001","none.IL4IL13 sam10_L001",0.912357544511204,FALSE
"GSE173902","GSM5282761","GSM5282766","SE.IL4 sam5_L001","none.IL4IL13 sam10_L001",0.905584014097271,FALSE
"GSE173902","GSM5282762","GSM5282766","SA.IL4 sam6_L001","none.IL4IL13 sam10_L001",0.90554108911024,FALSE
"GSE173902","GSM5282763","GSM5282766","none.IL13 sam7_L001","none.IL4IL13 sam10_L001",0.908064074004062,FALSE
"GSE173902","GSM5282764","GSM5282766","SE.IL13 sam8_L001","none.IL4IL13 sam10_L001",0.904957653407279,FALSE
"GSE173902","GSM5282765","GSM5282766","SA.IL13 sam9_L001","none.IL4IL13 sam10_L001",0.901871885903908,FALSE
"GSE173902","GSM5282757","GSM5282767","none.none sam1_L001","SE.IL4IL13 sam11_L001",0.90209653458011,FALSE
"GSE173902","GSM5282758","GSM5282767","SE.none sam2_L001","SE.IL4IL13 sam11_L001",0.903682930433449,FALSE
"GSE173902","GSM5282759","GSM5282767","SA.none sam3_L001","SE.IL4IL13 sam11_L001",0.901757244148618,FALSE
"GSE173902","GSM5282760","GSM5282767","none.IL4 sam4_L001","SE.IL4IL13 sam11_L001",0.906243297142821,FALSE
"GSE173902","GSM5282761","GSM5282767","SE.IL4 sam5_L001","SE.IL4IL13 sam11_L001",0.905292960143195,FALSE
