"studio","braccio","a","b","r","dichiarata","dep_a","dep_b"
"GSE181229","GSM5493221,GSM5493222,GSM5493223,GSM5493","GSM5493222","GSM5493223",0.998848030056235,FALSE,75238410,35238056
"GSE260507","GSM8118584,GSM8118585,GSM8118586","GSM8118584","GSM8118585",0.998655631047054,FALSE,146168924,153398059
"GSE143905,GSE143907","GSM4276552,GSM4276553","GSM4276552","GSM4276553",0.99861652064347,FALSE,111986684,97277072
"GSE216988,GSE216989","GSM6701752,GSM6701753","GSM6701752","GSM6701753",0.998589654150629,FALSE,94246054,119438330
"GSE247777","GSM7900692,GSM7900693,GSM7900694,GSM7900","GSM7900692","GSM7900693",0.998398694120862,FALSE,116594737,103626306
"GSE260507","GSM8118590,GSM8118591,GSM8118592","GSM8118590","GSM8118591",0.998397173635802,FALSE,123131709,142599941
"GSE65420","GSM1595841,GSM1595842,GSM1595843","GSM1595842","GSM1595843",0.998293026297423,FALSE,58314420,72695177
"GSE65420","GSM1595839,GSM1595840","GSM1595839","GSM1595840",0.998203849831545,FALSE,55991754,69377952
"GSE65420","GSM1595841,GSM1595842,GSM1595843","GSM1595841","GSM1595842",0.998091192035776,FALSE,41914640,58314420
"GSE216988,GSE216989","GSM6701756,GSM6701757","GSM6701756","GSM6701757",0.998074575621195,FALSE,92721917,82490968
"GSE102812","GSM2746676,GSM2746679,GSM2746680,GSM2746","GSM2746685","GSM2746687",0.998040890171683,FALSE,57054308,50555289
"GSE102812","GSM2746670,GSM2746671,GSM2746672,GSM2746","GSM2746689","GSM2746690",0.998008066057311,FALSE,41516218,60895180
"GSE260507","GSM8118590,GSM8118591,GSM8118592","GSM8118590","GSM8118592",0.997933941719818,FALSE,123131709,126948420
"GSE117446,GSE128745","GSM3295001,GSM3295002","GSM3295001","GSM3295002",0.997903872405203,FALSE,58288740,54290307
"GSE222992","GSM6937817,GSM6937818,GSM6937819","GSM6937817","GSM6937818",0.99788118956492,FALSE,30094061,46182776
"GSE222992","GSM6937820,GSM6937821,GSM6937822","GSM6937820","GSM6937821",0.99781320886779,FALSE,31050427,37466114
"GSE222992","GSM6937814,GSM6937815,GSM6937816","GSM6937814","GSM6937815",0.997778786049708,FALSE,34248647,31513352
"GSE223839","GSM6997651,GSM6997652","GSM6997651","GSM6997652",0.997772784049939,FALSE,95454949,71622222
"GSE143905,GSE143907","GSM4276548,GSM4276549","GSM4276548","GSM4276549",0.99776833093841,FALSE,101338471,110935270
"GSE120660","GSM3407118,GSM3407119,GSM3407120","GSM3407119","GSM3407120",0.997765215392559,FALSE,35795918,53877657
"GSE157927","GSM4781045,GSM4781046","GSM4781045","GSM4781046",0.997738603061431,FALSE,37082974,43227074
"GSE253542","GSM8022913,GSM8022914,GSM8022915,GSM8022","GSM8022914","GSM8022915",0.997730930326146,FALSE,135003094,146537985
"GSE222117","GSM6915101,GSM6915102,GSM6915103,GSM6915","GSM6915101","GSM6915102",0.997714394516601,FALSE,57932565,57385315
"GSE252575","GSM8003412,GSM8003413,GSM8003414,GSM8003","GSM8003412","GSM8003413",0.997710509028352,FALSE,55925026,57267734
"GSE222992","GSM6937814,GSM6937815,GSM6937816","GSM6937815","GSM6937816",0.997709006508432,FALSE,31513352,32208086
"GSE222992","GSM6937814,GSM6937815,GSM6937816","GSM6937814","GSM6937816",0.997708523862323,FALSE,34248647,32208086
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880375","GSM7880376",0.997702873338309,FALSE,38077113,37669785
"GSE93330","GSM2451438,GSM2451439,GSM2451440","GSM2451438","GSM2451440",0.997675578392551,FALSE,98660558,57480050
