"cluster_id","k_ora","k_dopo","k_effective","canonical_name","contrast_entity","n_sig","k_kish","dominato"
"cgroup_L5_004d293d",5,5,5,"erythritol","CHEBI:49603",1052,2.22953019097398,TRUE
"cgroup_L5_00fd9348",3,3,3,"propranolol","CHEBI:8499",1413,1.42857040350008,TRUE
"cgroup_L5_021e875e",17,17,17,"2,2',3,4',5,5'-Hexachloro-4-biphenylol","CHEBI:27899",835,16.0511445913724,FALSE
"cgroup_L5_034592d9",3,2,3,"Staphylococcus epidermidis","NCBITaxon:1282",1539,1.50853935537484,TRUE
"cgroup_L5_03b38818",9,9,9,"sodium aurothiomalate","CHEBI:63637",671,3.96320633337472,FALSE
"cgroup_L5_03d0ca7b",3,3,3,"digoxin","CHEBI:4551",766,1.25382567165822,TRUE
"cgroup_L5_05322ba1",3,3,3,"omacetaxine mepesuccinate","CHEBI:71019",4270,2.07019261921039,TRUE
"cgroup_L5_089ccae5",5,5,5,"flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s","CHEBI:52717",1978,3.62280061333751,FALSE
"cgroup_L5_0e66597e",12,12,12,"fulvestrant","CHEBI:31638",2515,11.1656464101693,FALSE
"cgroup_L5_10344dfd",4,4,4,NA,"CHEBI:4167",2326,2.70420307933714,FALSE
"cgroup_L5_12212e41",8,8,8,"multiple sclerosis","STR:multiple_sclerosis",606,1.79967914204758,TRUE
"cgroup_L5_12228932",5,5,5,"SYPL1","HGNC:3229",1161,3.88939576435427,FALSE
"cgroup_L5_16525349",4,4,4,"4-coumaroyltriacetic acid lactone","CHEBI:78543",433,2.1208919655281,TRUE
"cgroup_L5_17b35bdc",4,4,4,"EIF5A2","CHEBI:4672",1465,2.03785021629203,TRUE
"cgroup_L5_17b55386",4,4,4,"Facioscapulohumeral muscular dystrophy","STR:fshd",1078,2.58207129920044,TRUE
"cgroup_L5_1bbf4b9b",6,6,6,"gastric cancer","MeSH:D013274",177,2.84221249960426,FALSE
"cgroup_L5_1d96b9da",10,10,10,"poly(I:C)","CHEBI:84491",268,2.11795209521677,TRUE
"cgroup_L5_1e8a735e",3,3,3,"thapsigargin","CHEBI:9516",2676,2.42054217712483,TRUE
"cgroup_L5_2248a891",3,3,3,"glutamine","CHEBI:42471",610,1.36330336499188,TRUE
"cgroup_L5_24ae0579",3,3,3,"4'-epidoxorubicin","CHEBI:47898",3040,1.37373664577723,TRUE
"cgroup_L5_28bee975",3,3,3,"MIVEBRESIB","CHEMBL:CHEMBL3987016",3706,2.64200419541602,FALSE
"cgroup_L5_2987cdb6",7,7,7,"erlotinib","CHEBI:114785",2479,5.91532909086212,FALSE
"cgroup_L5_29cb04f8",6,6,6,"5-fluorouracil","CHEBI:46345",1410,3.86071335474139,FALSE
"cgroup_L5_2a225fda",4,4,4,NA,"STR:asthma",77,2.08702399507103,TRUE
"cgroup_L5_2ab433c8",6,5,6,"IMPDH2","HGNC:14900",1121,3.23933946853316,FALSE
"cgroup_L5_2d53def6",3,3,3,"IL5","HGNC:6005",181,1.96346802967647,TRUE
"cgroup_L5_2e16719f",59,59,59,"TGFB1","HGNC:11766",7909,54.4703775303285,FALSE
"cgroup_L5_2ec87595",8,8,8,"metformin","CHEBI:6801",334,3.1653609017801,FALSE
"cgroup_L5_31308596",5,5,5,"phorbol 13-acetate 12-myristate","CHEBI:37537",989,1.95050018899075,TRUE
"cgroup_L5_3370a794",4,4,4,"Gilteritinib","CHEBI:145372",1094,2.33908637366901,TRUE
"cgroup_L5_3439da02",4,4,4,"tolcapone","CHEBI:68478",1335,3.33184153780177,FALSE
"cgroup_L5_344e058f",3,3,3,"Bone Morphogenetic Protein 4","HGNC:1071",2668,1.88844349503695,TRUE
"cgroup_L5_356eedd3",3,3,3,"trichostatin A","CHEBI:46024",3789,2.88805126205752,FALSE
"cgroup_L5_35d1be10",8,8,8,"anabolic androgenic steroid","STR:nutlin_3a",2342,6.8866565887166,FALSE
"cgroup_L5_3668c2c2",3,3,3,NA,"CHEMBL:CHEMBL4297771",154,2.193242160404,TRUE
"cgroup_L5_37942548",4,4,4,"ethyl (<i>R</i>)-3-hydroxyhexanoate","CHEBI:15367",762,2.45843996901004,TRUE
"cgroup_L5_37ecd157",4,4,4,"but-1-ene-1,2,4-tricarboxylic acid","STR:vegf",383,3.01199435129461,FALSE
"cgroup_L5_3824dc37",6,6,6,"nonalcoholic steatohepatitis","STR:nash",906,4.11300595141911,FALSE
"cgroup_L5_387b0d1a",3,3,3,"type 1 diabetes","MeSH:D003922",180,2.00324622956356,TRUE
"cgroup_L5_3973fe03",4,4,4,"Interleukin-1alpha","HGNC:5991",947,1.92997546780112,TRUE
"cgroup_L5_3a0a595f",10,10,10,"dihexadecanoyl phosphatidic acid","CHEBI:49375",325,3.31642884856301,FALSE
"cgroup_L5_3a58e5f5",3,3,3,"prostaglandin E<small><sub>2</sub></small>","CHEBI:15551",2479,1.58450751193891,TRUE
"cgroup_L5_3a625868",4,4,4,"trastuzumab","CHEBI:231601",1649,1.91785927552527,TRUE
"cgroup_L5_3b461817",4,4,4,"flavanone","CHEBI:52172",740,2.81372174256259,FALSE
"cgroup_L5_3b91a21d",6,6,6,"colorectal cancer","MeSH:D009362",1554,3.66999261783729,FALSE
"cgroup_L5_3be7454c",3,3,3,"Interferon-alpha","HGNC:5417",992,2.23962719439662,TRUE
"cgroup_L5_3d8c29f4",4,4,4,"Interleukin-2","HGNC:6001",387,2.38331415011889,TRUE
"cgroup_L5_3de56a79",3,3,3,"pdac","STR:pdac",27,1.52970243557852,TRUE
"cgroup_L5_3eaa92c9",5,5,5,"rosiglitazone","CHEBI:50122",863,3.31775174578659,FALSE
"cgroup_L5_3ec58cd6",7,7,7,"obese","STR:obese",46,2.10565032048838,TRUE
"cgroup_L5_3f0cc1fe",4,4,4,"ulcerative colitis","MeSH:D003093",555,2.35970915269914,TRUE
"cgroup_L5_3fa847fe",3,3,3,"osteoarthritis","STR:osteoarthritis",425,2.07689683238478,TRUE
"cgroup_L5_4041e3af",5,5,5,"GSK-J4","CHEBI:95077",2456,3.80807275953057,FALSE
"cgroup_L5_41f7b088",8,8,8,"acridone","CHEBI:49668",265,3.33788341032142,FALSE
"cgroup_L5_444e7fc2",9,9,9,"influenza virus","NCBITaxon:10359",787,5.57145197858652,FALSE
"cgroup_L5_455fe91d",3,3,3,"DAPT","CHEBI:86193",994,2.08135511230378,TRUE
"cgroup_L5_469db990",3,3,3,"hydrogen sulfide","STR:nahs",787,1.47456669111181,TRUE
"cgroup_L5_46a3a103",7,7,7,"Radiation","STR:radiation",800,4.28536244248764,FALSE
