"cluster_id","study_id","n_treated","n_control","sd_stim","SE","n_geni","rapporto","n_altri","noto"
"cgroup_L5_ff78d2a8","GSE198434",3,3,0.0714804121608132,0.0583635121326086,507,0.0665763422083739,2,FALSE
"cgroup_L5_523e64b9","GSE161283",2,2,0.0559236844461457,0.0559236844461457,1722,0.0869980759199417,2,FALSE
"cgroup_L5_83b1f88c","GSE188958",2,2,0.0665766383947583,0.0665766383947583,5307,0.0932509850758669,2,FALSE
"cgroup_L5_538960a6","GSE143982",2,2,0.117819209820664,0.117819209820664,588,0.0938083753698462,3,FALSE
"cgroup_L5_83b1f88c","GSE249573",2,2,0.0702288894173342,0.0702288894173342,2601,0.094324333817378,2,FALSE
"cgroup_L5_344e058f","GSE213245",2,9,0.149451242787618,0.116831410749373,2626,0.0948152978045822,2,FALSE
"cgroup_L5_8ac307e0","GSE171358",3,3,0.0865426606488043,0.0706617865241372,1937,0.128166362522093,3,FALSE
"cgroup_L5_344e058f","GSE213245",2,14,0.208108010741718,0.157314869217984,2638,0.132028497361081,2,FALSE
"cgroup_L5_601ede7b","GSE255958",3,3,0.0812469764110452,0.066337878450334,1591,0.136406308207546,9,FALSE
"cgroup_L5_004d293d","GSE89127",3,3,0.0880269250573039,0.0718736833388698,1012,0.137991137075286,4,FALSE
"cgroup_L5_6ee86f02","GSE212613",3,3,0.233600632759363,0.190734117950574,347,0.138060370774796,2,FALSE
"cgroup_L5_92f4f307","GSE179347",3,2,0.0858118812263574,0.0783351717493833,526,0.138507657399688,2,FALSE
"cgroup_L5_535d97f6","GSE193398",2,2,0.0879938776130723,0.0879938776130723,914,0.141165581891626,8,FALSE
"cgroup_L5_16525349","GSE95079",2,2,0.104568579741038,0.104568579741038,385,0.141883403285741,3,FALSE
"cgroup_L5_702a5dea","GSE213588",2,3,0.0601164195747625,0.0548785317959043,4914,0.149743553374788,8,FALSE
"cgroup_L5_a8d88150","GSE211850",3,2,0.111567002757071,0.101846273472148,1056,0.152323221954995,3,FALSE
"cgroup_L5_535d97f6","GSE218451",3,3,0.097059887700716,0.0792490664528637,237,0.155709873201132,8,FALSE
"cgroup_L5_a7509255","GSE173902",2,2,0.0502573457033987,0.0502573457033987,1183,0.156849246318083,3,TRUE
"cgroup_L5_a4029927","GSE162285",3,2,0.111535707761959,0.101817705180882,1701,0.162516112742263,3,FALSE
"cgroup_L5_601ede7b","GSE202859",3,3,0.0979398911737057,0.0799675862797643,1548,0.164432198850883,9,FALSE
"cgroup_L5_03d0ca7b","GSE262030",3,3,0.0882060478450943,0.0720199364826669,749,0.167140170214693,2,FALSE
"cgroup_L5_5927750b","GSE184029",2,3,0.0755488389797097,0.0689663388375209,2058,0.167837415266857,3,FALSE
"cgroup_L5_601ede7b","GSE153183",2,2,0.100516037913179,0.100516037913179,1658,0.168757315694057,9,FALSE
"cgroup_L5_d7abf612","GSE126750",3,2,0.0869439633192112,0.0793686165813896,188,0.171103065594946,2,FALSE
"cgroup_L5_034592d9","GSE173902",2,2,0.06003423674251,0.06003423674251,1423,0.172534649847384,2,TRUE
"cgroup_L5_3a0a595f","GSE171358",2,3,0.0829826396219668,0.0757524393371219,211,0.178394142959053,9,FALSE
"cgroup_L5_aa8c1d6d","GSE260507",3,3,0.06665088539881,0.054420220043934,1981,0.178524273969978,4,FALSE
"cgroup_L5_85083e38","GSE181029",2,3,0.0678972625982054,0.0619814371964815,909,0.183311398155612,9,FALSE
"cgroup_L5_be15b706","GSE173902",2,2,0.0634707574542979,0.0634707574542979,1363,0.18473216371446,11,TRUE
"cgroup_L5_00fd9348","GSE228234",2,2,0.0834216234708964,0.0834216234708964,1408,0.186201644260816,2,FALSE
"cgroup_L5_5927750b","GSE184029",3,3,0.0848179661369238,0.0692535793520419,3971,0.188429476837313,3,FALSE
"cgroup_L5_85083e38","GSE181029",2,2,0.0698501239932487,0.0698501239932487,1799,0.188583801475433,9,FALSE
"cgroup_L5_702a5dea","GSE118548",2,2,0.0788320577344134,0.0788320577344134,4403,0.196362200684906,8,FALSE
"cgroup_L5_8a54ddd6","GSE145141",2,2,0.0799742758209033,0.0799742758209033,3862,0.196813705272338,13,FALSE
"cgroup_L5_f97e50de","GSE89127",3,3,0.0882567479265805,0.0720613329258531,804,0.203299626403434,7,FALSE
"cgroup_L5_8c9339f5","GSE233049",2,2,0.0759611451257266,0.0759611451257266,2956,0.206100961172712,4,FALSE
"cgroup_L5_99d7941a","GSE229136",3,3,0.0730186055856707,0.0596194418048103,1615,0.206212818571167,4,FALSE
"cgroup_L5_601ede7b","GSE243564",3,2,0.123479326752826,0.11272068774679,1706,0.207310595991809,9,FALSE
"cgroup_L5_8a54ddd6","GSE157069",2,2,0.0873216299589447,0.0873216299589447,1686,0.214895269337943,13,FALSE
"cgroup_L5_85083e38","GSE181029",3,3,0.0801307082489273,0.0654264493125663,1785,0.216339681486637,9,FALSE
"cgroup_L5_3a625868","GSE244533",2,3,0.10639198229481,0.0971221477342627,1498,0.216699488518533,3,FALSE
"cgroup_L5_49e290ae","GSE236896",2,6,0.146410410009037,0.119543599184605,136,0.217054135671587,3,FALSE
"cgroup_L5_5b9a08fb","GSE163377",3,3,0.101059521912534,0.0825147541117748,1074,0.21927300321516,2,FALSE
"cgroup_L5_a3c3e08c","GSE234170",6,3,0.493605609303502,0.349031873570224,1858,0.220638008598096,2,FALSE
"cgroup_L5_9bb4734d","GSE161916",3,2,0.140673423206195,0.128416678552507,3341,0.220687919725163,2,FALSE
"cgroup_L5_3a625868","GSE158969",10,7,0.108780340647139,0.0536075371422752,1520,0.22156410352227,3,FALSE
"cgroup_L5_37942548","GSE69121",2,2,0.0688379377340479,0.0688379377340479,656,0.222039544960101,3,FALSE
"cgroup_L5_24ae0579","GSE216137",3,6,0.156644783887243,0.110764588924171,19556,0.227394467120987,2,FALSE
"cgroup_L5_a3c3e08c","GSE234170",5,3,0.519230418107775,0.37919228338729,1758,0.232092106117894,2,FALSE
"cgroup_L5_8c9339f5","GSE233049",3,3,0.0856411859786529,0.0699257355381656,2966,0.232365253537936,4,FALSE
"cgroup_L5_5927750b","GSE266011",3,3,0.0993701148606791,0.0811353590301399,1857,0.234190751140974,3,FALSE
"cgroup_L5_729b276d","GSE154414",4,4,0.29871728404467,0.211225017205614,23,0.235327477921307,2,FALSE
"cgroup_L5_702a5dea","GSE152705",2,2,0.0960010887850319,0.0960010887850319,4913,0.239128415567753,8,FALSE
