"lib","n","ch_uguali","so_uguali"
"GSE105022apa-positive trophoblast progenitors apa",24,TRUE,TRUE
"GSE105022undifferentiated hesc ctrl",23,TRUE,TRUE
"GSE106873kd-shrna--19-2_s13",4,TRUE,TRUE
"GSE106873kd-shrna--2-3_s9",4,TRUE,TRUE
"GSE106873kd-shrna-18-3_s12",4,TRUE,TRUE
"GSE106873kd-shrna-24-2_s1",4,TRUE,TRUE
"GSE106873kd-sirna--3-30-11_s14",4,TRUE,TRUE
"GSE106873kd-sirna-2-11-1_s11",4,TRUE,TRUE
"GSE106873kd-sirna-2-11-12_s10",4,TRUE,TRUE
"GSE106873kd-sirna-2-16-1_s15",4,TRUE,TRUE
"GSE106873kd-sirna-3-11-1_s16",4,TRUE,TRUE
"GSE106873kd-sirna-3-23-5_s7",4,TRUE,TRUE
"GSE106873scr-shrna-18-3_s8",4,TRUE,TRUE
"GSE106873scr-shrna-19-2_s4",4,TRUE,TRUE
"GSE106873scr-shrna-24-2_s3",4,TRUE,TRUE
"GSE106873scr-sirna-16-1_s5",4,TRUE,TRUE
"GSE106873scr-sirna-23-5_s2",4,TRUE,TRUE
"GSE106873scr-sirna-30-11_s6",4,TRUE,TRUE
"GSE110495sample_1",2,TRUE,TRUE
"GSE110495sample_10",2,TRUE,TRUE
"GSE110495sample_11",2,TRUE,TRUE
"GSE110495sample_12",2,TRUE,TRUE
"GSE110495sample_13",2,TRUE,TRUE
"GSE110495sample_14",2,TRUE,TRUE
"GSE110495sample_15",2,TRUE,TRUE
"GSE110495sample_16",2,TRUE,TRUE
"GSE110495sample_17",2,TRUE,TRUE
"GSE110495sample_18",2,TRUE,TRUE
"GSE110495sample_2",2,TRUE,TRUE
"GSE110495sample_3",2,TRUE,TRUE
"GSE110495sample_4",2,TRUE,TRUE
"GSE110495sample_5",2,TRUE,TRUE
"GSE110495sample_6",2,TRUE,TRUE
"GSE110495sample_7",2,TRUE,TRUE
"GSE110495sample_8",2,TRUE,TRUE
"GSE110495sample_9",2,TRUE,TRUE
"GSE1104961001700601",3,FALSE,TRUE
"GSE1104961001700602",9,FALSE,TRUE
"GSE1104961001700603",6,FALSE,TRUE
"GSE1104961001700604",6,FALSE,TRUE
"GSE1104961001700605",8,FALSE,TRUE
"GSE1104961001700606",7,FALSE,TRUE
"GSE1104961001700607",7,FALSE,TRUE
"GSE1104961001700608",7,FALSE,TRUE
"GSE1104961001700609",8,FALSE,TRUE
"GSE1104961001700610",7,FALSE,TRUE
"GSE1104961001700611",11,FALSE,TRUE
"GSE1104961001700612",8,FALSE,TRUE
"GSE1104961001700801",8,FALSE,TRUE
"GSE1104961001700802",6,FALSE,TRUE
"GSE1104961001700803",6,FALSE,TRUE
"GSE1104961001700804",8,FALSE,TRUE
"GSE1104961001700805",9,FALSE,TRUE
"GSE1104961001700806",5,FALSE,TRUE
"GSE1104961001700807",4,FALSE,TRUE
"GSE1104961001700808",7,FALSE,TRUE
"GSE112087mon_sle_01_01 mon_sle_01_01_c7jk7anxx_atcacg",2,TRUE,TRUE
"GSE112087mon_sle_02_01 mon_sle_02_01_c7jk7anxx_cgatgt",2,TRUE,TRUE
"GSE112087mon_sle_03_01 mon_sle_03_01_c7jk7anxx_ttaggc",2,TRUE,TRUE
"GSE112087mon_sle_04_01 mon_sle_04_01_c7jk7anxx_tgacca",2,TRUE,TRUE
"GSE112087mon_sle_07_01 mon_sle_07_01_c7jk7anxx_acagtg",2,TRUE,TRUE
"GSE112087mon_sle_08_01 mon_sle_08_01_c7jk7anxx_gccaat",2,TRUE,TRUE
"GSE112087mon_sle_09_01 mon_sle_09_01_c7jk7anxx_cagatc",2,TRUE,TRUE
"GSE112087mon_sle_10_01 mon_sle_10_01_c7jk7anxx_acttga",2,TRUE,TRUE
"GSE112087mon_sle_11_01 mon_sle_11_01_c7jk7anxx_gatcag",2,TRUE,TRUE
"GSE112087mon_sle_13_01 mon_sle_13_01_c7jk7anxx_tagctt",2,TRUE,TRUE
"GSE112087mon_sle_14_01 mon_sle_14_01_c7jk7anxx_ggctac",2,TRUE,TRUE
"GSE112087mon_sle_15_01 mon_sle_15_01_c7jk7anxx_cttgta",2,TRUE,TRUE
"GSE112087mon_sle_16_01 mon_sle_16_01_c8078anxx_agtcaa",2,TRUE,TRUE
"GSE112087mon_sle_17_01 mon_sle_17_01_c8078anxx_agttcc",2,TRUE,TRUE
"GSE112087mon_sle_18_01 mon_sle_18_01_c8078anxx_atgtca",2,TRUE,TRUE
"GSE112087mon_sle_19_01 mon_sle_19_01_c8078anxx_ccgtcc",2,TRUE,TRUE
"GSE112087mon_sle_20_01 mon_sle_20_01_c8078anxx_gtccgc",2,TRUE,TRUE
"GSE112087mon_sle_21_01 mon_sle_21_01_c8078anxx_gtgaaa",2,TRUE,TRUE
"GSE112087mon_sle_22_01 mon_sle_22_01_c8078anxx_gtggcc",2,TRUE,TRUE
"GSE112087mon_sle_23_01 mon_sle_23_01_c8078anxx_gtttcg",2,TRUE,TRUE
"GSE112087mon_sle_24_01 mon_sle_24_01_c8078anxx_cgtacg",2,TRUE,TRUE
