"cluster_id","tolto","accusato","k","n_sig_pieno","spearman","n_sig_persi","frazione_persa","contrast_entity_label"
"cgroup_L5_034592d9","GSE173902",TRUE,3,1539,0.101643299179938,1056,0.686159844054581,"Staphylococcus epidermidis"
"cgroup_L5_034592d9","GSE188576",FALSE,3,1539,0.637181371610574,467,0.303443794671865,"Staphylococcus epidermidis"
"cgroup_L5_034592d9","GSE237052",FALSE,3,1539,0.415638540964594,692,0.449642625081222,"Staphylococcus epidermidis"
"cgroup_L5_2ab433c8","GSE119047",FALSE,6,1121,0.843152738922826,216,0.192685102586976,"IL22"
"cgroup_L5_2ab433c8","GSE149262",FALSE,6,1121,0.502554149097618,489,0.43621766280107,"IL22"
"cgroup_L5_2ab433c8","GSE173902",TRUE,6,1121,0.516223983266558,419,0.373773416592328,"IL22"
"cgroup_L5_2ab433c8","GSE190634",FALSE,6,1121,0.92049131440419,198,0.176628010704728,"IL22"
"cgroup_L5_2ab433c8","GSE214503",FALSE,6,1121,0.706319896939869,236,0.210526315789474,"IL22"
"cgroup_L5_2ab433c8","GSE243230",FALSE,6,1121,0.641515559621441,417,0.371989295272079,"IL22"
"cgroup_L5_49d55bfd","GSE108038",FALSE,10,624,0.76460208637096,90,0.144230769230769,"IL4"
"cgroup_L5_49d55bfd","GSE113185",FALSE,10,624,0.726553496757549,185,0.296474358974359,"IL4"
"cgroup_L5_49d55bfd","GSE132270",FALSE,10,624,0.775736825140703,92,0.147435897435897,"IL4"
"cgroup_L5_49d55bfd","GSE140900",FALSE,10,624,0.736367873647599,179,0.286858974358974,"IL4"
"cgroup_L5_49d55bfd","GSE173902",TRUE,10,624,0.760306357511432,200,0.320512820512821,"IL4"
"cgroup_L5_49d55bfd","GSE182955",FALSE,10,624,0.930843506165773,55,0.0881410256410256,"IL4"
"cgroup_L5_49d55bfd","GSE222284",FALSE,10,624,0.553257138683204,251,0.40224358974359,"IL4"
"cgroup_L5_49d55bfd","GSE227737",FALSE,10,624,0.870109204322663,145,0.232371794871795,"IL4"
"cgroup_L5_49d55bfd","GSE244934",FALSE,10,624,0.828194369007578,135,0.216346153846154,"IL4"
"cgroup_L5_49d55bfd","GSE59275",FALSE,10,624,0.926906859343324,65,0.104166666666667,"IL4"
"cgroup_L5_87c40ebb","GSE124939",FALSE,20,3579,0.969136221504866,281,0.0785135512713048,"IFNG"
"cgroup_L5_87c40ebb","GSE135458",FALSE,20,3579,0.930188380048004,351,0.0980720871751886,"IFNG"
"cgroup_L5_87c40ebb","GSE138209",FALSE,20,3579,0.934436106975927,354,0.0989103101424979,"IFNG"
"cgroup_L5_87c40ebb","GSE141585",FALSE,20,3579,0.923978223565679,431,0.12042469963677,"IFNG"
"cgroup_L5_87c40ebb","GSE144484",FALSE,20,3579,0.94652573450731,178,0.0497345627270187,"IFNG"
"cgroup_L5_87c40ebb","GSE158434",FALSE,20,3579,0.919263035308122,580,0.162056440346465,"IFNG"
"cgroup_L5_87c40ebb","GSE158814",FALSE,20,3579,0.894840249506651,395,0.110366024029058,"IFNG"
"cgroup_L5_87c40ebb","GSE161664",FALSE,20,3579,0.950915299787639,495,0.138306789606035,"IFNG"
"cgroup_L5_87c40ebb","GSE161916",FALSE,20,3579,0.944025871545495,519,0.14501257334451,"IFNG"
"cgroup_L5_87c40ebb","GSE163067",FALSE,20,3579,0.955019480581307,242,0.0676166526962839,"IFNG"
"cgroup_L5_87c40ebb","GSE173902",TRUE,20,3579,0.936011268735048,666,0.186085498742666,"IFNG"
"cgroup_L5_87c40ebb","GSE174244",FALSE,20,3579,0.978368323413747,238,0.0664990220732048,"IFNG"
"cgroup_L5_87c40ebb","GSE179354",FALSE,20,3579,0.975126377942657,382,0.106733724504051,"IFNG"
"cgroup_L5_87c40ebb","GSE190634",FALSE,20,3579,0.959495425119942,252,0.0704107292539816,"IFNG"
"cgroup_L5_87c40ebb","GSE197302",FALSE,20,3579,0.953247324677056,649,0.181335568594579,"IFNG"
"cgroup_L5_87c40ebb","GSE209536",FALSE,20,3579,0.960912397851349,144,0.0402347024308466,"IFNG"
"cgroup_L5_87c40ebb","GSE215771",FALSE,20,3579,0.956772122293045,210,0.0586756077116513,"IFNG"
"cgroup_L5_87c40ebb","GSE228173",FALSE,20,3579,0.985001388612095,306,0.085498742665549,"IFNG"
"cgroup_L5_87c40ebb","GSE233548",FALSE,20,3579,0.949867884731032,250,0.069851913942442,"IFNG"
"cgroup_L5_87c40ebb","GSE99299",FALSE,20,3579,0.938392505146259,498,0.139145012573345,"IFNG"
"cgroup_L5_a7509255","GSE173902",TRUE,4,1356,-0.0188044898964825,1070,0.789085545722714,"Staphylococcus aureus"
"cgroup_L5_a7509255","GSE211868",FALSE,4,1356,0.461764571166429,454,0.334808259587021,"Staphylococcus aureus"
"cgroup_L5_a7509255","GSE217234",FALSE,4,1356,0.749095789603086,357,0.263274336283186,"Staphylococcus aureus"
"cgroup_L5_a7509255","GSE237960",FALSE,4,1356,0.693533332623538,294,0.216814159292035,"Staphylococcus aureus"
"cgroup_L5_be15b706","GSE116927",FALSE,12,1805,0.774002816152466,436,0.241551246537396,"IL13"
"cgroup_L5_be15b706","GSE140900",FALSE,12,1805,0.797470238361876,256,0.141828254847645,"IL13"
"cgroup_L5_be15b706","GSE159196",FALSE,12,1805,0.87875867996315,369,0.204432132963989,"IL13"
"cgroup_L5_be15b706","GSE162696",FALSE,12,1805,0.94374493562142,359,0.198891966759003,"IL13"
"cgroup_L5_be15b706","GSE173902",TRUE,12,1805,0.774854948618063,532,0.294736842105263,"IL13"
"cgroup_L5_be15b706","GSE190705",FALSE,12,1805,0.869972708606097,185,0.102493074792244,"IL13"
"cgroup_L5_be15b706","GSE202866",FALSE,12,1805,0.747858854926653,531,0.294182825484765,"IL13"
"cgroup_L5_be15b706","GSE206510",FALSE,12,1805,0.90856760589165,549,0.30415512465374,"IL13"
"cgroup_L5_be15b706","GSE214503",FALSE,12,1805,0.840045494292945,430,0.238227146814404,"IL13"
"cgroup_L5_be15b706","GSE220972",FALSE,12,1805,0.839871238730357,140,0.0775623268698061,"IL13"
"cgroup_L5_be15b706","GSE65335",FALSE,12,1805,0.915178837578438,222,0.122991689750693,"IL13"
"cgroup_L5_be15b706","GSE79027",FALSE,12,1805,0.717205195587356,362,0.200554016620499,"IL13"
