"cluster_id","n","n_gen","n_trt","n_ctx","misto","contrast_entity_label","contrast_direction","kind_effective_resolved","k_effective","n_sig"
"cgroup_L5_004d293d",31,0,31,0,FALSE,"lapatinib","gain","small_molecule",5,1052
"cgroup_L5_00fd9348",4,0,4,0,FALSE,"propranolol","gain","small_molecule",3,1413
"cgroup_L5_021e875e",83,0,66,17,FALSE,"cisplatin","gain","small_molecule",17,835
"cgroup_L5_034592d9",5,0,5,0,FALSE,"Staphylococcus epidermidis","gain","pathogen_or_aggregate_exposure",3,1539
"cgroup_L5_03b38818",64,0,63,1,FALSE,"vemurafenib","gain","small_molecule",9,671
"cgroup_L5_03d0ca7b",15,0,15,0,FALSE,"digoxin","gain","small_molecule",3,766
"cgroup_L5_05322ba1",12,0,11,1,FALSE,"omacetaxine","gain","small_molecule",3,4270
"cgroup_L5_089ccae5",17,0,13,4,FALSE,"bortezomib","gain","small_molecule",5,1978
"cgroup_L5_0e66597e",40,0,38,2,FALSE,"fulvestrant","gain","small_molecule",12,2515
"cgroup_L5_10344dfd",9,0,9,0,FALSE,"D-glucopyranose","gain","environmental",4,2326
"cgroup_L5_12212e41",23,0,23,0,FALSE,"multiple sclerosis","gain","disease_vs_normal",8,606
"cgroup_L5_12228932",29,0,15,14,FALSE,"EGF","gain","genetic_knockout",5,1161
"cgroup_L5_16525349",25,0,25,0,FALSE,"ponatinib","gain","small_molecule",4,433
"cgroup_L5_17b35bdc",21,0,21,0,FALSE,"docetaxel","gain","small_molecule",4,1465
"cgroup_L5_17b55386",19,0,18,1,FALSE,"fshd","gain","disease_vs_normal",4,1078
"cgroup_L5_1bbf4b9b",16,0,16,0,FALSE,"Stomach Neoplasms","gain","disease_vs_normal",6,177
"cgroup_L5_1d96b9da",33,0,30,3,FALSE,"poly(I:C)","gain","pathogen_or_aggregate_exposure",10,268
"cgroup_L5_1e8a735e",10,0,10,0,FALSE,"thapsigargin","gain","small_molecule",3,2676
"cgroup_L5_2248a891",20,0,17,3,FALSE,"forskolin","gain","small_molecule",3,610
"cgroup_L5_24ae0579",11,0,11,0,FALSE,"4'-epidoxorubicin","gain","small_molecule",3,3040
"cgroup_L5_28bee975",6,0,6,0,FALSE,"MIVEBRESIB","gain","small_molecule",3,3706
"cgroup_L5_2987cdb6",40,0,37,3,FALSE,"erlotinib","gain","cytokine_stim",7,2479
"cgroup_L5_29cb04f8",22,0,17,5,FALSE,"5-fluorouracil","gain","small_molecule",6,1410
"cgroup_L5_2a225fda",6,0,6,0,FALSE,"asthma","gain","disease_vs_normal",4,77
