"cluster_id","study_id","gen_trattato","gen_controllo","stato","trattato","controllo"
"cgroup_L5_2e16719f","GSE100574",FALSE,FALSE,"trattamento","TGF-β1 ; treatment=TGF-β1","Vehicle Control ; treatment=vehicle"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","HeLa S3 cells treated with 1 uM retinoic acid for 7 hours ; cell_type=cervical","HeLa S3 cells treated with DMSO ; cell_type=cervical"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","HeLa S3 cells treated with 1 uM retinoic acid for 7 hours (replicates) ; cell_","HeLa S3 cells treated with DMSO (replicates) ; cell_"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered HeLa S3 cells treated with 1 uM retinoic acid for 7 hours ; cell_ty","Engineered HeLa S3 cells treated with DMSO ; cell_ty"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered HeLa S3 cells treated with 1 uM retinoic acid for 7 hours (replicat","Engineered HeLa S3 cells treated with DMSO (replicat"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered HeLa S3 cells treated with 1 uM retinoic acid for 7 hours (replicat","Engineered HeLa S3 cells treated with DMSO (replicat"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered HeLa S3 cells treated with 1 uM retinoic acid for 7 hours (replicat","Engineered HeLa S3 cells (KO38) treated with DMSO ; "
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Skin fibroblasts treated with 10 uM retinoic acid for 7 hours ; cell_type=skin","Skin fibroblasts treated with DMSO ; cell_type=skin "
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Skin fibroblasts treated with 10 uM retinoic acid for 7 hours (replicates) ; c","Skin fibroblasts treated with DMSO (replicates) ; ce"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered skin fibroblasts treated with 10 uM retinoic acid for 7 hours ; cel","Engineered skin fibroblasts treated with DMSO ; cell"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered skin fibroblasts treated with 10 uM retinoic acid for 7 hours (repl","Engineered skin fibroblasts treated with DMSO ; cell"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Skin fibroblasts treated with 10 uM retinoic acid for 7 hours (replicates 2) ;","Skin fibroblasts treated with DMSO (replicates 2) ; "
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Skin fibroblasts treated with 10 uM retinoic acid for 7 hours (replicates 3) ;","Skin fibroblasts treated with DMSO (replicates 3) ; "
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Skin fibroblasts treated with 10 uM retinoic acid for 7 hours (replicates 4) ;","Skin fibroblasts treated with DMSO (replicates) ; ce"
"cgroup_L5_ea4a1823","GSE101216",FALSE,FALSE,"trattamento","calcium_high ; treatment=calcium_high ; time(hours)=48","control ; treatment=control ; time(hours)=24"
"cgroup_L5_344e058f","GSE101353",FALSE,FALSE,"trattamento","Healthy, basal cells, BMP4, M12 ; disease_state=healthy ; treatment=BMP4 ; tim","Healthy, basal cells, untreated ; disease_state=heal"
"cgroup_L5_c548d053","GSE101409",FALSE,FALSE,"trattamento","LPS 3h ; treatment=LPS ; time=3 hours","Mock control ; treatment=Mock control"
