"cluster_id","study_id","gen_trattato","gen_controllo","stato","trattato","controllo","gt2","gc2","stato2"
"cgroup_L5_37942548","GSE100855",FALSE,FALSE,"trattamento","Engineered HeLa S3 cells treated with 1 uM retinoic acid for 7 hours (replicat","Engineered HeLa S3 cells (KO38) treated with DMSO ; ",FALSE,TRUE,"UN BRACCIO SOLO"
"cgroup_L5_aa8c1d6d","GSE109809",TRUE,TRUE,"contesto","HCC1937 stable OTX-015 ; treatment=OTX-015 ; cell_line=HCC1937 ; transgene=sta","HCC1937 stable DMSO ; treatment=DMSO ; cell_line=HCC",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_35d1be10","GSE111009",FALSE,FALSE,"trattamento","MCF10A_p63shRNA_Nutlin3A_5uM ; cell_context=MCF10A ; perturbation=Nutlin-3a","MCF10A_DMSO ; cell_context=MCF10A ; perturbation=DMS",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_35d1be10","GSE111009",FALSE,FALSE,"trattamento","MCF10A_p63shRNA_Nutlin3A_5uM_rep ; cell_context=MCF10A ; perturbation=Nutlin-3","MCF10A_DMSO ; cell_context=MCF10A ; perturbation=DMS",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_aad8ed47","GSE133003",TRUE,TRUE,"contesto","Bronchial epithelial cells derived from low grade dysplastic lesion (transgene","Bronchial epithelial cells derived from low grade dy",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_930c8dcf","GSE141806",TRUE,TRUE,"contesto","22Rv1 cells treated with DHT ; treatment=DHT ; genetic_knockdown=none","22Rv1 cells treated with ethanol ; treatment=ethanol",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_8a54ddd6","GSE145141",TRUE,TRUE,"contesto","MDA-MB-231 Doxorubicin ; treatment=Doxorubicin ; overexpression=None","MDA-MB-231 Untreated ; treatment=Untreated ; overexp",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_83f57274","GSE163333",TRUE,TRUE,"contesto","Hypoxia ; oxygen_condition=hypoxia ; genetic_knockdown=no knockdown","Normoxia ; oxygen_condition=normoxia ; genetic_knock",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_90db4e34","GSE179687",TRUE,TRUE,"contesto","Testosterone ; treatment=testosterone ; cell_line=C4-2-tet-shRB ; disease_stat","Vehicle control ; treatment=vehicle ; cell_line=C4-2",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_90db4e34","GSE179687",TRUE,TRUE,"contesto","Testosterone (non-cancer) ; treatment=testosterone ; cell_line=C4-2-tet-shRB ;","Vehicle control (disease model) ; treatment=vehicle ",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_83f57274","GSE212201",TRUE,TRUE,"contesto","PANC-1 Hypoxia ; oxygen_condition=hypoxia ; MIF_knockdown=wild_type","PANC-1 Normoxia ; oxygen_condition=normoxia ; MIF_kn",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_CBP, finger ; treatment=TNF ; transgene=gap_CBP","Unstimulated, gap_CBP, knee, passage 196 ; treatment",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_CBP, knee, passage 196 ; treatment=TNF ; transgene=gap_CBP","Unstimulated, gap_CBP, knee, passage 196 ; treatment",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, finger ; treatment=TNF ; transgene=gap_p300","Unstimulated, gap_p300, knee ; treatment=unstimulate",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_CBP, primary tissue, finger ; treatment=TNF ; transgene=ga","Unstimulated, gap_CBP, primary tissue, finger ; trea",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, primary tissue, finger ; treatment=TNF ; transgene=g","Unstimulated, gap_p300, primary tissue, finger ; tre",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, primary tissue, finger ; treatment=TNF ; transgene=g","Unstimulated, gap_p300, primary tissue, finger ; tre",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, primary tissue, knee ; treatment=TNF ; transgene=gap","Unstimulated, gap_p300, primary tissue, knee ; treat",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, primary tissue, knee ; treatment=TNF ; transgene=gap","Unstimulated, gap_p300, primary tissue, knee ; treat",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_d9e23e09","GSE236122",TRUE,TRUE,"contesto","TNF stimulated, gap_p300, primary tissue, knee ; treatment=TNF ; transgene=gap","Unstimulated, gap_p300, primary tissue, knee ; treat",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_dde29fb4","GSE250127",TRUE,TRUE,"contesto","HaCaT + H2O2 ; treatment=H2O2 ; genetic_knockdown=shControl","HaCaT + Untreated ; treatment=untreated ; genetic_kn",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_83f57274","GSE59987",TRUE,TRUE,"contesto","FADU cells under hypoxia ; oxygen_condition=hypoxia ; TET1_knockdown=wild_type","FADU cells under normoxia ; oxygen_condition=normoxi",TRUE,FALSE,"UN BRACCIO SOLO"
"cgroup_L5_85083e38","GSE90469",TRUE,TRUE,"contesto","Parkinson's Disease Patient-Derived Dopamine Neurons ; Genetic Overexpression=","Untreated Healthy Dopamine Neurons ; Genetic Overexp",TRUE,FALSE,"UN BRACCIO SOLO"
