"cluster_id","agent_id","nome_llm","nome_vero","src","entity","scatta_llm","scatterebbe_vero","nel_deliverable"
"cgroup_L5_000fb61e","HGNC:16963","RRAGA","RRAGA","onto","HGNC:11110",FALSE,FALSE,FALSE
"cgroup_L5_001ec9c9","STR:transforming growth factor beta","Transforming growth factor beta",NA,"onto","HGNC:11766",FALSE,FALSE,FALSE
"cgroup_L5_0031bf25","UNK",NA,NA,"onto","NCBITaxon:6603",FALSE,FALSE,FALSE
"cgroup_L5_003480d2","UNK",NA,NA,"STR","STR:niid",FALSE,FALSE,FALSE
"cgroup_L5_003a0f4d","CHEBI:232354","UK-5099","UK-5099","anchor","CHEBI:232354",TRUE,TRUE,FALSE
"cgroup_L5_003f1635","UNK",NA,NA,"onto","HGNC:11769",FALSE,FALSE,FALSE
"cgroup_L5_0042b082","MeSH:D012138","Respiratory Therapy","Respiratory Therapy","onto","MeSH:D001172",FALSE,FALSE,FALSE
"cgroup_L5_00434c23","NCBITaxon:333760","human papillomavirus type 16",NA,"STR","STR:hpv16_wt",FALSE,FALSE,FALSE
"cgroup_L5_00464977","UNK",NA,NA,"STR","STR:sisrsf1",FALSE,FALSE,FALSE
"cgroup_L5_004cf872","HGNC:5117","HOXB6","HOXB6","STR","STR:hoxc8_flag",FALSE,FALSE,FALSE
"cgroup_L5_004d293d","CHEBI:17113","erythritol","erythritol","onto","CHEBI:49603",FALSE,FALSE,TRUE
"cgroup_L5_004fb7a2","MeSH:D004144","Diosgenin","Diosgenin","STR","STR:dlbcl",FALSE,FALSE,FALSE
"cgroup_L5_00594a45","HGNC:6297","KCNQ3","KCNQ3","STR","STR:six1_shrna",FALSE,FALSE,FALSE
"cgroup_L5_005e8a60","HGNC:11220","SPARCL1","SPARCL1","STR","STR:col6rd_1",FALSE,FALSE,FALSE
"cgroup_L5_006274e9","CHEBI:85928","(<i>E</i>)-3-tosylacrylonitrile","(<i>E</i>)-3-tosylacrylonitrile","onto","CHEBI:85928",FALSE,FALSE,FALSE
"cgroup_L5_0065d88b","CHEBI:5855","ibuprofen","ibuprofen","STR","STR:anti_tnf",FALSE,FALSE,FALSE
"cgroup_L5_006ad7a3","HGNC:11760","TFPI","TFPI","onto","HGNC:9005",FALSE,FALSE,FALSE
"cgroup_L5_006c2bb9","HGNC:10019","RIPK1","RIPK1","STR","STR:ripk1_cleavage_site_p_d324y",FALSE,FALSE,FALSE
"cgroup_L5_006e5263","CHEBI:27986","nitrosobenzene","nitrosobenzene","STR","STR:user_1_user_1",FALSE,FALSE,FALSE
"cgroup_L5_007a5f78","HGNC:10471","RUNX1","RUNX1","STR","STR:canyon_deletion",FALSE,FALSE,FALSE
"cgroup_L5_007aba08","HGNC:13266","DDX24","DDX24","STR","STR:siddx24_1",FALSE,FALSE,FALSE
"cgroup_L5_0081a6ef","MeSH:D001471","Barrett's esophagus","Barrett Esophagus","onto","MeSH:D001471",FALSE,FALSE,FALSE
"cgroup_L5_008d261e","UNK",NA,NA,"STR","STR:dcas9_vp64_fus_fusion_protein_teto_grna",FALSE,FALSE,FALSE
"cgroup_L5_009138e1","CHEBI:61727","2-decenal","2-decenal","STR","STR:bpap_48",FALSE,FALSE,FALSE
"cgroup_L5_0098255b","HGNC:15766","ADNP","ADNP","STR","STR:adnp_knockdown_week4",FALSE,FALSE,FALSE
"cgroup_L5_009dbc29","HGNC:13575","BRD4","BRD4","STR","STR:brd4_2_sirna",FALSE,FALSE,FALSE
"cgroup_L5_00acdfe8","HGNC:17772","TXN2","TXN2","STR","STR:nek2_targeting_sirna",FALSE,FALSE,FALSE
"cgroup_L5_00b420de","MeSH:D013167","Spondylitis, Ankylosing","Spondylitis, Ankylosing","onto","MeSH:D013167",FALSE,FALSE,FALSE
"cgroup_L5_00b811c8","MeSH:D000361","Agammaglobulinemia","Agammaglobulinemia","STR","STR:ptch1_subpopulation",FALSE,FALSE,FALSE
"cgroup_L5_00bd3aa0","STR:low-frequency strain","low-frequency strain",NA,"anchor","STR:low-frequency strain",TRUE,FALSE,FALSE
