"cluster_id","entita","nome","nel_214","k_s3","keff_v15","keff_tutto","passa_v15","passa_dopo"
"cgroup_L5_64fbeb97","CHEBI:102218",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_2987cdb6","CHEBI:114785","erlotinib",TRUE,10,7,7,TRUE,TRUE
"cgroup_L5_479c6221","CHEBI:124921","GSK126",TRUE,9,5,5,TRUE,TRUE
"cgroup_L5_b3bbf8e4","CHEBI:125628",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_61352c9e","CHEBI:132082",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_b71a25a2","CHEBI:137113","<small>D</small>-cycloserine(1+)",TRUE,41,25,25,TRUE,TRUE
"cgroup_L5_63180d66","CHEBI:138438",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_86417b40","CHEBI:140908",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_b45f7252","CHEBI:142708",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_b9e7806c","CHEBI:143122","THZ531",TRUE,7,3,3,TRUE,TRUE
"cgroup_L5_3370a794","CHEBI:145372","Gilteritinib",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_8e775709","CHEBI:145431",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_e17c136b","CHEBI:145535","pevonedistat",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_ff78d2a8","CHEBI:15365","acetylsalicylic acid",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_37942548","CHEBI:15367","ethyl (<i>R</i>)-3-hydroxyhexanoate",TRUE,7,4,4,TRUE,TRUE
"cgroup_L5_3a58e5f5","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_d28620cd","CHEBI:15738","staurosporine",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide",TRUE,20,8,8,TRUE,TRUE
"cgroup_L5_930c8dcf","CHEBI:16330","4-maleylacetoacetate",TRUE,34,23,23,TRUE,TRUE
"cgroup_L5_0b985869","CHEBI:16335",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_c548d053","CHEBI:16412","lipopolysaccharide",TRUE,50,35,35,TRUE,TRUE
"cgroup_L5_a12414d4","CHEBI:16469","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",TRUE,16,10,10,TRUE,TRUE
"cgroup_L5_862cd9b9","CHEBI:167670","SCH772984",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_ef9b09df","CHEBI:167693",NA,FALSE,5,2,2,FALSE,FALSE
"cgroup_L5_8be26844","CHEBI:16796",NA,FALSE,4,1,1,FALSE,FALSE
"cgroup_L5_8341bee7","CHEBI:17026","progesterone",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_56d531e8","CHEBI:17154","hydron",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_5a202240","CHEBI:17234",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_5d1a5c5f","CHEBI:173109",NA,FALSE,4,1,1,FALSE,FALSE
"cgroup_L5_90db4e34","CHEBI:17347","Enzalutamide",TRUE,6,3,3,TRUE,TRUE
"cgroup_L5_a8015c98","CHEBI:175901","gemcitabine",TRUE,7,5,5,TRUE,TRUE
"cgroup_L5_5756018b","CHEBI:176844",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_34376df0","CHEBI:18357",NA,FALSE,3,1,1,FALSE,FALSE
