"chiave","k_rif","k_a3","sig_rif","sig_a3","dk"
"HGNC:11766||gain||vehicle_untreated",59,54,7909,8200,-5
"HGNC:11892||gain||vehicle_untreated",38,36,7539,7285,-2
"NCBITaxon:2697049||gain||vehicle_untreated",36,25,2162,816,-11
"CHEBI:16412||gain||vehicle_untreated",35,33,6883,5088,-2
"STR:hypoxia||gain||vehicle_untreated",33,27,3541,3291,-6
"CHEBI:137113||gain||vehicle_untreated",25,25,9678,9294,0
"CHEBI:16330||gain||vehicle_untreated",23,16,4875,2372,-7
"CHEBI:379896||gain||vehicle_untreated",22,18,8427,7956,-4
"HGNC:5438||gain||vehicle_untreated",19,16,3046,1939,-3
"CHEBI:68534||gain||vehicle_untreated",19,18,3498,3380,-1
"HGNC:5992||gain||vehicle_untreated",18,19,1681,1875,1
"CHEBI:27899||gain||vehicle_untreated",17,16,835,1027,-1
"CHEBI:85993||gain||vehicle_untreated",15,15,2833,3058,0
"CHEBI:28748||gain||vehicle_untreated",14,15,2585,6348,1
"CHEBI:50131||gain||vehicle_untreated",14,12,4619,3280,-2
"STR:schizophrenia||gain||vehicle_untreated",14,13,263,0,-1
"CHEBI:50924||gain||vehicle_untreated",13,11,353,506,-2
"CHEBI:41879||gain||vehicle_untreated",13,11,601,609,-2
"CHEBI:31638||gain||vehicle_untreated",12,9,2515,3722,-3
"CHEBI:230500||gain||vehicle_untreated",11,9,669,615,-2
"HGNC:6018||gain||vehicle_untreated",11,10,258,198,-1
"HGNC:5973||gain||vehicle_untreated",11,11,1486,1375,0
"CHEBI:84491||gain||vehicle_untreated",10,11,268,267,1
"CHEBI:49375||gain||vehicle_untreated",10,8,325,425,-2
"CHEBI:90943||gain||vehicle_untreated",10,9,1938,1565,-1
"MeSH:D010300||gain||vehicle_untreated",10,8,976,838,-2
"CHEBI:16469||gain||vehicle_untreated",10,9,410,357,-1
"MeSH:D003424||gain||vehicle_untreated",10,8,3515,3416,-2
"CHEBI:63637||gain||vehicle_untreated",9,5,671,2348,-4
"NCBITaxon:10359||gain||vehicle_untreated",9,9,787,529,0
"HGNC:6014||gain||vehicle_untreated",9,5,568,612,-4
"STR:psoriasis||gain||vehicle_untreated",9,9,388,543,0
"CHEBI:45783||gain||vehicle_untreated",9,7,392,972,-2
"CHEBI:75998||gain||vehicle_untreated",9,8,5415,5716,-1
"CHEBI:231598||gain||vehicle_untreated",9,10,2366,1439,1
"HGNC:5981||gain||vehicle_untreated",9,7,781,895,-2
"MeSH:D006528||gain||vehicle_untreated",9,6,72,105,-3
"CHEBI:38940||gain||vehicle_untreated",9,7,639,478,-2
"STR:multiple_sclerosis||gain||vehicle_untreated",8,7,606,1082,-1
"CHEBI:6801||gain||vehicle_untreated",8,9,334,357,1
"STR:nutlin_3a||gain||vehicle_untreated",8,4,2342,956,-4
"CHEBI:49668||gain||vehicle_untreated",8,7,265,151,-1
"CHEBI:16240||gain||vehicle_untreated",8,10,1497,1426,2
"CHEBI:64310||gain||vehicle_untreated",8,9,1112,468,1
"CHEBI:114785||gain||vehicle_untreated",7,7,2479,2367,0
"STR:obese||gain||vehicle_untreated",7,5,46,446,-2
"STR:radiation||gain||vehicle_untreated",7,4,800,830,-3
