"entita","studio","categoria","rigenerato_da_A3","ancora_negli_assignment"
"SARS-CoV-2","GSE153277","esce da cgroup",TRUE,TRUE
"SARS-CoV-2","GSE167131","esce da cgroup",TRUE,TRUE
"SARS-CoV-2","GSE169241","stessa entita', controllo diverso",TRUE,TRUE
"SARS-CoV-2","GSE183850","stessa entita', controllo diverso",TRUE,TRUE
"SARS-CoV-2","GSE183999","esce da cgroup",TRUE,TRUE
"SARS-CoV-2","GSE198449","entita' diversa",TRUE,TRUE
"SARS-CoV-2","GSE206677","esce da cgroup",TRUE,TRUE
"SARS-CoV-2","GSE233732","entita' diversa",TRUE,TRUE
"TGFB1","GSE103293","esce da cgroup",TRUE,TRUE
"TGFB1","GSE127903","stessa entita', controllo diverso",TRUE,TRUE
"TGFB1","GSE130348","stessa entita', controllo diverso",TRUE,TRUE
"TGFB1","GSE134595","esce da cgroup",TRUE,TRUE
"TGFB1","GSE142417","esce da cgroup",TRUE,TRUE
"TGFB1","GSE178518","entita' diversa",TRUE,TRUE
"TGFB1","GSE205378","esce da cgroup",TRUE,TRUE
"TGFB1","GSE247237","stessa entita', controllo diverso",TRUE,TRUE
"TGFB1","GSE252425","entita' diversa",TRUE,TRUE
"LPS","GSE101409","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE111927","esce da cgroup",TRUE,TRUE
"LPS","GSE122267","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE135753","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE140702","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE155918","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE208550","esce da cgroup",TRUE,TRUE
"LPS","GSE76404","stessa entita', controllo diverso",TRUE,TRUE
"LPS","GSE92852","stessa entita', controllo diverso",TRUE,TRUE
"enzalutamide","GSE182278","entita' diversa",TRUE,TRUE
"enzalutamide","GSE189966","esce da cgroup",TRUE,TRUE
"enzalutamide","GSE202755","entita' diversa",TRUE,TRUE
"enzalutamide","GSE97204","entita' diversa",TRUE,TRUE
"vemurafenib","GSE146096","entita' diversa",TRUE,TRUE
"vemurafenib","GSE199800","entita' diversa",TRUE,TRUE
"vemurafenib","GSE66539","stessa entita', controllo diverso",TRUE,TRUE
"vemurafenib","GSE73737","esce da cgroup",TRUE,TRUE
"vemurafenib","GSE80313","esce da cgroup",TRUE,TRUE
