"resolver","greco","ascii","id_greco","id_ascii","esito"
".rp_agents","TGF-β1","TGF-beta1","","HGNC:11766","GRECA CIECA"
".rp_agents","TGF-β","TGF-beta","","HGNC:11766","GRECA CIECA"
".rp_agents","IFN-γ","IFN-gamma","","HGNC:5438","GRECA CIECA"
".rp_agents","IFN-α","IFN-alpha","","HGNC:5417","GRECA CIECA"
".rp_agents","IFN-β","IFN-beta","","HGNC:5434","GRECA CIECA"
".rp_agents","IL-1β","IL-1beta","HGNC:5991","HGNC:5992","GRECA DIVERSA"
".rp_agents","IL-1α","IL-1alpha","HGNC:5991","HGNC:5991","uguale"
".rp_agents","TNF-α","TNF-alpha","HGNC:11892","CHEMBL:CHEMBL265582","GRECA DIVERSA"
".rp_agents","17β-estradiol","17beta-estradiol","","CHEBI:16469","GRECA CIECA"
".rp_agents","NF-κB","NF-kappaB","","","entrambe vuote"
".ca_agent_id","TGF-β1","TGF-beta1","HGNC:11766","HGNC:11766","uguale"
".ca_agent_id","TGF-β","TGF-beta","HGNC:11766","HGNC:11766","uguale"
".ca_agent_id","IFN-γ","IFN-gamma","HGNC:5438","HGNC:5438","uguale"
".ca_agent_id","IFN-α","IFN-alpha","","HGNC:5417","GRECA CIECA"
".ca_agent_id","IFN-β","IFN-beta","HGNC:5434","HGNC:5434","uguale"
".ca_agent_id","IL-1β","IL-1beta","HGNC:5992","HGNC:5992","uguale"
".ca_agent_id","IL-1α","IL-1alpha","HGNC:5991","HGNC:5991","uguale"
".ca_agent_id","TNF-α","TNF-alpha","HGNC:11892","CHEMBL:CHEMBL265582","GRECA DIVERSA"
".ca_agent_id","17β-estradiol","17beta-estradiol","CHEBI:16469","CHEBI:16469","uguale"
".ca_agent_id","NF-κB","NF-kappaB","","HGNC:7794","GRECA CIECA"
".normalize_cytokine_to_hgnc","TGF-β1","TGF-beta1","HGNC:11766","HGNC:11766","uguale"
".normalize_cytokine_to_hgnc","TGF-β","TGF-beta","HGNC:11766","HGNC:11766","uguale"
".normalize_cytokine_to_hgnc","IFN-γ","IFN-gamma","HGNC:5438","HGNC:5438","uguale"
".normalize_cytokine_to_hgnc","IFN-α","IFN-alpha","STR:ifn","HGNC:5417","GRECA DIVERSA"
".normalize_cytokine_to_hgnc","IFN-β","IFN-beta","HGNC:5434","HGNC:5434","uguale"
".normalize_cytokine_to_hgnc","IL-1β","IL-1beta","HGNC:5992","HGNC:5992","uguale"
".normalize_cytokine_to_hgnc","IL-1α","IL-1alpha","HGNC:5991","HGNC:5991","uguale"
".normalize_cytokine_to_hgnc","TNF-α","TNF-alpha","HGNC:11892","HGNC:11892","uguale"
".normalize_cytokine_to_hgnc","17β-estradiol","17beta-estradiol","STR:17_estradiol","STR:17beta_estradiol","GRECA DIVERSA"
".normalize_cytokine_to_hgnc","NF-κB","NF-kappaB","STR:nf_b","STR:nf_kappab","GRECA DIVERSA"
".normalize_compound_to_chebi","TGF-β1","TGF-beta1","STR:tgf_1","STR:tgf_beta1","GRECA DIVERSA"
".normalize_compound_to_chebi","TGF-β","TGF-beta","STR:tgf","STR:tgf_beta","GRECA DIVERSA"
".normalize_compound_to_chebi","IFN-γ","IFN-gamma","STR:ifn","STR:ifn_gamma","GRECA DIVERSA"
".normalize_compound_to_chebi","IFN-α","IFN-alpha","STR:ifn","STR:ifn_alpha","GRECA DIVERSA"
".normalize_compound_to_chebi","IFN-β","IFN-beta","STR:ifn","STR:ifn_beta","GRECA DIVERSA"
".normalize_compound_to_chebi","IL-1β","IL-1beta","STR:il_1","STR:il_1beta","GRECA DIVERSA"
".normalize_compound_to_chebi","IL-1α","IL-1alpha","STR:il_1","STR:il_1alpha","GRECA DIVERSA"
".normalize_compound_to_chebi","TNF-α","TNF-alpha","STR:tnf","CHEMBL:CHEMBL265582","GRECA DIVERSA"
".normalize_compound_to_chebi","17β-estradiol","17beta-estradiol","CHEBI:16469","CHEBI:16469","uguale"
".normalize_compound_to_chebi","NF-κB","NF-kappaB","STR:nf_b","STR:nf_kappab","GRECA DIVERSA"
".normalize_disease_to_mesh","TGF-β1","TGF-beta1","STR:tgf_1","MeSH:D053773","GRECA DIVERSA"
".normalize_disease_to_mesh","TGF-β","TGF-beta","STR:tgf","MeSH:D016212","GRECA DIVERSA"
".normalize_disease_to_mesh","IFN-γ","IFN-gamma","STR:ifn","STR:ifn_gamma","GRECA DIVERSA"
".normalize_disease_to_mesh","IFN-α","IFN-alpha","STR:ifn","STR:ifn_alpha","GRECA DIVERSA"
".normalize_disease_to_mesh","IFN-β","IFN-beta","STR:ifn","STR:ifn_beta","GRECA DIVERSA"
".normalize_disease_to_mesh","IL-1β","IL-1beta","STR:il_1","STR:il_1beta","GRECA DIVERSA"
".normalize_disease_to_mesh","IL-1α","IL-1alpha","STR:il_1","STR:il_1alpha","GRECA DIVERSA"
".normalize_disease_to_mesh","TNF-α","TNF-alpha","STR:tnf","MeSH:D014409","GRECA DIVERSA"
".normalize_disease_to_mesh","17β-estradiol","17beta-estradiol","STR:17_estradiol","STR:17beta_estradiol","GRECA DIVERSA"
".normalize_disease_to_mesh","NF-κB","NF-kappaB","STR:nf_b","MeSH:D016328","GRECA DIVERSA"
".normalize_pathogen_to_taxid","TGF-β1","TGF-beta1","STR:tgf_1","STR:tgf_beta1","GRECA DIVERSA"
".normalize_pathogen_to_taxid","TGF-β","TGF-beta","STR:tgf","STR:tgf_beta","GRECA DIVERSA"
".normalize_pathogen_to_taxid","IFN-γ","IFN-gamma","STR:ifn","STR:ifn_gamma","GRECA DIVERSA"
".normalize_pathogen_to_taxid","IFN-α","IFN-alpha","STR:ifn","STR:ifn_alpha","GRECA DIVERSA"
".normalize_pathogen_to_taxid","IFN-β","IFN-beta","STR:ifn","STR:ifn_beta","GRECA DIVERSA"
".normalize_pathogen_to_taxid","IL-1β","IL-1beta","STR:il_1","STR:il_1beta","GRECA DIVERSA"
".normalize_pathogen_to_taxid","IL-1α","IL-1alpha","STR:il_1","STR:il_1alpha","GRECA DIVERSA"
".normalize_pathogen_to_taxid","TNF-α","TNF-alpha","STR:tnf","STR:tnf_alpha","GRECA DIVERSA"
".normalize_pathogen_to_taxid","17β-estradiol","17beta-estradiol","STR:17_estradiol","STR:17beta_estradiol","GRECA DIVERSA"
".normalize_pathogen_to_taxid","NF-κB","NF-kappaB","STR:nf_b","STR:nf_kappab","GRECA DIVERSA"
".hgnc_lookup_symbol","TGF-β1","TGF-beta1","","","entrambe vuote"
".hgnc_lookup_symbol","TGF-β","TGF-beta","","","entrambe vuote"
".hgnc_lookup_symbol","IFN-γ","IFN-gamma","","","entrambe vuote"
".hgnc_lookup_symbol","IFN-α","IFN-alpha","","5417","GRECA CIECA"
".hgnc_lookup_symbol","IFN-β","IFN-beta","","","entrambe vuote"
".hgnc_lookup_symbol","IL-1β","IL-1beta","","","entrambe vuote"
".hgnc_lookup_symbol","IL-1α","IL-1alpha","","","entrambe vuote"
".hgnc_lookup_symbol","TNF-α","TNF-alpha","","11892","GRECA CIECA"
".hgnc_lookup_symbol","17β-estradiol","17beta-estradiol","","","entrambe vuote"
".hgnc_lookup_symbol","NF-κB","NF-kappaB","","7794","GRECA CIECA"
".extract_compound_candidates","TGF-β1","TGF-beta1","tgf-β1","tgf-beta1","GRECA DIVERSA"
".extract_compound_candidates","TGF-β","TGF-beta","tgf-β","tgf-beta","GRECA DIVERSA"
".extract_compound_candidates","IFN-γ","IFN-gamma","ifn-γ","ifn-gamma","GRECA DIVERSA"
".extract_compound_candidates","IFN-α","IFN-alpha","ifn-α","ifn-alpha","GRECA DIVERSA"
".extract_compound_candidates","IFN-β","IFN-beta","ifn-β","ifn-beta","GRECA DIVERSA"
".extract_compound_candidates","IL-1β","IL-1beta","il-1β","il-1beta","GRECA DIVERSA"
".extract_compound_candidates","IL-1α","IL-1alpha","il-1α","il-1alpha","GRECA DIVERSA"
".extract_compound_candidates","TNF-α","TNF-alpha","tnf-α","tnf-alpha","GRECA DIVERSA"
".extract_compound_candidates","17β-estradiol","17beta-estradiol","17β-estradiol","17beta-estradiol","GRECA DIVERSA"
".extract_compound_candidates","NF-κB","NF-kappaB","nf-κb","nf-kappab","GRECA DIVERSA"
".normalize_biological_mention","TGF-β1","TGF-beta1","<errore>","<errore>","uguale"
".normalize_biological_mention","TGF-β","TGF-beta","<errore>","<errore>","uguale"
".normalize_biological_mention","IFN-γ","IFN-gamma","<errore>","<errore>","uguale"
".normalize_biological_mention","IFN-α","IFN-alpha","<errore>","<errore>","uguale"
".normalize_biological_mention","IFN-β","IFN-beta","<errore>","<errore>","uguale"
".normalize_biological_mention","IL-1β","IL-1beta","<errore>","<errore>","uguale"
".normalize_biological_mention","IL-1α","IL-1alpha","<errore>","<errore>","uguale"
".normalize_biological_mention","TNF-α","TNF-alpha","<errore>","<errore>","uguale"
".normalize_biological_mention","17β-estradiol","17beta-estradiol","<errore>","<errore>","uguale"
".normalize_biological_mention","NF-κB","NF-kappaB","<errore>","<errore>","uguale"
