"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","fascia"
"cgroup_L5_b2645a34","CETUXIMAB",3,2,88.0348474266858,"incerta","k=3-4"
"cgroup_L5_f51ff620","asthmatic",3,1,77.8991719220845,"difettosa","k=3-4"
"cgroup_L5_2d53def6","IL21",3,2,74.4594739228482,"difettosa","k=3-4"
"cgroup_L5_3973fe03","IL1A",3,2,66.2288174770072,"difettosa","k=3-4"
"cgroup_L5_bd40f34f","IL15",3,2,63.8688093277319,"difettosa","k=3-4"
"cgroup_L5_3fa847fe","osteoarthritis",3,1,62.0681447945712,"incerta","k=3-4"
"cgroup_L5_2a225fda","asthma",3,1,61.6977285460828,"difettosa","k=3-4"
"cgroup_L5_3b461817","nilotinib",3,1,55.8440941881645,"difettosa","k=3-4"
"cgroup_L5_862cd9b9","SCH772984",3,1,48.9883927240655,"difettosa","k=3-4"
"cgroup_L5_3439da02","everolimus",5,2,47.7448856462298,"difettosa","k=5-9"
"cgroup_L5_d6fad784","myotonic dystrophy type 1",3,1,44.737428652333,"difettosa","k=3-4"
"cgroup_L5_f832048f","Breast Neoplasms",4,2,44.236673036401,"difettosa","k=3-4"
"cgroup_L5_99d7941a","temozolomide",4,2,44.1895896640265,"difettosa","k=3-4"
"cgroup_L5_3be7454c","IFNA1",4,2,43.7571659698403,"difettosa","k=3-4"
"cgroup_L5_a8015c98","gemcitabine",3,1,39.4874272908437,"difettosa","k=3-4"
"cgroup_L5_a4029927","afatinib",3,2,38.4209057454248,"difettosa","k=3-4"
"cgroup_L5_3ec58cd6","obese",5,1,34.7171463797035,"difettosa","k=5-9"
"cgroup_L5_8b61f50b","tamoxifen",3,1,34.2093831319511,"difettosa","k=3-4"
"cgroup_L5_31308596","PMA (phorbol 12-myristate 13-acetate)",3,1,33.4704410621565,"difettosa","k=3-4"
"cgroup_L5_2ab433c8","IL22",5,1,33.3629634512037,"difettosa","k=5-9"
"cgroup_L5_aad8ed47","taz + yap",3,1,33.2421468198842,"difettosa","k=3-4"
"cgroup_L5_3de56a79","pdac",3,1,33.0543964382142,"incerta","k=3-4"
"cgroup_L5_d28620cd","staurosporine",4,1,32.1086644637646,"difettosa","k=3-4"
"cgroup_L5_8341bee7","progesterone",3,1,31.5858366937559,"difettosa","k=3-4"
"cgroup_L5_d631ee89","IL3",4,1,26.3914021180788,"difettosa","k=3-4"
"cgroup_L5_5927750b","carfilzomib",4,1,26.2474302375286,"difettosa","k=3-4"
"cgroup_L5_fea19ca0","IFNB1",7,2,25.8823545689215,"difettosa","k=5-9"
"cgroup_L5_889ec305","Colorectal Neoplasms",5,1,24.2648051502855,"difettosa","k=5-9"
"cgroup_L5_b2affd22","Pre-Eclampsia",6,1,23.4437548236711,"difettosa","k=5-9"
"cgroup_L5_1bbf4b9b","Stomach Neoplasms",5,1,22.1057163817137,"difettosa","k=5-9"
"cgroup_L5_522fa0c2","sals",5,1,21.9050031733929,"difettosa","k=5-9"
"cgroup_L5_49d55bfd","IL4",5,1,21.4298698347404,"difettosa","k=5-9"
"cgroup_L5_3a58e5f5","prostaglandin E2",3,1,21.2899350399555,"difettosa","k=3-4"
"cgroup_L5_7805eee6","covid 19",6,1,21.2021384173406,"difettosa","k=5-9"
"cgroup_L5_82f82010","diabetic",4,1,20.3884984426315,"difettosa","k=3-4"
"cgroup_L5_87c40ebb","IFNG",16,3,20.288964335466,"difettosa","k>=15"
"cgroup_L5_930c8dcf","DHT (5alpha-dihydrotestosterone)",16,3,20.2442950065541,"difettosa","k>=15"
"cgroup_L5_90db4e34","testosterone",4,1,19.1041942085953,"difettosa","k=3-4"
"cgroup_L5_bd19fe42","Carcinoma, Hepatocellular",6,1,18.8990013378751,"difettosa","k=5-9"
"cgroup_L5_2ec87595","metformin",9,2,18.0546845294295,"difettosa","k=5-9"
"cgroup_L5_2987cdb6","erlotinib",7,1,17.0987333187122,"difettosa","k=5-9"
"cgroup_L5_c860712d","cystic fibrosis",4,1,15.8668991430948,"difettosa","k=3-4"
"cgroup_L5_83f57274","hypoxia",27,4,15.5617381266703,"difettosa","k>=15"
"cgroup_L5_29cb04f8","5-fluorouracil",6,1,14.6740769214421,"difettosa","k=5-9"
"cgroup_L5_eb5e1e65","dexamethasone",11,2,13.4346549355694,"difettosa","k=10-14"
"cgroup_L5_ba4af011","irradiation",7,1,13.0445440350208,"difettosa","k=5-9"
"cgroup_L5_601ede7b","osimertinib",9,1,13.0022433392737,"difettosa","k=5-9"
"cgroup_L5_444e7fc2","HCMV (human cytomegalovirus)",9,1,12.5692899644087,"difettosa","k=5-9"
"cgroup_L5_721184e6","THZ1",9,1,11.5335670956199,"difettosa","k=5-9"
"cgroup_L5_2e16719f","TGFB1",54,6,11.4886098382902,"difettosa","k>=15"
"cgroup_L5_0e66597e","fulvestrant",9,1,11.3141171193594,"difettosa","k=5-9"
"cgroup_L5_c0d1d837","enzalutamide",18,2,10.7684034893817,"difettosa","k>=15"
"cgroup_L5_79a73ac5","Influenza A virus",8,1,9.98266971878417,"difettosa","k=5-9"
"cgroup_L5_c548d053","lipopolysaccharide",33,3,9.93561828491431,"difettosa","k>=15"
"cgroup_L5_3a0a595f","dasatinib",8,1,8.44444934611971,"difettosa","k=5-9"
"cgroup_L5_b6b8bc00","palbociclib",15,1,7.70179439325614,"difettosa","k>=15"
"cgroup_L5_c3ae78cd","Crohn Disease",8,1,6.69201319139222,"difettosa","k=5-9"
"cgroup_L5_021e875e","cisplatin",16,1,6.07611564175174,"difettosa","k>=15"
"cgroup_L5_c054e202","sirolimus",7,1,5.88174019764241,"difettosa","k=5-9"
"cgroup_L5_871ae09e","SARS-CoV-2",25,1,4.36752966228844,"difettosa","k>=15"
"cgroup_L5_f94b6180","R1881 (metribolone)",18,1,4.14424796896478,"difettosa","k>=15"
"cgroup_L5_b71a25a2","JQ1",25,1,3.54612040862706,"difettosa","k>=15"
"cgroup_L5_debadb13","hepatitis B virus",4,1,1.1838168539162,"difettosa","k=3-4"
"cgroup_L5_dde29fb4","hydrogen peroxide",10,2,1.17909411457654,"difettosa","k=10-14"
"cgroup_L5_905be893","IL1B",19,1,0.636866794826025,"incerta","k>=15"
"cgroup_L5_d9e23e09","TNF",36,0,0,"corretta","k>=15"
"cgroup_L5_8a54ddd6","doxorubicin",15,0,0,"incerta","k>=15"
"cgroup_L5_aecd610f","schizophrenia",13,0,0,"corretta","k=10-14"
"cgroup_L5_a32e5eaa","5-aza-2'-deoxycytidine",12,0,0,"corretta","k=10-14"
"cgroup_L5_1d96b9da","poly(I:C)",11,0,0,"incerta","k=10-14"
"cgroup_L5_6df6a50e","sorafenib",11,0,0,"corretta","k=10-14"
"cgroup_L5_be15b706","IL13",11,0,0,"corretta","k=10-14"
"cgroup_L5_7934174c","tazemetostat",10,0,0,"corretta","k=10-14"
"cgroup_L5_a25d0964","IL6",10,0,0,"corretta","k=10-14"
"cgroup_L5_4b901bf1","psoriasis",9,0,0,"corretta","k=5-9"
"cgroup_L5_a12414d4","17β-estradiol",9,0,0,"corretta","k=5-9"
"cgroup_L5_f97e50de","crizotinib",9,0,0,"corretta","k=5-9"
"cgroup_L5_702a5dea","trametinib",8,0,0,"incerta","k=5-9"
"cgroup_L5_85083e38","Parkinson Disease",8,0,0,"corretta","k=5-9"
"cgroup_L5_004d293d","lapatinib",7,0,0,"corretta","k=5-9"
"cgroup_L5_12212e41","multiple sclerosis",7,0,0,"corretta","k=5-9"
"cgroup_L5_41f7b088","gefitinib",7,0,0,"corretta","k=5-9"
"cgroup_L5_535d97f6","imatinib",7,0,0,"corretta","k=5-9"
"cgroup_L5_79ce3bd1","bleomycin A2",7,0,0,"corretta","k=5-9"
"cgroup_L5_b32ab7f6","IL17A",7,0,0,"corretta","k=5-9"
"cgroup_L5_bb8cb388","endometriosis",7,0,0,"corretta","k=5-9"
"cgroup_L5_efced505","sunitinib",7,0,0,"corretta","k=5-9"
"cgroup_L5_12228932","EGF",6,0,0,"corretta","k=5-9"
