"cluster_id","esito","scarto_accettazione","n_geni_confronto","n_studi_tolti","n_geni_richiesti","n_geni_confrontati","n_geni_spariti","spearman","n_sig_pieno","n_sig_ridotto","n_sig_persi","n_sig_guadagnati","max_abs_delta_logFC","gene_max_delta","k_pieno","k_ridotto","entita","k","pct_sig_persi"
"cgroup_L5_021e875e","ok",0,19944,1,1027,1026,1,0.852164271601529,1027,894,133,0,0.349247031980216,"ENSG00000225130",15,14,"cisplatin",16,12.9503407984421
"cgroup_L5_0e66597e","ok",0,16687,1,3722,3722,0,0.91751026936841,3722,3270,452,0,0.102642847849272,"ENSG00000174945",9,8,"fulvestrant",9,12.1440085975282
"cgroup_L5_1bbf4b9b","ok",0,18702,1,946,935,11,0.631354326003553,946,710,236,0,0.565721908356953,"ENSG00000178882",5,4,"Stomach Neoplasms",5,24.9471458773784
"cgroup_L5_2987cdb6","ok",0,17234,1,2367,2264,103,0.632424848116259,2367,1017,1350,0,0.839836248448617,"ENSG00000204618",7,6,"erlotinib",7,57.0342205323194
"cgroup_L5_29cb04f8","ok",0,17449,1,1200,1184,16,0.828941736735442,1200,1094,106,0,0.610043664093936,"ENSG00000213886",6,5,"5-fluorouracil",6,8.83333333333333
"cgroup_L5_2a225fda","ok",0,16714,1,650,478,172,0.230911941771409,650,6,644,0,0.527922414712179,"ENSG00000156535",3,2,"asthma",3,99.0769230769231
"cgroup_L5_2ab433c8","ok",0,15888,1,1258,1219,39,0.480543163537377,1258,551,707,0,0.55620353667831,"ENSG00000204610",5,4,"IL22",5,56.2003179650238
"cgroup_L5_2d53def6","ok",0,14425,2,94,0,94,NA,94,0,94,0,NA,NA,3,NA,"IL21",3,100
"cgroup_L5_2e16719f","ok",0,19725,6,8200,8193,7,0.928618328849858,8200,7586,614,0,0.163574803824631,"ENSG00000179772",53,47,"TGFB1",54,7.48780487804878
"cgroup_L5_2ec87595","ok",0,17488,2,357,320,37,0.622107079023932,357,225,132,0,0.2665147751363,"ENSG00000137726",8,7,"metformin",9,36.9747899159664
"cgroup_L5_31308596","ok",0,13181,1,807,688,119,0.56146035755005,807,412,395,0,0.284092502237806,"ENSG00000198899",3,2,"PMA (phorbol 12-myristate 13-acetate)",3,48.9467162329616
"cgroup_L5_3439da02","ok",0,16335,2,1735,1538,197,0.375257994326507,1735,778,957,0,0.194623740839295,"ENSG00000197249",5,3,"everolimus",5,55.1585014409222
"cgroup_L5_3973fe03","ok",0,16187,2,2084,0,2084,NA,2084,0,2084,0,NA,NA,3,NA,"IL1A",3,100
