"cluster_id","esito","n_accusati","n_puliti","n_nulli","bracci_accusati","bracci_nulli_mediana","spearman_vero","spearman_nulli_mediana","percentile_spearman","pct_sig_vero","pct_sig_nulli_mediana","percentile_sig","delta_vero","delta_nulli_mediana","percentile_delta","entita"
"cgroup_L5_021e875e","ok",1,15,15,1,1,0.852164271601529,0.886837376034417,0.666666666666667,0.129503407984421,0.205452775073028,0.266666666666667,0.349247031980216,0.0418510924791738,0.933333333333333,"cisplatin"
"cgroup_L5_0e66597e","ok",1,8,8,1,1,0.91751026936841,0.858507089643575,0.25,0.121440085975282,0.210236432025793,0.125,0.102642847849272,0.159847100562668,0.125,"fulvestrant"
"cgroup_L5_1bbf4b9b","ok",1,4,4,1,1,0.631354326003553,0.68537781003241,0.5,0.249471458773784,0.382663847780127,0.5,0.565721908356953,0.679417766411032,0.5,"Stomach Neoplasms"
"cgroup_L5_2987cdb6","ok",1,6,6,5,1,0.632424848116259,0.784014704383245,1,0.570342205323194,0.24566962399662,1,0.839836248448617,0.251998124476992,0.833333333333333,"erlotinib"
"cgroup_L5_29cb04f8","ok",1,5,5,1,1,0.828941736735442,0.525121011094512,0,0.0883333333333333,0.383333333333333,0.2,0.610043664093936,0.608235846469894,0.6,"5-fluorouracil"
"cgroup_L5_2a225fda","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asthma"
"cgroup_L5_2ab433c8","ok",1,4,4,2,1,0.480543163537377,0.72998112161359,1,0.562003179650238,0.240461049284579,1,0.55620353667831,0.249822303992421,1,"IL22"
"cgroup_L5_2d53def6","nulli non costruibili",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL21"
"cgroup_L5_2e16719f","ok",6,48,20,14,9.5,0.928618328849858,0.956247743647628,0.95,0.0748780487804878,0.0998780487804878,0.05,0.163574803824631,0.210525659771362,0.3,"TGFB1"
"cgroup_L5_2ec87595","ok",2,7,20,3,2,0.622107079023932,0.610617081574835,0.5,0.369747899159664,0.497198879551821,0.3,0.2665147751363,0.524784573772202,0.2,"metformin"
"cgroup_L5_31308596","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PMA (phorbol 12-myristate 13-acetate)"
"cgroup_L5_3439da02","ok",2,3,6,3,2,0.375257994326507,0.526028137589529,0.666666666666667,0.551585014409222,0.402881844380403,1,0.194623740839295,0.165608982955672,0.666666666666667,"everolimus"
"cgroup_L5_3973fe03","nulli non costruibili",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL1A"
"cgroup_L5_3a0a595f","ok",1,7,7,1,2,0.780924217951795,0.668512375619062,0.285714285714286,0.115294117647059,0.218823529411765,0.142857142857143,0.0951690127226673,0.252045584907167,0.142857142857143,"dasatinib"
"cgroup_L5_3a58e5f5","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"prostaglandin E2"
"cgroup_L5_3b461817","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nilotinib"
"cgroup_L5_3be7454c","nulli non costruibili",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IFNA1"
"cgroup_L5_3de56a79","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pdac"
"cgroup_L5_3ec58cd6","ok",1,4,4,2,1,0.309210006728375,0.747950901426389,1,0.809417040358744,0.29372197309417,1,0.759848287744662,0.103247581045177,1,"obese"
"cgroup_L5_3fa847fe","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"osteoarthritis"
"cgroup_L5_444e7fc2","ok",1,8,8,1,1,0.74664163613913,0.715045153471952,0.5,0.438563327032136,0.125708884688091,0.625,0.0549541492163131,0.250256680178815,0.375,"HCMV (human cytomegalovirus)"
"cgroup_L5_49d55bfd","ok",1,4,4,2,1,0.543751949626232,0.665835575977457,1,0.406862745098039,0.267156862745098,0.75,1.6928058255598,0.276160997908975,1,"IL4"
"cgroup_L5_522fa0c2","ok",1,4,4,1,1,-0.103574702108158,0.693206940519133,1,0.866666666666667,0.444444444444444,1,1.12225804673322,0.306132380315323,1,"sals"
"cgroup_L5_5927750b","ok",1,3,3,2,2,0.462166264639381,0.644972957174908,0.666666666666667,0.372701555869873,0.212164073550212,0.666666666666667,0.122654548412306,0.330046756023445,0.333333333333333,"carfilzomib"
"cgroup_L5_601ede7b","ok",1,8,8,2,1,0.754937683089618,0.801956053579718,0.875,0.485623003194888,0.201597444089457,1,0.399821970873578,0.293669842335536,0.875,"osimertinib"
"cgroup_L5_721184e6","ok",1,8,8,1,1,0.711570400630017,0.814734964597162,0.875,0.395121951219512,0.248780487804878,1,0.385578188033812,0.0842934159391832,1,"THZ1"
"cgroup_L5_74daf1c9","ok",1,3,3,1,1,0.993519384664153,0.656502068998992,0,0.00153256704980843,0.373435504469987,0,0.0011577647167984,0.650455046131476,0,"oscc"
"cgroup_L5_7805eee6","ok",1,5,5,1,1,0.431011205997502,0.57726156634268,1,0.426208651399491,0.297709923664122,0.8,1.25063637209399,1.14428341754557,0.6,"covid 19"
"cgroup_L5_79a73ac5","ok",1,7,7,1,1,0.879016691782632,0.737816187753485,0,0.123058542413381,0.347670250896057,0.142857142857143,0.0190677598945359,0.565560233534325,0,"Influenza A virus"
"cgroup_L5_82f82010","ok",1,3,3,1,1,0.818031544243221,0.562197243549009,0,0.237762237762238,0.545454545454545,0,0.496854734870794,0.700071871338022,0,"diabetic"
"cgroup_L5_8341bee7","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"progesterone"
"cgroup_L5_83f57274","ok",4,23,20,7,6,0.795067447893142,0.85883711463648,1,0.258280158006685,0.304618656943178,0.25,0.133349438841228,0.156066240943357,0.05,"hypoxia"
"cgroup_L5_862cd9b9","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCH772984"
"cgroup_L5_871ae09e","ok",1,24,20,2,1,0.811009158774593,0.889715558125091,1,0.139705882352941,0.143382352941176,0.45,0.0822992087586195,0.0883928489761752,0.4,"SARS-CoV-2"
"cgroup_L5_87c40ebb","ok",3,13,20,4,3,0.824905442163409,0.822236776048262,0.45,0.385250128932439,0.263795771015988,0.95,1.0803125209928,0.467456578319633,0.7,"IFNG"
"cgroup_L5_889ec305","ok",1,4,4,4,1,0.67286683375676,0.729687661631639,0.75,0.424280350438048,0.402169378389654,0.5,0.880982348252084,0.301419780509159,0.75,"Colorectal Neoplasms"
"cgroup_L5_8b61f50b","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tamoxifen"
"cgroup_L5_905be893","ok",1,18,18,1,1,0.98150440251734,0.917519725463916,0,0.0117333333333333,0.1624,0,0.207139064959814,0.212891295603339,0.5,"IL1B"
"cgroup_L5_90db4e34","ok",1,3,3,1,1,0.828280065689943,0.49336935625212,0,0.332038834951456,0.374757281553398,0.333333333333333,0.0315287295750902,0.459421903895426,0.333333333333333,"testosterone"
"cgroup_L5_930c8dcf","ok",3,13,20,3,3,0.786068249844069,0.74563363851059,0.1,0.404300168634064,0.275927487352445,0.7,0.422502925808034,0.396632711434037,0.5,"DHT (5alpha-dihydrotestosterone)"
"cgroup_L5_99d7941a","nulli non costruibili",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"temozolomide"
"cgroup_L5_a4029927","nulli non costruibili",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"afatinib"
"cgroup_L5_a8015c98","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gemcitabine"
"cgroup_L5_aad8ed47","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"taz + yap"
"cgroup_L5_b2645a34","nulli non costruibili",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CETUXIMAB"
"cgroup_L5_b2affd22","ok",1,5,5,4,1,0.421740028861355,0.785375001738437,1,0.434445768772348,0.259833134684148,0.8,0.20932696736035,0.096126756495187,0.6,"Pre-Eclampsia"
"cgroup_L5_b6b8bc00","ok",1,14,14,1,1,0.873915663826308,0.922137109664169,0.857142857142857,0.0408763897972531,0.143721386527142,0.0714285714285714,0.843228696301961,0.137937336811213,1,"palbociclib"
"cgroup_L5_b71a25a2","ok",1,24,20,1,1,0.937453001756953,0.985576939948106,0.95,0.0293737895416398,0.039703034215623,0.25,0.0391731593917528,0.0901470809744488,0.15,"JQ1"
"cgroup_L5_ba4af011","ok",1,6,6,2,1,0.737853949193933,0.784445482109715,0.833333333333333,0.0956552207428171,0.266818500350385,0.166666666666667,0.0213244989822571,0.230743974105629,0.166666666666667,"irradiation"
"cgroup_L5_bd19fe42","ok",1,5,5,1,1,0.615339363616772,0.694539912601278,0.6,0.457142857142857,0.0857142857142857,0.8,0.567703924025158,0.558170668383281,0.6,"Carcinoma, Hepatocellular"
"cgroup_L5_bd40f34f","nulli non costruibili",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL15"
"cgroup_L5_c054e202","ok",1,6,6,1,1,0.895991347497887,0.717180008473923,0,0.247731092436975,0.340168067226891,0.333333333333333,0.248472538813985,0.102496528504686,0.666666666666667,"sirolimus"
"cgroup_L5_c0d1d837","ok",2,16,20,2,2,0.853095742477504,0.834301851052013,0.4,0.196153846153846,0.24112426035503,0.2,0.0864001193076454,0.230027264941508,0.2,"enzalutamide"
"cgroup_L5_c3ae78cd","ok",1,7,7,1,2,0.906809768367128,0.825327380169846,0.142857142857143,0.0942622950819672,0.134367681498829,0,0.0322005017157616,0.125589623723201,0,"Crohn Disease"
"cgroup_L5_c548d053","ok",3,30,20,3,3,0.945219425326677,0.930033009085154,0.3,0.133254716981132,0.140625,0.45,0.345803984527222,0.335484349093689,0.55,"lipopolysaccharide"
"cgroup_L5_c860712d","ok",1,3,3,1,1,0.645316741453505,0.740027014969534,0.666666666666667,0.502816901408451,0.212676056338028,0.666666666666667,0.0794073697738225,0.231756605223318,0,"cystic fibrosis"
"cgroup_L5_d28620cd","ok",1,3,3,1,1,0.359777711484603,0.571837321199702,1,0.791505791505791,0.387387387387387,1,0.328179861927074,0.484982105313532,0.333333333333333,"staurosporine"
"cgroup_L5_d631ee89","ok",1,3,3,1,1,0.586760974806084,0.416044983557463,0.333333333333333,0.273170731707317,0.565853658536585,0.333333333333333,0.0789118617931445,0.526576968549704,0.333333333333333,"IL3"
"cgroup_L5_d6fad784","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"myotonic dystrophy type 1"
"cgroup_L5_dde29fb4","ok",2,8,20,2,2,0.958536099653225,0.651048244565132,0,0.0610098176718093,0.340813464235624,0,0.00521266725228475,0.34388391934944,0,"hydrogen peroxide"
"cgroup_L5_debadb13","ok",1,3,3,1,2,1,0.390909090909091,0,0,0.636363636363636,0,0.00310605369398151,0.596245937256382,0,"hepatitis B virus"
"cgroup_L5_eb5e1e65","ok",2,9,20,2,2,0.722438498299098,0.650567872375879,0.2,0.284072249589491,0.463054187192118,0.1,0.358959156640708,0.400038817575248,0.5,"dexamethasone"
"cgroup_L5_f51ff620","troppo pochi nulli riusciti",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asthmatic"
"cgroup_L5_f832048f","nulli non costruibili",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Breast Neoplasms"
