"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_b2645a34","CETUXIMAB",3,2,88.0348474266858,"incerta","ok",2,NA,26,26,100,NA,3,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_f51ff620","asthmatic",3,1,77.8991719220845,"difettosa","ok",1,0.260991009135926,2749,2733,99.4179701709713,0.24044102091642,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_2d53def6","IL21",3,2,74.4594739228482,"difettosa","ok",2,NA,94,94,100,NA,3,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3973fe03","IL1A",3,2,66.2288174770072,"difettosa","ok",2,NA,2084,2084,100,NA,3,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_bd40f34f","IL15",3,2,63.8688093277319,"difettosa","ok",2,NA,198,198,100,NA,3,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3fa847fe","osteoarthritis",3,1,62.0681447945712,"incerta","ok",1,0.231452232166112,1475,1475,100,1.49125434231915,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_2a225fda","asthma",3,1,61.6977285460828,"difettosa","ok",1,0.230911941771409,650,644,99.0769230769231,0.527922414712179,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_3b461817","nilotinib",3,1,55.8440941881645,"difettosa","ok",1,0.410359449597647,562,491,87.3665480427046,0.59260672572465,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_862cd9b9","SCH772984",3,1,48.9883927240655,"difettosa","ok",1,0.223074932543389,5182,3005,57.9891933616364,0.356005275459999,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_3439da02","everolimus",5,2,47.7448856462298,"difettosa","ok",2,0.375257994326507,1735,957,55.1585014409222,0.194623740839295,5,3,TRUE,1,0.666666666666667,0.666666666666667,6,3,2
"cgroup_L5_d6fad784","myotonic dystrophy type 1",3,1,44.737428652333,"difettosa","ok",1,0.32277697606931,1274,1150,90.2668759811617,0.471233629334046,3,2,FALSE,NA,NA,NA,2,NA,NA
"cgroup_L5_f832048f","Breast Neoplasms",4,2,44.236673036401,"difettosa","ok",2,0.560050951204716,3586,1129,31.4835471277189,0.356705975884889,4,2,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_99d7941a","temozolomide",4,2,44.1895896640265,"difettosa","ok",2,0.676608263711299,2273,1034,45.4905411350638,0.252100775528513,4,2,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3be7454c","IFNA1",4,2,43.7571659698403,"difettosa","ok",2,0.484612436001554,882,567,64.2857142857143,0.369267757252485,4,2,FALSE,NA,NA,NA,NA,NA,NA
