"cluster_id","study_id","etichetta","n_t","n_c","gsm_t","gsm_c"
"cgroup_L5_004d293d","GSE217421","Lapatinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",8,12,"GSM6717795,GSM6717797,GSM6717798,GSM6717800,GSM6717804,GSM6717805,GSM6717808,GSM6717811","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_004d293d","GSE217421","Lapatinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",4,12,"GSM6717796,GSM6717799,GSM6717806,GSM6717807","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_004d293d","GSE217421","Lapatinib-treated cardiac myocytes || DMSO-treated cardiac myocytes",7,12,"GSM6717794,GSM6717801,GSM6717802,GSM6717803,GSM6717809,GSM6717810,GSM6717812","GSM6717325,GSM6717326,GSM6717327,GSM6717328,GSM6717330,GSM6717331,GSM6717332,GSM6717336,GSM6717347,GSM6717348,GSM6717382,GSM6717383"
"cgroup_L5_021e875e","GSE215254","Cisplatin 3D 4h || Vehicle 3D 4h",2,2,"GSM6630473,GSM6630474","GSM6630481,GSM6630483"
"cgroup_L5_021e875e","GSE215254","Cisplatin 3D 4h || Vehicle 3D 4h",2,2,"GSM6630475,GSM6630477","GSM6630481,GSM6630483"
"cgroup_L5_0e66597e","GSE123285","MCF7 + Fulvestrant (10 nM) || MCF7 + DMSO Vehicle",2,16,"GSM3499242,GSM3499243","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_0e66597e","GSE123285","MCF7 + Fulvestrant (10 nM) || MCF7 + DMSO Vehicle",4,16,"GSM3499236,GSM3499238,GSM3499239,GSM3499240","GSM3499287,GSM3499291,GSM3499293,GSM3499294,GSM3499295,GSM3499296,GSM3499297,GSM3499298,GSM3499299,GSM3499300,GSM3499301,GSM3499302,GSM3499303,GSM3499304,GSM3499305,GSM3499307"
"cgroup_L5_12212e41","GSE138614","MS6 || C1_Control",7,2,"GSM4114298,GSM4114333,GSM4114361,GSM4114362,GSM4114365,GSM4114367,GSM4114384","GSM4114319,GSM4114352"
"cgroup_L5_12212e41","GSE138614","MS6 || C1_Control",2,2,"GSM4114342,GSM4114346","GSM4114319,GSM4114352"
"cgroup_L5_17b35bdc","GSE202682","Docetaxel Treated || Control (Vehicle)",2,6,"GSM6128392,GSM6128394","GSM6128383,GSM6128385,GSM6128387,GSM6128389,GSM6128391,GSM6128393"
"cgroup_L5_17b35bdc","GSE202682","Docetaxel Treated || Control (Vehicle)",2,6,"GSM6128386,GSM6128388","GSM6128383,GSM6128385,GSM6128387,GSM6128389,GSM6128391,GSM6128393"
"cgroup_L5_2248a891","GSE202436","Forskolin 1h || Vehicle 1h",3,3,"GSM6122487,GSM6122488,GSM6122490","GSM6122467,GSM6122468,GSM6122470"
"cgroup_L5_2248a891","GSE202436","Forskolin 18h || Vehicle 18h",3,3,"GSM6122562,GSM6122563,GSM6122565","GSM6122542,GSM6122543,GSM6122545"
"cgroup_L5_2248a891","GSE202436","Forskolin 2h || Vehicle 2h",3,2,"GSM6122512,GSM6122513,GSM6122515","GSM6122492,GSM6122495"
"cgroup_L5_2248a891","GSE202436","Forskolin 6h || Vehicle 6h",3,3,"GSM6122537,GSM6122538,GSM6122540","GSM6122517,GSM6122518,GSM6122520"
"cgroup_L5_2248a891","GSE202436","Forskolin 1h || Vehicle 1h",2,2,"GSM6122486,GSM6122489","GSM6122466,GSM6122469"
"cgroup_L5_2248a891","GSE202436","Forskolin 18h || Vehicle 18h",2,2,"GSM6122561,GSM6122564","GSM6122541,GSM6122544"
"cgroup_L5_2248a891","GSE202436","Forskolin 2h || Vehicle 2h",2,2,"GSM6122511,GSM6122514","GSM6122491,GSM6122494"
"cgroup_L5_2248a891","GSE202436","Forskolin 6h || Vehicle 6h",2,2,"GSM6122536,GSM6122539","GSM6122516,GSM6122519"
"cgroup_L5_2d53def6","GSE120904","Intestinal intraepithelial cytotoxic T cells treated with IL21 || Intestinal intraepithelial cytotoxic T cells treated with vehicle_only",3,2,"GSM3418256,GSM3418266,GSM3418288","GSM3418269,GSM3418283"
"cgroup_L5_2d53def6","GSE120904","Intestinal intraepithelial cytotoxic T cells treated with IL21 || Intestinal intraepithelial cytotoxic T cells treated with vehicle_only",2,2,"GSM3418276,GSM3418284","GSM3418269,GSM3418283"
"cgroup_L5_2e16719f","GSE191279","Healthy, 13 days of culture, TGF-β1 stimulation || Healthy, 13 days of culture",8,11,"GSM5742916,GSM5742919,GSM5742920,GSM5742933,GSM5742935,GSM5742939,GSM5742952,GSM5742956","GSM5742914,GSM5742915,GSM5742917,GSM5742918,GSM5742934,GSM5742936,GSM5742938,GSM5742949,GSM5742951,GSM5742957,GSM5742958"
