"n","scheda","nome","entita","verso","controllo","cluster_id","studi","campioni","verdetto"
1,"001-TGFB1-k54.txt","TGFB1","HGNC:11766","gain","vehicle_untreated","cgroup_L5_2e16719f",54,793,"difettosa"
2,"002-TNF-k36.txt","TNF","HGNC:11892","gain","vehicle_untreated","cgroup_L5_d9e23e09",36,307,"corretta"
3,"003-lipopolysaccharide-k33.txt","lipopolysaccharide","CHEBI:16412","gain","vehicle_untreated","cgroup_L5_c548d053",33,370,"difettosa"
4,"004-hypoxia-k27.txt","hypoxia","STR:hypoxia","gain","vehicle_untreated","cgroup_L5_83f57274",27,237,"difettosa"
5,"005-JQ1-k25.txt","JQ1","CHEBI:137113","gain","vehicle_untreated","cgroup_L5_b71a25a2",25,284,"difettosa"
6,"006-SARS-CoV-2-k25.txt","SARS-CoV-2","NCBITaxon:2697049","gain","vehicle_untreated","cgroup_L5_871ae09e",25,289,"difettosa"
7,"007-IL1B-k19.txt","IL1B","HGNC:5992","gain","vehicle_untreated","cgroup_L5_905be893",19,152,"incerta"
8,"008-R1881__metribolone_-k18.txt","R1881 (metribolone)","CHEBI:379896","gain","vehicle_untreated","cgroup_L5_f94b6180",18,194,"difettosa"
9,"009-enzalutamide-k18.txt","enzalutamide","CHEBI:68534","gain","vehicle_untreated","cgroup_L5_c0d1d837",18,157,"difettosa"
10,"010-DHT__5alpha-dihydrotestosterone_-k16.txt","DHT (5alpha-dihydrotestosterone)","CHEBI:16330","gain","vehicle_untreated","cgroup_L5_930c8dcf",16,131,"difettosa"
11,"011-cisplatin-k16.txt","cisplatin","CHEBI:27899","gain","vehicle_untreated","cgroup_L5_021e875e",16,127,"difettosa"
12,"012-IFNG-k16.txt","IFNG","HGNC:5438","gain","vehicle_untreated","cgroup_L5_87c40ebb",16,130,"difettosa"
13,"013-doxorubicin-k15.txt","doxorubicin","CHEBI:28748","gain","vehicle_untreated","cgroup_L5_8a54ddd6",15,221,"incerta"
14,"014-palbociclib-k15.txt","palbociclib","CHEBI:85993","gain","vehicle_untreated","cgroup_L5_b6b8bc00",15,137,"difettosa"
15,"015-schizophrenia-k13.txt","schizophrenia","STR:schizophrenia","gain","vehicle_untreated","cgroup_L5_aecd610f",13,346,"corretta"
16,"016-5-aza-2_-deoxycytidine-k12.txt","5-aza-2'-deoxycytidine","CHEBI:50131","gain","vehicle_untreated","cgroup_L5_a32e5eaa",12,95,"corretta"
17,"017-dexamethasone-k11.txt","dexamethasone","CHEBI:41879","gain","vehicle_untreated","cgroup_L5_eb5e1e65",11,89,"difettosa"
18,"018-sorafenib-k11.txt","sorafenib","CHEBI:50924","gain","vehicle_untreated","cgroup_L5_6df6a50e",11,307,"corretta"
19,"019-poly_I_C_-k11.txt","poly(I:C)","CHEBI:84491","gain","vehicle_untreated","cgroup_L5_1d96b9da",11,120,"incerta"
20,"020-IL13-k11.txt","IL13","HGNC:5973","gain","vehicle_untreated","cgroup_L5_be15b706",11,118,"corretta"
21,"021-hydrogen_peroxide-k10.txt","hydrogen peroxide","CHEBI:16240","gain","vehicle_untreated","cgroup_L5_dde29fb4",10,94,"difettosa"
22,"022-tazemetostat-k10.txt","tazemetostat","CHEBI:231598","gain","vehicle_untreated","cgroup_L5_7934174c",10,100,"corretta"
23,"023-IL6-k10.txt","IL6","HGNC:6018","gain","vehicle_untreated","cgroup_L5_a25d0964",10,95,"corretta"
24,"024-17_-estradiol-k09.txt","17β-estradiol","CHEBI:16469","gain","vehicle_untreated","cgroup_L5_a12414d4",9,114,"corretta"
25,"025-THZ1-k09.txt","THZ1","CHEBI:230500","gain","vehicle_untreated","cgroup_L5_721184e6",9,94,"difettosa"
26,"026-fulvestrant-k09.txt","fulvestrant","CHEBI:31638","gain","vehicle_untreated","cgroup_L5_0e66597e",9,134,"difettosa"
27,"027-crizotinib-k09.txt","crizotinib","CHEBI:64310","gain","vehicle_untreated","cgroup_L5_f97e50de",9,184,"corretta"
28,"028-metformin-k09.txt","metformin","CHEBI:6801","gain","vehicle_untreated","cgroup_L5_2ec87595",9,88,"difettosa"
29,"029-osimertinib-k09.txt","osimertinib","CHEBI:90943","gain","vehicle_untreated","cgroup_L5_601ede7b",9,225,"difettosa"
30,"030-HCMV__human_cytomegalovirus_-k09.txt","HCMV (human cytomegalovirus)","NCBITaxon:10359","gain","vehicle_untreated","cgroup_L5_444e7fc2",9,184,"difettosa"
31,"031-psoriasis-k09.txt","psoriasis","STR:psoriasis","gain","vehicle_untreated","cgroup_L5_4b901bf1",9,161,"corretta"
32,"032-dasatinib-k08.txt","dasatinib","CHEBI:49375","gain","vehicle_untreated","cgroup_L5_3a0a595f",8,307,"difettosa"
33,"033-trametinib-k08.txt","trametinib","CHEBI:75998","gain","vehicle_untreated","cgroup_L5_702a5dea",8,82,"incerta"
34,"034-Crohn_Disease-k08.txt","Crohn Disease","MeSH:D003424","gain","vehicle_untreated","cgroup_L5_c3ae78cd",8,690,"difettosa"
35,"035-Parkinson_Disease-k08.txt","Parkinson Disease","MeSH:D010300","gain","vehicle_untreated","cgroup_L5_85083e38",8,138,"corretta"
36,"036-Influenza_A_virus-k08.txt","Influenza A virus","NCBITaxon:11320","gain","vehicle_untreated","cgroup_L5_79a73ac5",8,151,"difettosa"
37,"037-erlotinib-k07.txt","erlotinib","CHEBI:114785","gain","vehicle_untreated","cgroup_L5_2987cdb6",7,134,"difettosa"
38,"038-bleomycin_A2-k07.txt","bleomycin A2","CHEBI:3139","gain","vehicle_untreated","cgroup_L5_79ce3bd1",7,46,"corretta"
