"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE100574",17,17,0,""
"GSE100785",24,24,0,""
"GSE100855",48,48,0,""
"GSE101216",32,32,0,""
"GSE101868",14,14,0,""
"GSE101993",7,7,0,""
"GSE102209",20,20,0,""
"GSE102505",27,27,0,""
"GSE102674",24,24,0,""
"GSE102677",26,26,0,""
"GSE103501",29,29,0,""
"GSE103930",20,20,0,""
"GSE104178",6,6,0,""
"GSE104193",32,32,0,""
"GSE104282",18,18,0,""
"GSE104348",9,9,0,""
"GSE104756",20,20,0,""
"GSE104869",12,12,0,""
"GSE104872",24,24,0,""
"GSE104917",24,24,0,""
"GSE105088",18,18,0,""
"GSE105160",19,19,0,""
"GSE105951",16,16,0,""
"GSE106148",8,8,0,""
"GSE106336",6,6,0,""
"GSE106608",16,16,0,""
"GSE106716",8,8,0,""
"GSE107638",96,96,0,""
"GSE107781",8,8,0,""
"GSE108177",30,30,0,""
"GSE108308",12,12,0,""
"GSE108406",31,31,0,""
"GSE108621",12,12,0,""
"GSE108743",5,5,0,""
"GSE109062",8,8,0,""
"GSE109181",12,12,0,""
"GSE109313",33,33,0,""
"GSE109484",45,45,0,""
"GSE109720",32,31,1,"GSM2949383"
"GSE110041",50,50,0,""
"GSE110397",48,48,0,""
"GSE110947",70,70,0,""
"GSE111009",24,24,0,""
"GSE111379",18,18,0,""
"GSE112057",182,182,0,""
"GSE112202",25,25,0,""
"GSE112523",34,34,0,""
"GSE112983",8,8,0,""
"GSE113210",62,62,0,""
"GSE113524",39,39,0,""
"GSE113604",22,22,0,""
"GSE113685",24,24,0,""
"GSE113711",21,21,0,""
"GSE113922",90,90,0,""
"GSE114273",18,18,0,""
"GSE114284",18,18,0,""
"GSE114519",6,6,0,""
"GSE114686",83,82,1,"GSM3147209"
"GSE115193",9,9,0,""
"GSE115205",36,17,19,"GSM3169281,GSM3169283,GSM3169288,GSM3169289,GSM3169290,GSM3169291,GSM3169292,GSM3169293,GSM3169294,GSM3169295,GSM3169296,GSM3169300,GSM3169303,GSM3169304,GSM3169307,GSM3169308,GSM3169309,GSM3169311,GSM3169313"
"GSE115311",42,42,0,""
"GSE115421",51,51,0,""
"GSE115542",24,24,0,""
"GSE115650",43,43,0,""
"GSE116282",12,12,0,""
"GSE116899",30,30,0,""
"GSE116927",48,48,0,""
"GSE117313",8,8,0,""
"GSE117329",30,29,1,"GSM3291117"
"GSE117405",28,28,0,""
"GSE117446",92,91,1,"GSM3295003"
"GSE117610",5,5,0,""
"GSE117620",15,15,0,""
"GSE117970",116,116,0,""
"GSE118046",12,12,0,""
"GSE118152",10,10,0,""
"GSE118313",24,24,0,""
"GSE118319",20,20,0,""
"GSE118548",12,11,1,"GSM3332284"
"GSE118566",12,12,0,""
"GSE118928",15,15,0,""
"GSE119007",12,12,0,""
"GSE119047",20,20,0,""
"GSE119088",18,16,2,"GSM3357705,GSM3357707"
"GSE119606",15,13,2,"GSM3378753,GSM3378759"
"GSE119978",27,24,3,"GSM3389690,GSM3389692,GSM3389694"
"GSE120176",8,8,0,""
"GSE120178",147,147,0,""
"GSE120523",12,12,0,""
"GSE120660",21,21,0,""
"GSE120663",7,7,0,""
"GSE120784",24,24,0,""
"GSE120886",18,18,0,""
"GSE120891",30,30,0,""
"GSE120904",87,87,0,""
"GSE121105",21,21,0,""
"GSE121155",6,6,0,""
"GSE121376",56,56,0,""
"GSE121445",6,6,0,""
"GSE122274",27,27,0,""
"GSE122305",18,16,2,"GSM3463721,GSM3463722"
"GSE122409",28,28,0,""
"GSE122649",38,38,0,""
"GSE123018",33,33,0,""
"GSE123141",28,28,0,""
"GSE123285",96,96,0,""
"GSE123468",63,39,24,"GSM3504538,GSM3504539,GSM3504540,GSM3504542,GSM3504543,GSM3504545,GSM3504546,GSM3504547,GSM3504548,GSM3504549,GSM3504550,GSM3504551,GSM3504552,GSM3504553,GSM3504554,GSM3504556,GSM3504557,GSM3504558,GSM3504580,GSM3504581,GSM3504589,GSM3504590,GSM3504591,GSM3504596"
"GSE123637",15,15,0,""
"GSE123638",12,12,0,""
"GSE123658",80,80,0,""
"GSE123763",24,24,0,""
"GSE123766",17,17,0,""
"GSE123807",12,12,0,""
"GSE124450",6,6,0,""
"GSE124453",6,6,0,""
"GSE124622",9,9,0,""
"GSE124704",70,70,0,""
"GSE124979",8,8,0,""
"GSE125066",18,18,0,""
"GSE125218",8,8,0,""
"GSE125245",36,36,0,""
"GSE125342",12,12,0,""
"GSE125518",15,15,0,""
"GSE125577",6,6,0,""
"GSE125583",289,289,0,""
"GSE125866",18,18,0,""
"GSE126003",84,81,3,"GSM3587670,GSM3587672,GSM3587680"
"GSE126101",12,12,0,""
"GSE126395",18,18,0,""
"GSE126409",104,104,0,""
"GSE126517",24,24,0,""
"GSE126750",15,15,0,""
"GSE126775",30,30,0,""
"GSE126848",57,57,0,""
"GSE126964",66,66,0,""
"GSE126998",8,8,0,""
"GSE128328",8,8,0,""
"GSE128420",18,18,0,""
"GSE128728",34,31,3,"GSM3683851,GSM3683859,GSM3683867"
"GSE128940",6,6,0,""
"GSE129018",12,12,0,""
"GSE129210",28,28,0,""
"GSE129942",9,9,0,""
"GSE130006",6,6,0,""
"GSE130226",24,24,0,""
"GSE130246",12,12,0,""
"GSE130284",12,12,0,""
"GSE130313",18,18,0,""
"GSE130580",11,11,0,""
"GSE130664",12,12,0,""
"GSE130665",8,8,0,""
"GSE131099",62,62,0,""
"GSE131300",18,18,0,""
"GSE131525",72,72,0,""
"GSE131526",15,15,0,""
"GSE131605",40,40,0,""
"GSE131726",12,12,0,""
"GSE131983",18,18,0,""
"GSE131998",16,16,0,""
"GSE132270",39,27,12,"GSM3855392,GSM3855397,GSM3855399,GSM3855400,GSM3855401,GSM3855410,GSM3855417,GSM3855419,GSM3855421,GSM3855424,GSM3855425,GSM3855426"
"GSE132500",8,8,0,""
"GSE132689",18,18,0,""
"GSE132782",48,48,0,""
"GSE132958",8,8,0,""
"GSE133003",18,14,4,"GSM3898105,GSM3898110,GSM3898116,GSM3898118"
"GSE133101",68,68,0,""
"GSE133567",12,10,2,"GSM3912190,GSM3912192"
"GSE133737",22,22,0,""
"GSE133876",12,12,0,""
"GSE134045",21,21,0,""
"GSE134395",25,25,0,""
"GSE134422",7,7,0,""
"GSE134497",22,22,0,""
"GSE134580",32,32,0,""
"GSE134737",34,34,0,""
"GSE134817",180,168,12,"GSM3972242,GSM3972250,GSM3972289,GSM3972290,GSM3972291,GSM3972296,GSM3972304,GSM3972310,GSM3972344,GSM3972345,GSM3972358,GSM3972362"
"GSE134896",24,24,0,""
"GSE135215",65,65,0,""
"GSE135251",194,194,0,""
"GSE135458",8,8,0,""
"GSE135485",58,58,0,""
"GSE135514",32,32,0,""
"GSE135640",45,45,0,""
"GSE135879",34,34,0,""
"GSE136272",86,86,0,""
"GSE136371",48,48,0,""
"GSE136534",12,12,0,""
"GSE136725",19,19,0,""
"GSE137056",24,24,0,""
"GSE137200",6,6,0,""
"GSE137619",12,12,0,""
"GSE137702",16,16,0,""
"GSE137779",6,6,0,""
"GSE138053",25,25,0,""
"GSE138252",48,48,0,""
"GSE138309",6,6,0,""
"GSE138614",94,94,0,""
"GSE138691",27,27,0,""
"GSE138698",12,12,0,""
"GSE138730",16,16,0,""
"GSE139341",19,19,0,""
"GSE139370",6,6,0,""
"GSE139393",4,4,0,""
"GSE139546",16,16,0,""
"GSE139862",12,12,0,""
"GSE139963",11,11,0,""
"GSE140347",24,18,6,"GSM4159716,GSM4159717,GSM4159718,GSM4159719,GSM4159730,GSM4159733"
"GSE140714",6,6,0,""
"GSE140758",29,29,0,""
"GSE140900",23,23,0,""
"GSE141236",12,12,0,""
"GSE141535",8,8,0,""
"GSE141536",6,6,0,""
"GSE141585",12,12,0,""
"GSE141806",6,6,0,""
"GSE142000",13,13,0,""
"GSE142123",6,6,0,""
"GSE142381",11,11,0,""
"GSE142383",16,16,0,""
"GSE142556",6,6,0,""
"GSE142560",12,12,0,""
"GSE142582",15,15,0,""
"GSE142620",36,36,0,""
"GSE142706",9,9,0,""
"GSE143443",20,20,0,""
"GSE143782",36,36,0,""
"GSE143905",12,12,0,""
"GSE144269",122,122,0,""
"GSE144326",24,24,0,""
"GSE144378",18,18,0,""
"GSE144484",12,12,0,""
"GSE144775",606,602,4,"GSM4295477,GSM4295895,GSM4295896,GSM4295897"
"GSE145065",7,7,0,""
"GSE145085",8,8,0,""
"GSE145108",9,9,0,""
"GSE145154",73,73,0,""
"GSE145316",8,8,0,""
"GSE145356",25,25,0,""
"GSE145382",38,38,0,""
"GSE145560",15,7,8,"GSM4321495,GSM4321496,GSM4321500,GSM4321501,GSM4321502,GSM4321503,GSM4321504,GSM4321506"
"GSE145639",58,58,0,""
"GSE145746",16,16,0,""
"GSE145990",18,18,0,""
"GSE146096",499,492,7,"GSM4364944,GSM4364946,GSM4365028,GSM4365126,GSM4365128,GSM4365226,GSM4365227"
"GSE146547",6,6,0,""
"GSE146805",6,6,0,""
"GSE146982",24,24,0,""
"GSE147045",11,11,0,""
"GSE147093",6,6,0,""
"GSE147236",14,14,0,""
