cluster_id,study_id,categoria,etichetta
cgroup_L5_2e16719f,GSE139963,secondo agente solo nel trattato,"TRATTATO: 'Hypoxia + TGF-β1' | CONTROLLO: 'PBS (Vehicle Control)' (n=2 vs 3), a fronte di 'TGF-β1' contro lo stesso controllo nello stesso studio"
cgroup_L5_2e16719f,GSE199225,secondo agente solo nel trattato (EPS),"TRATTATO: 'PCOS EPS TGFB iHP10' | CONTROLLO: 'PCOS no treatment iHP10' (n=2 vs 5), a fronte di 'CTRL noEPS TGFB LC2' contro 'CTRL noEPS LC2' che porta il marcatore su entrambi i bracci"
cgroup_L5_2e16719f,GSE240476,secondo agente solo nel trattato (AR),"TRATTATO: 'Non-fibrotic tissue, TGFB+AR' | CONTROLLO: 'Non-fibrotic tissue, Vehicle' (n=3 vs 3)"
cgroup_L5_2e16719f,GSE210984,materiale diverso fra i bracci,"TRATTATO: 'MSC iPSC-derived TGF-β 21 days' | CONTROLLO: 'MSC Primary Culture Vehicle Only' (n=3 vs 3), a fronte di 'MSC Primary Culture TGF-β 14 days' contro lo stesso controllo"
cgroup_L5_2e16719f,GSE163241,passaggio di coltura non appaiato (dichiarato su entrambi i lati),"TRATTATO: 'UPCI-SCC-040 passage 13, TGF-β1 48h' | CONTROLLO: 'UPCI-SCC-040 passage 12, no TGF-β1 treatment (control)'"
cgroup_L5_2e16719f,GSE97358,etnia diversa fra i bracci in un disegno di trattamento (riga poolata DUE volte),"TRATTATO: 'TGFB1-treated (Chinese, M)' | CONTROLLO: 'Control (Malay, M)' — due righe distinte, n=3 vs 4 e n=7 vs 4"
cgroup_L5_2e16719f,GSE97358,etnia e sesso diversi fra i bracci in un disegno di trattamento,"TRATTATO: 'TGFB1-treated (Chinese, M)' | CONTROLLO: 'Control (Indian, F)' (n=2 vs 4), a fronte di 'TGFB1-treated (Malay, M)' contro 'Control (Malay, M)' e 'TGFB1-treated (Indian, M)' contro 'Control (Indian, M)'"
cgroup_L5_eb5e1e65,GSE198683,donatore diverso fra i bracci,TRATTATO «Dexamethasone (DonorID 3)» vs CONTROLLO «Control (DonorID 1)»
cgroup_L5_eb5e1e65,GSE99626,secondo agente solo nel trattato (E2),TRATTATO «T47D cells treated with E2 and Dexamethasone» vs CONTROLLO «T47D cells treated with Vehicle»
cgroup_L5_3a0a595f,GSE184427,modello PDX diverso fra i bracci,TRATTATO «LuCaP 147 Dasatinib» vs CONTROLLO «LuCaP 73 PBS Control»
cgroup_L5_ba4af011,GSE232305,genotipo diverso fra i bracci,TRATTATO «HCT116 P53 Null + irradiation» vs CONTROLLO «HCT116 + solvent»
cgroup_L5_c860712d,GSE101993,"materiale diverso fra i bracci (il controllo dichiara TESSUTO, il trattato una linea/sigla)",TRATTATO «CFHBE Cystic Fibrosis» vs CONTROLLO «Primary Human Bronchial Tissue»
cgroup_L5_a8015c98,GSE189764,"secondo agente solo nel trattato (Torin 1) — 1 studio, 2 entry",TRATTATO «MIA PaCa-2 cells treated with Gemcitabine (100 nM) and Torin 1 (100 nM)» vs CONTROLLO «Untreated MIA PaCa-2 cells» (e la gemella «... Gemcitabine and Torin 1» contro lo stesso controllo)
cgroup_L5_c548d053,GSE180693,secondo agente solo nel trattato,TRATTATO 'T3 and LPS 24h' vs CONTROLLO 'RPMI media 24h' (e 'T3 and LPS 4h' vs 'RPMI media 4h')
cgroup_L5_c548d053,GSE181851,secondo agente solo nel trattato,TRATTATO 'PW and LPS' vs CONTROLLO 'Untreated' (lo stesso studio pool a anche la coppia pulita 'LPS' vs 'Untreated')
cgroup_L5_c548d053,GSE97744,secondo agente solo nel trattato,TRATTATO 'Circulating macrophage + IFN-gamma and LPS' vs CONTROLLO 'Circulating macrophage untreated'
cgroup_L5_3ec58cd6,GSE205668,eta' non appaiata fra i bracci,TRATTATO 'Obese (Age ~18.44)' vs CONTROLLO 'Normal Weight (Age ~0.50)' (nello stesso studio l'altro confronto e' 'Obese (Age ~12.85)' vs 'Normal Weight (Age ~12.72)')
cgroup_L5_82f82010,GSE92724,sesso non appaiato fra i bracci,TRATTATO 'Diabetic Patient (Male)' vs CONTROLLO 'Healthy control (Female)'
cgroup_L5_83f57274,GSE134737,compartimento/materiale diverso fra i bracci,"TRATTATO ""hypoxia, T1D, disease model, neuron"" contro CONTROLLO ""T1D, polyA RNA, neurite"""
cgroup_L5_83f57274,GSE157371,marcatore di stato genetico scritto sul solo controllo,"TRATTATO ""RKO Hypoxia"" contro CONTROLLO ""RKO Normoxia SETX+"""
cgroup_L5_83f57274,GSE244754,marcatore di condizione (NT) scritto sul solo controllo,"TRATTATO ""DLD-1 BRD4_AID hypoxia"" contro CONTROLLO ""DLD-1 BRD4_AID NT normoxia"" (stessa forma per ""DLD-1 AFF1_AFF4_AID hypoxia 6h"" contro ""DLD-1 AFF1_AFF4_AID NT normoxia 6h"")"
cgroup_L5_83f57274,GSE269699,donatore diverso fra i bracci,"TRATTATO ""Hypoxia"" contro CONTROLLO ""Normoxia""; la riga [RIFERIMENTO] dello stesso confronto scrive ""Hypoxia (Donor 1)"" contro ""Normoxia (Control, Donor 2)"""
cgroup_L5_c3ae78cd,GSE193677,sede anatomica diversa fra i bracci,"TRATTATO ""CD_right_colon"" contro CONTROLLO ""Control_NonI_transverse_colon"""
cgroup_L5_522fa0c2,GSE138691,materiale diverso fra i bracci,"TRATTATO ""sALS PBMC"" contro CONTROLLO ""Control Whole Blood age 60"""
cgroup_L5_b71a25a2,GSE236168,secondo agente solo nel trattato,"TRATTATO 'JQ1 + compound 3b (1.5uM, 12h; 30uM, 48h)' vs CONTROLLO 'DMSO (48h)'"
cgroup_L5_5927750b,GSE266011,secondo agente solo nel trattato,TRATTATO 'SHP1705 (10 µM) + Carfilzomib (10 nM) for 24hr' vs CONTROLLO 'DMSO for 24hr' (identico a 8hr: 'SHP1705 (10 µM) + Carfilzomib (10 nM) for 8hr' vs 'DMSO for 8hr')
cgroup_L5_b2645a34,GSE217421,NON PROVATO — trattato ristretto a un donatore contro un pool di controllo non ristretto (l'etichetta non nomina il donatore del controllo),"TRATTATO 'Cetuximab-treated cardiac myocytes (MSN01)' (n=19) vs CONTROLLO 'DMSO-treated cardiac myocytes' (n=12), accanto nello stesso gruppo a CONTROLLO 'DMSO-treated MSN01 cardiac myocytes' (n=51)"
cgroup_L5_b2645a34,GSE162104,NON PROVATO — trattato selezionato per marcatore contro un controllo senza stratificazione dichiarata,TRATTATO 'Cetuximab treated (medium CD44v6 expression)' (n=3) vs CONTROLLO 'Primary colorectal cancer (control)' (n=2)
cgroup_L5_d6fad784,GSE86356,sede anatomica diversa fra i bracci,TRATTATO 'Bicep muscle DM1' vs CONTROLLO 'Quadriceps muscle Healthy'
cgroup_L5_d6fad784,GSE86356,sede anatomica diversa fra i bracci,TRATTATO 'Deltoid muscle DM1' vs CONTROLLO 'Quadriceps muscle Healthy'
cgroup_L5_d6fad784,GSE86356,sede anatomica diversa fra i bracci,TRATTATO 'Diaphragm muscle DM1' vs CONTROLLO 'Quadriceps muscle Healthy'
