"study_id","esito"
"GSE100574","identico"
"GSE100785","cambia_gruppo"
"GSE100855","campioni_diversi"
"GSE101216","campioni_diversi"
"GSE101868","identico"
"GSE101993","campioni_diversi"
"GSE102209","cambia_gruppo"
"GSE102505","campioni_diversi"
"GSE102674","campioni_diversi"
"GSE102677","campioni_diversi"
"GSE102812","cambia_gruppo"
"GSE102908","cambia_gruppo"
"GSE103147","cambia_gruppo"
"GSE103501","campioni_diversi"
"GSE103666","cambia_gruppo"
"GSE103930","campioni_diversi"
"GSE104178","solo_etichetta_riscritta"
"GSE104193","campioni_diversi"
"GSE104282","campioni_diversi"
"GSE104348","cambia_gruppo"
"GSE104462","cambia_gruppo"
"GSE104756","identico"
"GSE104766","cambia_gruppo"
"GSE104869","cambia_gruppo"
"GSE104872","campioni_diversi"
"GSE104917","campioni_diversi"
"GSE105041","cambia_gruppo"
"GSE105088","campioni_diversi"
"GSE105160","campioni_diversi"
"GSE105951","solo_etichetta_riscritta"
"GSE106148","identico"
"GSE106336","campioni_diversi"
"GSE106608","campioni_diversi"
"GSE106716","identico"
"GSE107638","campioni_diversi"
"GSE107781","cambia_gruppo"
"GSE108038","cambia_gruppo"
"GSE108177","campioni_diversi"
"GSE108308","solo_etichetta_riscritta"
"GSE108406","cambia_gruppo"
"GSE108621","identico"
"GSE108743","identico"
"GSE109062","identico"
"GSE109181","solo_etichetta_riscritta"
"GSE109313","campioni_diversi"
"GSE109484","identico"
"GSE109720","cambia_gruppo"
"GSE110041","cambia_gruppo"
"GSE110397","cambia_gruppo"
"GSE110709","cambia_gruppo"
"GSE110935","cambia_gruppo"
"GSE110947","cambia_gruppo"
"GSE111006","cambia_gruppo"
"GSE111009","campioni_diversi"
"GSE111010","cambia_gruppo"
"GSE111016","cambia_gruppo"
"GSE111379","solo_etichetta_riscritta"
"GSE112057","campioni_diversi"
"GSE112155","cambia_gruppo"
"GSE112202","identico"
"GSE112523","campioni_diversi"
"GSE112568","cambia_gruppo"
"GSE112983","cambia_gruppo"
"GSE113185","cambia_gruppo"
"GSE113210","campioni_diversi"
"GSE113524","campioni_diversi"
"GSE113604","campioni_diversi"
"GSE113685","campioni_diversi"
"GSE113711","campioni_diversi"
"GSE113753","cambia_gruppo"
"GSE113922","campioni_diversi"
"GSE114273","cambia_gruppo"
"GSE114284","solo_etichetta_riscritta"
"GSE114519","identico"
"GSE114686","campioni_diversi"
"GSE115193","identico"
"GSE115205","cambia_gruppo"
"GSE115311","campioni_diversi"
"GSE115421","campioni_diversi"
"GSE115514","cambia_gruppo"
"GSE115542","identico"
"GSE115650","campioni_diversi"
"GSE116282","identico"
"GSE116899","campioni_diversi"
"GSE116927","solo_etichetta_riscritta"
"GSE117313","identico"
"GSE117329","identico"
"GSE117405","identico"
"GSE117446","solo_etichetta_riscritta"
"GSE117610","campioni_diversi"
"GSE117620","cambia_gruppo"
"GSE117769","cambia_gruppo"
"GSE117875","cambia_gruppo"
"GSE117970","campioni_diversi"
"GSE118046","identico"
"GSE118152","cambia_gruppo"
"GSE118313","campioni_diversi"
"GSE118319","solo_etichetta_riscritta"
"GSE118548","campioni_diversi"
"GSE118566","identico"
"GSE118691","cambia_gruppo"
"GSE118928","identico"
"GSE119007","campioni_diversi"
"GSE119047","campioni_diversi"
"GSE119088","identico"
"GSE119606","campioni_diversi"
"GSE119978","cambia_gruppo"
"GSE120176","identico"
"GSE120178","campioni_diversi"
"GSE120523","cambia_gruppo"
"GSE120660","identico"
"GSE120663","identico"
"GSE120784","campioni_diversi"
"GSE120886","campioni_diversi"
"GSE120891","solo_etichetta_riscritta"
"GSE120904","campioni_diversi"
"GSE121105","cambia_gruppo"
"GSE121137","cambia_gruppo"
"GSE121155","campioni_diversi"
"GSE121376","campioni_diversi"
"GSE121445","identico"
"GSE122274","campioni_diversi"
"GSE122305","cambia_gruppo"
"GSE122409","campioni_diversi"
"GSE122649","campioni_diversi"
"GSE123018","identico"
"GSE123141","campioni_diversi"
"GSE123285","campioni_diversi"
"GSE123468","campioni_diversi"
"GSE123637","campioni_diversi"
"GSE123638","campioni_diversi"
"GSE123658","campioni_diversi"
"GSE123763","campioni_diversi"
"GSE123766","cambia_gruppo"
"GSE123807","cambia_gruppo"
"GSE124118","cambia_gruppo"
"GSE124450","solo_etichetta_riscritta"
"GSE124453","identico"
"GSE124622","campioni_diversi"
"GSE124704","campioni_diversi"
"GSE124841","cambia_gruppo"
"GSE124939","cambia_gruppo"
"GSE124979","identico"
"GSE125014","cambia_gruppo"
"GSE125066","cambia_gruppo"
"GSE125218","solo_etichetta_riscritta"
"GSE125245","campioni_diversi"
"GSE125342","identico"
"GSE125437","cambia_gruppo"
"GSE125518","solo_etichetta_riscritta"
"GSE125577","identico"
"GSE125583","campioni_diversi"
"GSE125866","campioni_diversi"
"GSE125933","cambia_gruppo"
"GSE126003","campioni_diversi"
"GSE126101","campioni_diversi"
"GSE126395","solo_etichetta_riscritta"
"GSE126409","campioni_diversi"
"GSE126517","campioni_diversi"
"GSE126750","campioni_diversi"
"GSE126775","campioni_diversi"
"GSE126848","campioni_diversi"
"GSE126964","campioni_diversi"
"GSE126998","identico"
"GSE128177","cambia_gruppo"
"GSE128328","campioni_diversi"
"GSE128420","campioni_diversi"
"GSE128728","campioni_diversi"
"GSE128940","solo_etichetta_riscritta"
"GSE129018","identico"
"GSE129071","cambia_gruppo"
"GSE129153","cambia_gruppo"
"GSE129210","cambia_gruppo"
"GSE129473","cambia_gruppo"
"GSE129942","identico"
"GSE130006","identico"
"GSE130226","campioni_diversi"
"GSE130246","campioni_diversi"
"GSE130247","cambia_gruppo"
"GSE130284","campioni_diversi"
"GSE130313","campioni_diversi"
"GSE130580","identico"
"GSE130664","identico"
"GSE130665","identico"
"GSE131099","campioni_diversi"
"GSE131300","cambia_gruppo"
