"ck","study_id","esito","n_a","n_r"
"CHEBI:102218||gain||vehicle_untreated","GSE162834","solo_A3",1,0
"CHEBI:102218||gain||vehicle_untreated","GSE189504","solo_A3",1,0
"CHEBI:102218||gain||vehicle_untreated","GSE204929","solo_A3",1,0
"CHEBI:114785||gain||vehicle_untreated","GSE114686","campioni_diversi",2,1
"CHEBI:114785||gain||vehicle_untreated","GSE132500","solo_A3",1,0
"CHEBI:114785||gain||vehicle_untreated","GSE217421","campioni_diversi",1,1
"CHEBI:114785||gain||vehicle_untreated","GSE244730","campioni_diversi",1,1
"CHEBI:114785||gain||vehicle_untreated","GSE249721","campioni_diversi",6,7
"CHEBI:114785||gain||vehicle_untreated","GSE65420","identico",2,2
"CHEBI:114785||gain||vehicle_untreated","GSE89127","identico",1,1
"CHEBI:124921||gain||vehicle_untreated","GSE164247","identico",1,1
"CHEBI:124921||gain||vehicle_untreated","GSE180067","campioni_diversi",1,1
"CHEBI:124921||gain||vehicle_untreated","GSE222376","solo_etichetta_riscritta",2,2
"CHEBI:124921||gain||vehicle_untreated","GSE235704","solo_A3",1,0
"CHEBI:124921||gain||vehicle_untreated","GSE240898","campioni_diversi",1,2
"CHEBI:124921||gain||vehicle_untreated","GSE247275","solo_A3",1,0
"CHEBI:137113||gain||vehicle_untreated","GSE113604","campioni_diversi",3,4
"CHEBI:137113||gain||vehicle_untreated","GSE113711","campioni_diversi",2,2
"CHEBI:137113||gain||vehicle_untreated","GSE118548","campioni_diversi",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE123285","campioni_diversi",2,1
"CHEBI:137113||gain||vehicle_untreated","GSE130313","campioni_diversi",2,2
"CHEBI:137113||gain||vehicle_untreated","GSE131099","campioni_diversi",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE131983","identico",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE147876","solo_A3",1,0
"CHEBI:137113||gain||vehicle_untreated","GSE158552","solo_A3",1,0
"CHEBI:137113||gain||vehicle_untreated","GSE186961","campioni_diversi",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE192903","solo_etichetta_riscritta",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE210101","campioni_diversi",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE210196","campioni_diversi",3,1
"CHEBI:137113||gain||vehicle_untreated","GSE231871","identico",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE235031","campioni_diversi",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE236168","solo_A3",1,0
"CHEBI:137113||gain||vehicle_untreated","GSE239585","campioni_diversi",2,2
"CHEBI:137113||gain||vehicle_untreated","GSE244754","solo_A3",2,0
"CHEBI:137113||gain||vehicle_untreated","GSE255300","solo_etichetta_riscritta",3,3
"CHEBI:137113||gain||vehicle_untreated","GSE55922","solo_etichetta_riscritta",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE74324","campioni_diversi",2,1
"CHEBI:137113||gain||vehicle_untreated","GSE80153","solo_etichetta_riscritta",3,3
"CHEBI:137113||gain||vehicle_untreated","GSE81405","solo_etichetta_riscritta",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE88750","identico",1,1
"CHEBI:137113||gain||vehicle_untreated","GSE92532","campioni_diversi",2,2
"CHEBI:145372||gain||vehicle_untreated","GSE180180","identico",1,1
"CHEBI:145372||gain||vehicle_untreated","GSE180181","identico",1,1
"CHEBI:145372||gain||vehicle_untreated","GSE227839","campioni_diversi",1,2
"CHEBI:145535||gain||vehicle_untreated","GSE171255","identico",1,1
"CHEBI:145535||gain||vehicle_untreated","GSE171260","campioni_diversi",1,1
"CHEBI:145535||gain||vehicle_untreated","GSE206428","solo_etichetta_riscritta",1,1
"CHEBI:15367||gain||vehicle_untreated","GSE100855","campioni_diversi",4,4
"CHEBI:15367||gain||vehicle_untreated","GSE166214","campioni_diversi",2,2
"CHEBI:15367||gain||vehicle_untreated","GSE179347","campioni_diversi",1,1
"CHEBI:15367||gain||vehicle_untreated","GSE69121","campioni_diversi",2,1
"CHEBI:15551||gain||vehicle_untreated","GSE163831","identico",1,1
"CHEBI:15551||gain||vehicle_untreated","GSE213691","campioni_diversi",2,1
"CHEBI:15551||gain||vehicle_untreated","GSE99392","solo_A3",1,0
"CHEBI:15738||gain||vehicle_untreated","GSE171543","identico",1,1
"CHEBI:15738||gain||vehicle_untreated","GSE171560","identico",1,1
"CHEBI:15738||gain||vehicle_untreated","GSE241595","identico",1,1
"CHEBI:15738||gain||vehicle_untreated","GSE251861","solo_A3",1,0
"CHEBI:16240||gain||vehicle_untreated","GSE126750","campioni_diversi",1,1
"CHEBI:16240||gain||vehicle_untreated","GSE130664","identico",1,1
"CHEBI:16240||gain||vehicle_untreated","GSE161860","solo_A3",1,0
"CHEBI:16240||gain||vehicle_untreated","GSE188458","campioni_diversi",3,3
"CHEBI:16240||gain||vehicle_untreated","GSE204781","identico",1,1
"CHEBI:16240||gain||vehicle_untreated","GSE222749","solo_etichetta_riscritta",1,1
"CHEBI:16240||gain||vehicle_untreated","GSE225095","solo_etichetta_riscritta",1,1
"CHEBI:16240||gain||vehicle_untreated","GSE227554","campioni_diversi",4,2
"CHEBI:16240||gain||vehicle_untreated","GSE60340","solo_A3",1,0
"CHEBI:16240||gain||vehicle_untreated","GSE75962","identico",1,1
"CHEBI:16330||gain||vehicle_untreated","GSE118152","solo_A3",1,0
"CHEBI:16330||gain||vehicle_untreated","GSE123763","campioni_diversi",1,2
"CHEBI:16330||gain||vehicle_untreated","GSE131726","solo_A3",1,0
