"cluster_id","ckey","study_id","tipo"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE102674","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE119606","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE122305","entrato"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE128940","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE134395","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE145746","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE148767","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE155832","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE163241","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE174490","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE178714","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE179347","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE191279","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE197132","entrato"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE199225","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE202714","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE204868","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE210984","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE220038","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE223682","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE225549","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE232640","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE245621","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE246391","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE248794","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE264288","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE49159","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE88757","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE96975","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE97358","etichette_cambiate"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE134298","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE134595","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE142417","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE161176","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE178518","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE247237","uscito"
"cgroup_L5_2e16719f","HGNC:11766||gain||vehicle_untreated","GSE252425","uscito"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE108177","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE140347","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE142381","entrato"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE155336","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE171073","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE175867","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE198670","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE216988","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE218060","etichette_cambiate"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE145639","uscito"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE217421","uscito"
"cgroup_L5_a32e5eaa","CHEBI:50131||gain||vehicle_untreated","GSE223688","uscito"
"cgroup_L5_4b901bf1","STR:psoriasis||gain||vehicle_untreated","GSE142582","etichette_cambiate"
"cgroup_L5_4b901bf1","STR:psoriasis||gain||vehicle_untreated","GSE150851","etichette_cambiate"
"cgroup_L5_bb8cb388","STR:endometriosis||gain||vehicle_untreated","GSE135485","etichette_cambiate"
"cgroup_L5_bb8cb388","STR:endometriosis||gain||vehicle_untreated","GSE153740","etichette_cambiate"
"cgroup_L5_bb8cb388","STR:endometriosis||gain||vehicle_untreated","GSE87809","etichette_cambiate"
"cgroup_L5_3824dc37","STR:nash||gain||vehicle_untreated","GSE147304","etichette_cambiate"
"cgroup_L5_3824dc37","STR:nash||gain||vehicle_untreated","GSE162694","entrato"
"cgroup_L5_3824dc37","STR:nash||gain||vehicle_untreated","GSE173735","uscito"
"cgroup_L5_a8ff7b6d","STR:atra||gain||vehicle_untreated","GSE142383","etichette_cambiate"
"cgroup_L5_a8ff7b6d","STR:atra||gain||vehicle_untreated","GSE175757","entrato"
"cgroup_L5_a8ff7b6d","STR:atra||gain||vehicle_untreated","GSE93996","uscito"
"cgroup_L5_cf34c533","CHEBI:46742||gain||vehicle_untreated","GSE108406","entrato"
"cgroup_L5_cf34c533","CHEBI:46742||gain||vehicle_untreated","GSE139862","etichette_cambiate"
"cgroup_L5_cf34c533","CHEBI:46742||gain||vehicle_untreated","GSE80716","entrato"
"cgroup_L5_cf34c533","CHEBI:46742||gain||vehicle_untreated","GSE59841","uscito"
"cgroup_L5_988d478d","STR:copd||gain||vehicle_untreated","GSE191279","entrato"
"cgroup_L5_988d478d","STR:copd||gain||vehicle_untreated","GSE268499","etichette_cambiate"
"cgroup_L5_988d478d","STR:copd||gain||vehicle_untreated","GSE57148","etichette_cambiate"
"cgroup_L5_988d478d","STR:copd||gain||vehicle_untreated","GSE178807","uscito"
"cgroup_L5_56d531e8","CHEBI:17154||gain||vehicle_untreated","GSE172494","etichette_cambiate"
"cgroup_L5_356eedd3","CHEBI:46024||gain||vehicle_untreated","GSE234148","etichette_cambiate"
"cgroup_L5_16525349","CHEBI:78543||gain||vehicle_untreated","GSE186341","etichette_cambiate"
"cgroup_L5_16525349","CHEBI:78543||gain||vehicle_untreated","GSE217421","etichette_cambiate"
"cgroup_L5_16525349","CHEBI:78543||gain||vehicle_untreated","GSE95079","etichette_cambiate"
"cgroup_L5_16525349","CHEBI:78543||gain||vehicle_untreated","GSE146096","uscito"
"cgroup_L5_c040a36d","MeSH:D002292||gain||vehicle_untreated","GSE126964","etichette_cambiate"
"cgroup_L5_c040a36d","MeSH:D002292||gain||vehicle_untreated","GSE252600","uscito"
"cgroup_L5_777adc83","STR:g007_lk||gain||vehicle_untreated","GSE123807","entrato"
"cgroup_L5_777adc83","STR:g007_lk||gain||vehicle_untreated","GSE162648","entrato"
"cgroup_L5_777adc83","STR:g007_lk||gain||vehicle_untreated","GSE220061","entrato"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE115311","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE129210","entrato"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE130226","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE132958","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE161021","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE161761","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE163548","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE186396","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE190181","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE190634","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE196243","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE202436","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE210522","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE211439","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE215039","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE215275","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE225274","entrato"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE226186","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE236122","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE246340","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE70068","etichette_cambiate"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE151854","uscito"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE159894","uscito"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE217421","uscito"
"cgroup_L5_d9e23e09","HGNC:11892||gain||vehicle_untreated","GSE95078","uscito"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE179347","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE198683","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE205890","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE207409","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE225901","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE237803","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE52778","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE56022","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE96649","etichette_cambiate"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE115514","uscito"
"cgroup_L5_eb5e1e65","CHEBI:41879||gain||vehicle_untreated","GSE221103","uscito"
"cgroup_L5_3a0a595f","CHEBI:49375||gain||vehicle_untreated","GSE151159","etichette_cambiate"
"cgroup_L5_3a0a595f","CHEBI:49375||gain||vehicle_untreated","GSE184427","etichette_cambiate"
"cgroup_L5_3a0a595f","CHEBI:49375||gain||vehicle_untreated","GSE186341","etichette_cambiate"
"cgroup_L5_3a0a595f","CHEBI:49375||gain||vehicle_untreated","GSE199800","entrato"
"cgroup_L5_3a0a595f","CHEBI:49375||gain||vehicle_untreated","GSE217421","etichette_cambiate"
