"study_id","esito"
"GSE100574","chiavi identiche"
"GSE100785","entra da fuori nel deliverable"
"GSE100855","chiavi identiche"
"GSE101216","chiavi identiche"
"GSE101868","chiavi identiche"
"GSE101993","chiavi identiche"
"GSE102209","entra da fuori nel deliverable"
"GSE102505","chiavi identiche"
"GSE102674","chiavi identiche"
"GSE102677","chiavi identiche"
"GSE103501","chiavi identiche"
"GSE103930","chiavi identiche"
"GSE104178","chiavi identiche"
"GSE104193","chiavi identiche"
"GSE104282","chiavi identiche"
"GSE104348","entra da fuori nel deliverable"
"GSE104756","chiavi identiche"
"GSE104869","cambia l'ENTITA'"
"GSE104872","chiavi identiche"
"GSE104917","chiavi identiche"
"GSE105088","chiavi identiche"
"GSE105160","chiavi identiche"
"GSE105951","chiavi identiche"
"GSE106148","chiavi identiche"
"GSE106336","chiavi identiche"
"GSE106608","chiavi identiche"
"GSE106716","chiavi identiche"
"GSE107638","chiavi identiche"
"GSE107781","entra da fuori nel deliverable"
"GSE108177","chiavi identiche"
"GSE108308","chiavi identiche"
"GSE108406","entra da fuori nel deliverable"
"GSE108621","chiavi identiche"
"GSE108743","chiavi identiche"
"GSE109062","chiavi identiche"
"GSE109181","chiavi identiche"
"GSE109313","chiavi identiche"
"GSE109484","chiavi identiche"
"GSE109720","entra da fuori nel deliverable"
"GSE110041","entra da fuori nel deliverable"
"GSE110397","entra da fuori nel deliverable"
"GSE110947","entra da fuori nel deliverable"
"GSE111009","chiavi identiche"
"GSE111379","chiavi identiche"
"GSE112057","chiavi identiche"
"GSE112202","chiavi identiche"
"GSE112523","chiavi identiche"
"GSE112983","entra da fuori nel deliverable"
"GSE113210","chiavi identiche"
"GSE113524","chiavi identiche"
"GSE113604","chiavi identiche"
"GSE113685","chiavi identiche"
"GSE113711","chiavi identiche"
"GSE113922","chiavi identiche"
"GSE114273","entra da fuori nel deliverable"
"GSE114284","chiavi identiche"
"GSE114519","chiavi identiche"
"GSE114686","solo chiavi nuove, nessuna persa"
"GSE115193","chiavi identiche"
"GSE115205","entra da fuori nel deliverable"
"GSE115311","chiavi identiche"
"GSE115421","chiavi identiche"
"GSE115542","chiavi identiche"
"GSE115650","chiavi identiche"
"GSE116282","chiavi identiche"
"GSE116899","chiavi identiche"
"GSE116927","chiavi identiche"
"GSE117313","chiavi identiche"
"GSE117329","chiavi identiche"
"GSE117405","chiavi identiche"
"GSE117446","chiavi identiche"
"GSE117610","chiavi identiche"
"GSE117620","entra da fuori nel deliverable"
"GSE117970","chiavi identiche"
"GSE118046","chiavi identiche"
"GSE118152","entra da fuori nel deliverable"
"GSE118313","chiavi identiche"
"GSE118319","chiavi identiche"
"GSE118548","chiavi identiche"
"GSE118566","chiavi identiche"
"GSE118928","chiavi identiche"
"GSE119007","chiavi identiche"
"GSE119047","chiavi identiche"
"GSE119088","chiavi identiche"
"GSE119606","chiavi identiche"
"GSE119978","entra da fuori nel deliverable"
"GSE120176","chiavi identiche"
"GSE120178","chiavi identiche"
"GSE120523","entra da fuori nel deliverable"
"GSE120660","chiavi identiche"
"GSE120663","chiavi identiche"
"GSE120784","chiavi identiche"
"GSE120886","chiavi identiche"
"GSE120891","chiavi identiche"
"GSE120904","chiavi identiche"
"GSE121105","entra da fuori nel deliverable"
"GSE121155","chiavi identiche"
"GSE121376","chiavi identiche"
"GSE121445","chiavi identiche"
"GSE122274","chiavi identiche"
"GSE122305","cambia l'ENTITA'"
"GSE122409","chiavi identiche"
"GSE122649","chiavi identiche"
"GSE123018","chiavi identiche"
"GSE123141","chiavi identiche"
"GSE123285","chiavi identiche"
"GSE123468","chiavi identiche"
"GSE123637","chiavi identiche"
"GSE123638","chiavi identiche"
"GSE123658","chiavi identiche"
"GSE123763","chiavi identiche"
"GSE123766","la chiave sparisce senza sostituta"
"GSE123807","entra da fuori nel deliverable"
"GSE124450","chiavi identiche"
"GSE124453","chiavi identiche"
"GSE124622","chiavi identiche"
"GSE124704","chiavi identiche"
"GSE124979","chiavi identiche"
"GSE125066","entra da fuori nel deliverable"
"GSE125218","chiavi identiche"
"GSE125245","chiavi identiche"
"GSE125342","chiavi identiche"
"GSE125518","chiavi identiche"
"GSE125577","chiavi identiche"
"GSE125583","chiavi identiche"
"GSE125866","chiavi identiche"
"GSE126003","chiavi identiche"
"GSE126101","chiavi identiche"
"GSE126395","chiavi identiche"
"GSE126409","chiavi identiche"
"GSE126517","chiavi identiche"
"GSE126750","la chiave sparisce senza sostituta"
"GSE126775","chiavi identiche"
"GSE126848","chiavi identiche"
"GSE126964","chiavi identiche"
"GSE126998","chiavi identiche"
"GSE128328","chiavi identiche"
"GSE128420","chiavi identiche"
"GSE128728","chiavi identiche"
"GSE128940","chiavi identiche"
"GSE129018","chiavi identiche"
"GSE129210","entra da fuori nel deliverable"
"GSE129942","chiavi identiche"
"GSE130006","chiavi identiche"
"GSE130226","chiavi identiche"
"GSE130246","chiavi identiche"
"GSE130284","chiavi identiche"
"GSE130313","chiavi identiche"
"GSE130580","chiavi identiche"
"GSE130664","chiavi identiche"
"GSE130665","chiavi identiche"
"GSE131099","chiavi identiche"
"GSE131300","entra da fuori nel deliverable"
"GSE131525","entra da fuori nel deliverable"
"GSE131526","chiavi identiche"
"GSE131605","chiavi identiche"
"GSE131726","entra da fuori nel deliverable"
"GSE131983","chiavi identiche"
"GSE131998","chiavi identiche"
"GSE132270","chiavi identiche"
"GSE132500","entra da fuori nel deliverable"
"GSE132689","chiavi identiche"
"GSE132782","entra da fuori nel deliverable"
"GSE132958","chiavi identiche"
"GSE133003","chiavi identiche"
"GSE133101","chiavi identiche"
"GSE133567","chiavi identiche"
"GSE133737","chiavi identiche"
"GSE133876","chiavi identiche"
"GSE134045","chiavi identiche"
"GSE134395","chiavi identiche"
"GSE134422","chiavi identiche"
"GSE134497","chiavi identiche"
"GSE134580","chiavi identiche"
"GSE134737","chiavi identiche"
"GSE134817","entra da fuori nel deliverable"
"GSE134896","chiavi identiche"
"GSE135215","entra da fuori nel deliverable"
"GSE135251","chiavi identiche"
"GSE135458","chiavi identiche"
"GSE135485","chiavi identiche"
"GSE135514","chiavi identiche"
"GSE135640","chiavi identiche"
"GSE135879","chiavi identiche"
"GSE136272","chiavi identiche"
"GSE136371","chiavi identiche"
"GSE136534","chiavi identiche"
"GSE136725","chiavi identiche"
"GSE137056","chiavi identiche"
"GSE137200","chiavi identiche"
"GSE137619","chiavi identiche"
"GSE137702","entra da fuori nel deliverable"
"GSE137779","chiavi identiche"
"GSE138053","chiavi identiche"
"GSE138252","entra da fuori nel deliverable"
"GSE138309","chiavi identiche"
"GSE138614","chiavi identiche"
"GSE138691","entra da fuori nel deliverable"
"GSE138698","chiavi identiche"
