"cluster_id","study_id","entity","cls","etichetta_trattato","etichetta_controllo","verdetto_regola","accusato"
"cgroup_L5_004d293d","GSE114686","CHEBI:49603","drug","Lapatinib 1 µM 24h","DMSO 0.001 µM 24h","",FALSE
"cgroup_L5_004d293d","GSE114686","CHEBI:49603","drug","Lapatinib 3 µM 6h","DMSO 0.001 µM 6h","",FALSE
"cgroup_L5_004d293d","GSE114686","CHEBI:49603","drug","Lapatinib 3 µM 72h","DMSO 0.001 µM 72h","",FALSE
"cgroup_L5_004d293d","GSE146096","CHEBI:49603","drug","Lapatinib 2uM 48h","Vehicle Control","",FALSE
"cgroup_L5_004d293d","GSE186341","CHEBI:49603","drug","AsPC-1 + Lapatinib 2.5 µM 24h","AsPC-1 + UNTREATED","",FALSE
"cgroup_L5_004d293d","GSE186341","CHEBI:49603","drug","HCC1143 cells treated with Lapatinib","HCC1143 cells untreated","",FALSE
"cgroup_L5_004d293d","GSE186341","CHEBI:49603","drug","HF2597 Lapatinib","HF2597 DMSO","",FALSE
"cgroup_L5_004d293d","GSE186341","CHEBI:49603","drug","NCI-H1793_Lapatinib","NCI-H1793_Untreated","",FALSE
"cgroup_L5_004d293d","GSE186341","CHEBI:49603","drug","PANC-1_Lapatinib","PANC-1_Untreated","",FALSE
"cgroup_L5_004d293d","GSE217421","CHEBI:49603","drug","Lapatinib-treated cardiac myocytes","DMSO-treated cardiac myocytes","",FALSE
"cgroup_L5_004d293d","GSE217421","CHEBI:49603","drug","Lapatinib-treated cardiac myocytes","DMSO-treated cardiac myocytes","",FALSE
"cgroup_L5_004d293d","GSE217421","CHEBI:49603","drug","Lapatinib-treated cardiac myocytes","DMSO-treated cardiac myocytes","",FALSE
"cgroup_L5_004d293d","GSE217898","CHEBI:49603","drug","Primary aorta endothelial cells, Lapatinib, 72h","Primary aorta endothelial cells, DMSO, 72h","",FALSE
"cgroup_L5_004d293d","GSE217898","CHEBI:49603","drug","Primary aorta endothelial cells, Lapatinib, 24h","Primary aorta endothelial cells, DMSO, 24h","",FALSE
"cgroup_L5_004d293d","GSE237413","CHEBI:49603","drug","Lapatinib-treated SKBR3 (5 replicates)","Untreated SKBR3","",FALSE
"cgroup_L5_004d293d","GSE89127","CHEBI:49603","drug","N87 Lapatinib 100nM 48h","N87 DMSO 0.1% 48h","",FALSE
"cgroup_L5_021e875e","GSE119978","CHEBI:27899","drug","H358 Cisplatin","H358 Vehicle (DMSO)","",FALSE
"cgroup_L5_021e875e","GSE145085","CHEBI:27899","drug","Kidney Organoids Treated with Cisplatin","Untreated Kidney Organoids","",FALSE
"cgroup_L5_021e875e","GSE157069","CHEBI:27899","drug","cisplatin","vehicle","",FALSE
"cgroup_L5_021e875e","GSE161800","CHEBI:27899","drug","Cisplatin-treated Proliferative Cells (Sample 2)","Untreated Control","",TRUE
"cgroup_L5_021e875e","GSE163377","CHEBI:27899","drug","CDDP 50uM 10h","Untreated 10h","",FALSE
"cgroup_L5_021e875e","GSE165767","CHEBI:27899","drug","T24 + cisplatin","T24 + PBS","",FALSE
"cgroup_L5_021e875e","GSE173201","CHEBI:27899","drug","A2780 cells treated with cisplatin","A2780 cells treated with vehicle control","",FALSE
"cgroup_L5_021e875e","GSE173201","CHEBI:27899","drug","A2780cis cells treated with cisplatin","A2780cis cells treated with vehicle control","",FALSE
"cgroup_L5_021e875e","GSE209769","CHEBI:27899","drug","A375 cells treated with cisplatin","A375 cells with normal culture","",FALSE
"cgroup_L5_021e875e","GSE213102","CHEBI:27899","drug","3B1A Cisplatin","3B1A Control","",FALSE
"cgroup_L5_021e875e","GSE213102","CHEBI:27899","drug","A549 Cisplatin","A549 Control","",FALSE
"cgroup_L5_021e875e","GSE213102","CHEBI:27899","drug","H1299 Cisplatin","H1299 Control","",FALSE
"cgroup_L5_021e875e","GSE213102","CHEBI:27899","drug","H1573 Cisplatin","H1573 Control","",FALSE
"cgroup_L5_021e875e","GSE215254","CHEBI:27899","drug","Cisplatin 3D 4h","Vehicle 3D 4h","",FALSE
"cgroup_L5_021e875e","GSE215254","CHEBI:27899","drug","Cisplatin 3D 4h","Vehicle 3D 4h","",FALSE
"cgroup_L5_021e875e","GSE215254","CHEBI:27899","drug","Cisplatin 3D 48h","Vehicle 3D 48h","",FALSE
"cgroup_L5_021e875e","GSE223839","CHEBI:27899","drug","HepG2 + Cisplatin (3.125 uM) + RTD Overexpression","HepG2 RTD Overexpression","",FALSE
"cgroup_L5_021e875e","GSE235549","CHEBI:27899","drug","Cisplatin 0 days","Vehicle","",FALSE
"cgroup_L5_021e875e","GSE235549","CHEBI:27899","drug","Cisplatin 5 days","Vehicle","",FALSE
"cgroup_L5_021e875e","GSE235681","CHEBI:27899","drug","A549 cells treated with cisplatin","A549 cells untreated","",FALSE
"cgroup_L5_021e875e","GSE235681","CHEBI:27899","drug","GM12878 cells treated with cisplatin","GM12878 cells untreated","",FALSE
"cgroup_L5_021e875e","GSE235908","CHEBI:27899","drug","786-0 Cisplatin","786-0 Vehicle","",FALSE
"cgroup_L5_021e875e","GSE249026","CHEBI:27899","drug","A2780 + Cisplatin","A2780 + DMSO","",FALSE
"cgroup_L5_021e875e","GSE264575","CHEBI:27899","drug","Cisplatin","Control","",FALSE
"cgroup_L5_021e875e","GSE264575","CHEBI:27899","drug","Cisplatin (luciferase)","Control (luciferase)","",FALSE
"cgroup_L5_03b38818","GSE145990","CHEBI:63637","drug","Vemurafenib","DMSO","",FALSE
"cgroup_L5_03b38818","GSE152699","CHEBI:63637","drug","A375s Vemurafenib","A375s untreated","",FALSE
"cgroup_L5_03b38818","GSE188469","CHEBI:63637","drug","MaMel63a, Vemurafenib, 24h","MaMel63a, DMSO, 24h","",FALSE
"cgroup_L5_03b38818","GSE209769","CHEBI:63637","drug","A375 cells treated with vemurafenib","A375 cells with normal culture","",FALSE
"cgroup_L5_03b38818","GSE217423","CHEBI:63637","drug","Cardiac myocytes treated with Vemurafenib","Cardiac myocytes treated with DMSO","",FALSE
"cgroup_L5_03d0ca7b","GSE112202","CHEBI:4551","drug","Follicular thyroid cancer - oncocytic variant + Digoxin","Follicular thyroid cancer - oncocytic variant + None","",FALSE
"cgroup_L5_03d0ca7b","GSE112202","CHEBI:4551","drug","Papillary thyroid cancer + Digoxin","Papillary thyroid cancer + None","",FALSE
"cgroup_L5_03d0ca7b","GSE112202","CHEBI:4551","drug","Papillary thyroid cancer (TERT mutant) + Digoxin","Papillary thyroid cancer (TERT mutant)","",FALSE
"cgroup_L5_03d0ca7b","GSE115542","CHEBI:4551","drug","Medulloblastoma brain tissue treated with digoxin","Untreated medulloblastoma brain tissue","",FALSE
"cgroup_L5_03d0ca7b","GSE262030","CHEBI:4551","drug","Digoxin (2 hr)","Vehicle Control (2 hr)","",FALSE
"cgroup_L5_03d0ca7b","GSE262030","CHEBI:4551","drug","Digoxin (24 hr)","Vehicle Control (24 hr)","",FALSE
"cgroup_L5_05322ba1","GSE180243","CHEBI:71019","drug","Homoharringtonine 1µM","Control","",FALSE
"cgroup_L5_05322ba1","GSE180243","CHEBI:71019","drug","Homoharringtonine 5µM","Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","Hep3B Homoharringtonine","Hep3B Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","HepG2 Homoharringtonine 1uM","HepG2 Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","HepG2 Homoharringtonine 10uM","HepG2 Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","HepG2 Homoharringtonine 100nM","HepG2 Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","Huh6 Homoharringtonine","Huh6 Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","Huh7 Homoharringtonine","Huh7 Control","",FALSE
"cgroup_L5_05322ba1","GSE193897","CHEBI:71019","drug","PLC Homoharringtonine","PLC Control","",FALSE
"cgroup_L5_05322ba1","GSE252740","CHEBI:71019","drug","Transgene Stable Homoharringtonine","Transgene Stable Control","",FALSE
"cgroup_L5_06ff1592","GSE158674","CHEBI:5118","drug","GBM39 cells treated with Fluoxetine (2 replicates)","GBM39 cells treated with DMSO (2 replicates)","",FALSE
"cgroup_L5_06ff1592","GSE200209","CHEBI:5118","drug","Fluoxetine 20µM","Control","",FALSE
"cgroup_L5_06ff1592","GSE224715","CHEBI:5118","drug","Fluoxetine Day3","PBS Day3","",FALSE
"cgroup_L5_089ccae5","GSE123637","CHEBI:52717","drug","MM.1S in vitro treated with Bortezomib","MM.1S in vitro treated with PBS","",FALSE
"cgroup_L5_089ccae5","GSE123638","CHEBI:52717","drug","Bortezomib, shPSMD2","DMSO, shPSMD2","",FALSE
"cgroup_L5_089ccae5","GSE123638","CHEBI:52717","drug","Bortezomib, uninduced shPSMD2","DMSO, uninduced shPSMD2","",FALSE
"cgroup_L5_089ccae5","GSE136725","CHEBI:52717","drug","Bortezomib-treated MM1.S","Untreated MM1.S","",FALSE
"cgroup_L5_089ccae5","GSE217898","CHEBI:52717","drug","Primary aorta endothelial cells, Bortezomib, 24h","Primary aorta endothelial cells, DMSO, 24h","",FALSE
"cgroup_L5_089ccae5","GSE217898","CHEBI:52717","drug","Primary aorta endothelial cells, Bortezomib, 72h","Primary aorta endothelial cells, DMSO, 72h","",FALSE
"cgroup_L5_0dd60753","GSE157214","CHEBI:233362","drug","abemaciclib","DMSO","",FALSE
"cgroup_L5_0dd60753","GSE194374","CHEBI:233362","drug","A673 cells treated with LY2835219 for 3 hours","A673 cells untreated","",FALSE
"cgroup_L5_0dd60753","GSE194374","CHEBI:233362","drug","A673 cells treated with LY2835219 for 6 hours","A673 cells untreated","",FALSE
"cgroup_L5_0dd60753","GSE194374","CHEBI:233362","drug","U2OS cells with EWS-FLI1 fusion protein treated with LY2835219 for 3 hours","U2OS cells with EWS-FLI1 fusion protein untreated","",FALSE
"cgroup_L5_0dd60753","GSE232072","CHEBI:233362","drug","U2OS mCherry-EWS-FLI1 LY2835219 24h","U2OS mCherry-EWS-FLI1 untreated","",FALSE
"cgroup_L5_0e66597e","GSE123285","CHEBI:31638","drug","MCF7 + Fulvestrant (10 nM)","MCF7 + DMSO Vehicle","",FALSE
"cgroup_L5_0e66597e","GSE123285","CHEBI:31638","drug","MCF7 + Fulvestrant (10 nM)","MCF7 + DMSO Vehicle","",FALSE
"cgroup_L5_0e66597e","GSE140758","CHEBI:31638","drug","Fulvestrant 5 mg/body PDX","Vehicle (2% DMSO) PDX","",FALSE
"cgroup_L5_0e66597e","GSE140758","CHEBI:31638","drug","Fulvestrant 0.1nM MCF-7 Disease Model","Vehicle (0.01% DMSO) MCF-7 Disease Model","",FALSE
"cgroup_L5_0e66597e","GSE154058","CHEBI:31638","drug","Fulvestrant 30nM","Untreated (DMSO)","",FALSE
"cgroup_L5_0e66597e","GSE154058","CHEBI:31638","drug","Fulvestrant 300nM","Untreated (DMSO)","",FALSE
"cgroup_L5_0e66597e","GSE184156","CHEBI:31638","drug","MCF7-ESR1Y537S + Fulvestrant","MCF7-ESR1Y537S + Vehicle","",FALSE
"cgroup_L5_0e66597e","GSE213481","CHEBI:31638","drug","Fulvestrant","DMSO","",FALSE
"cgroup_L5_0e66597e","GSE214052","CHEBI:31638","drug","MCF7 wildtype Fulvestrant 6h","MCF7 wildtype DMSO 6h","",FALSE
"cgroup_L5_0e66597e","GSE214052","CHEBI:31638","drug","MCF7 RELA KO1 Fulvestrant 6h","MCF7 RELA KO1 DMSO 6h","",FALSE
"cgroup_L5_0e66597e","GSE216540","CHEBI:31638","drug","PDO #28 + Fulvestrant","PDO #28 + DMSO","",FALSE
"cgroup_L5_0e66597e","GSE216540","CHEBI:31638","drug","PDO #30 + Fulvestrant","PDO #30 + DMSO","",FALSE
"cgroup_L5_0e66597e","GSE216540","CHEBI:31638","drug","PDO #46 + Fulvestrant","PDO #46 + DMSO","",FALSE
"cgroup_L5_0e66597e","GSE231397","CHEBI:31638","drug","Fulvestrant + E2","DMSO","",TRUE
"cgroup_L5_0e66597e","GSE266932","CHEBI:31638","drug","MCF7 cells treated with Fulvestrant","MCF7 cells treated with Vehicle (DMSO)","",FALSE
"cgroup_L5_0e66597e","GSE266932","CHEBI:31638","drug","MCF7 Y537S mutant ER cells treated with Fulvestrant","MCF7 Y537S mutant ER cells treated with Vehicle (DMSO)","",FALSE
"cgroup_L5_12212e41","GSE137619","STR:multiple_sclerosis","disease","MS Case Donor 1","Healthy Control","",FALSE
"cgroup_L5_12212e41","GSE137619","STR:multiple_sclerosis","disease","MS Case Donor 2","Healthy Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS1","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS10","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS3","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS4","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS5","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS6","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS6","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS7","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS8","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE138614","STR:multiple_sclerosis","disease","MS9","C1_Control","",FALSE
"cgroup_L5_12212e41","GSE159225","STR:multiple_sclerosis","disease","MS Case","Healthy Control","",FALSE
"cgroup_L5_12212e41","GSE173789","STR:multiple_sclerosis","disease","CD19+ B cells from MS patients","Multiple healthy control CD19+ B cells","",FALSE
"cgroup_L5_12212e41","GSE180760","STR:multiple_sclerosis","disease","MS DCs","Healthy DCs","",FALSE
"cgroup_L5_12212e41","GSE250037","STR:multiple_sclerosis","disease","Multiple Sclerosis Patients","Healthy Controls","",FALSE
"cgroup_L5_12212e41","GSE89843","STR:multiple_sclerosis","disease","Multiple Sclerosis (blood)","Healthy Control (none)","",FALSE
"cgroup_L5_12228932","GSE106716","HGNC:3229","genetic","SYK-KO + EGF","SYK-KO","",FALSE
"cgroup_L5_12228932","GSE106716","HGNC:3229","genetic","SYK-WT + EGF","SYK-WT","",FALSE
"cgroup_L5_12228932","GSE152409","HGNC:3229","genetic","EGF 24h","PBS 24h","",FALSE
"cgroup_L5_12228932","GSE152409","HGNC:3229","genetic","EGF 48h","PBS 48h","",FALSE
"cgroup_L5_12228932","GSE226358","HGNC:3229","genetic","HAoSMC EGF","HAoSMC Control","",FALSE
"cgroup_L5_12228932","GSE226358","HGNC:3229","genetic","HCASMC EGF","HCASMC Control","",FALSE
"cgroup_L5_12228932","GSE247637","HGNC:3229","genetic","EGF (60 min) + NTC-siRNA","PBS + NTC-siRNA","",FALSE
"cgroup_L5_12228932","GSE247637","HGNC:3229","genetic","EGF (30 min) + NTC-siRNA","PBS + NTC-siRNA","",FALSE
"cgroup_L5_12228932","GSE254479","HGNC:3229","genetic","EGF alone","Starvation control","",FALSE
"cgroup_L5_12228932","GSE269441","HGNC:3229","genetic","EGF stimulated","Vehicle control","",FALSE
"cgroup_L5_16525349","GSE186341","CHEBI:78543","drug","HF2597 Ponatinib","HF2597 DMSO","",FALSE
"cgroup_L5_16525349","GSE186341","CHEBI:78543","drug","LNCaP cells treated with Ponatinib","LNCaP cells treated with DMSO","",FALSE
"cgroup_L5_16525349","GSE186341","CHEBI:78543","drug","NCI-H1793_Ponatinib","NCI-H1793_Untreated","",FALSE
"cgroup_L5_16525349","GSE217421","CHEBI:78543","drug","Ponatinib-treated cardiac myocytes","DMSO-treated cardiac myocytes","",FALSE
"cgroup_L5_16525349","GSE95079","CHEBI:78543","drug","Ponatinib","DMSO","",FALSE
"cgroup_L5_17b35bdc","GSE162285","CHEBI:4672","drug","HCI003 docetaxel","HCI003 vehicle","",FALSE
"cgroup_L5_17b35bdc","GSE162285","CHEBI:4672","drug","HCI011 docetaxel","HCI011 vehicle (negative control)","",FALSE
"cgroup_L5_17b35bdc","GSE162285","CHEBI:4672","drug","MDAMB231 xenograft docetaxel","MDAMB231 xenograft vehicle (negative control)","",FALSE
"cgroup_L5_17b35bdc","GSE162285","CHEBI:4672","drug","PM154 docetaxel-persister","PM154 vehicle (negative control)","",FALSE
"cgroup_L5_17b35bdc","GSE184427","CHEBI:4672","drug","LuCaP 78 + Docetaxel","LuCaP 78 PBS Control","",FALSE
"cgroup_L5_17b35bdc","GSE202682","CHEBI:4672","drug","Docetaxel Treated","Control (Vehicle)","",FALSE
"cgroup_L5_17b35bdc","GSE202682","CHEBI:4672","drug","Docetaxel Treated","Control (Vehicle)","",FALSE
"cgroup_L5_17b55386","GSE115650","STR:fshd","disease","FSHD male age 25","Control","",FALSE
"cgroup_L5_17b55386","GSE115650","STR:fshd","disease","FSHD male age 59","Control","",FALSE
"cgroup_L5_17b55386","GSE123468","STR:fshd","disease","FSHD","Control","",FALSE
"cgroup_L5_17b55386","GSE254310","STR:fshd","disease","AB1080 FSHD myotubes","AB1190 healthy myotubes","",FALSE
"cgroup_L5_1bbf4b9b","GSE121445","MeSH:D013274","disease","Gastric Cancer Tissue","Adjacent Normal Stomach Tissue","",FALSE
