"study_id","entita","da","a"
"GSE108038","COMBO:ab42+il4","vehicle_untreated","ctrl"
"GSE108038","HGNC:6014","vehicle_untreated","ctrl"
"GSE108038","STR:kyna","vehicle_untreated","ctrl"
"GSE110709","CHEBI:95077","vehicle_untreated","mycn amplified;vehicle_untreated"
"GSE111006","STR:sarcopenia","vehicle_untreated","non sarcopenic"
"GSE111016","STR:sarcopenia","vehicle_untreated","non sarcopenic"
"GSE113185","COMBO:il-6+sil-6r","vehicle_untreated","non stimulated;vehicle_untreated"
"GSE113185","COMBO:il-6+jak1 inhibitor+sil-6r","vehicle_untreated","il sil r"
"GSE113185","COMBO:il-13+il-4","vehicle_untreated","non stimulated"
"GSE113185","HGNC:6018","vehicle_untreated","non stimulated"
"GSE117875","MeSH:D003424","adolescent+vehicle_untreated;adult+vehicle_untreated;vehicle_untreated","adult+vehicle_untreated;vehicle_untreated"
"GSE125014","CHEBI:16330","vehicle_untreated","unknown+vehicle_untreated"
"GSE135527","CHEBI:230500","vehicle_untreated","n a+vehicle_untreated"
"GSE135753","CHEBI:16412","vehicle_untreated","non targeting"
"GSE140702","CHEBI:16412","vehicle_untreated","nt"
"GSE140702","CHEBI:73572","vehicle_untreated","nt"
"GSE145505","STR:lw_ha","atopic","vehicle_untreated"
"GSE145505","STR:lw_la","atopic","vehicle_untreated"
"GSE145505","STR:mw_la","atopic","vehicle_untreated"
"GSE145505","STR:tw_la","atopic","vehicle_untreated"
"GSE155918","STR:gard","vehicle_untreated","nc"
"GSE155918","CHEBI:16412","vehicle_untreated","nc"
"GSE159984","CHEBI:4167","vehicle_untreated","unknown+vehicle_untreated"
"GSE159984","COMBO:glucose+palmitate","vehicle_untreated","unknown+vehicle_untreated"
"GSE159984","CHEBI:7896","vehicle_untreated","unknown+vehicle_untreated"
"GSE161176","HGNC:11766","vehicle_untreated","day+vehicle_untreated;day+vehicle_untreated_ownbase;vehicle_untreated;vehicle_untreated_ownbase"
"GSE169241","NCBITaxon:2697049","vehicle_untreated","unknown"
"GSE179354","COMBO:ifng+il17a","fp;vehicle_untreated","vehicle_untreated"
"GSE179354","COMBO:ifng+tnf","fp","vehicle_untreated"
"GSE179354","COMBO:ifng+tnfa","ifng","vehicle_untreated"
"GSE179354","HGNC:11892","fp","vehicle_untreated"
"GSE179354","HGNC:5438","fp;vehicle_untreated","vehicle_untreated"
"GSE179354","HGNC:5981","fp;vehicle_untreated","vehicle_untreated"
"GSE180233","COMBO:gskj4+tnflt","vehicle_untreated","gskj;tnflt"
"GSE180233","CHEBI:95077","vehicle_untreated","tnflt"
"GSE182955","HGNC:6014","vehicle_untreated","air liquid interface"
"GSE183850","NCBITaxon:2697049","vehicle_untreated","vehicle_untreated_clin"
"GSE190850","NCBITaxon:1773","activated+vehicle_untreated;vaccination only;vehicle_untreated","vehicle_untreated"
"GSE195919","STR:radiation","vehicle_untreated","ut"
"GSE195919","STR:lcl_521","vehicle_untreated","ut"
"GSE195919","STR:8_gy_radiation","vehicle_untreated","ut"
"GSE195919","STR:8_gy_radiation_lcl_521","vehicle_untreated","ut"
"GSE198449","STR:initial_outbreak","later surveillance+vehicle_untreated","later surveillance+uninfected"
"GSE208405","CHEBI:4031","vehicle_untreated;vehicle_untreated_ownbase","vehicle_untreated_ownbase"
"GSE221860","STR:vegf","vehicle_untreated","control sirna"
"GSE225206","CHEBI:379896","vehicle_untreated","without r"
"GSE233425","STR:hypoxia","normoxia","vehicle_untreated"
"GSE240567","STR:asthmatic","vehicle_untreated","not asthmatic"
"GSE242759","CHEBI:29073","vehicle_untreated","ctrl"
"GSE247237","HGNC:11766","vehicle_untreated","macromolecular crowding model"
"GSE247237","STR:macromolecular_crowding_model_dhacm","vehicle_untreated","macromolecular crowding model"
"GSE252425","COMBO:adropin34-76+tgfbeta","vehicle_untreated","tgfbeta;vehicle_untreated"
"GSE256492","STR:arteriovenous_malformations","vehicle_untreated","tl patient+vehicle_untreated"
"GSE256492","MeSH:D009362","vehicle_untreated","tl patient+vehicle_untreated"
"GSE267662","STR:hypoxia","vehicle_untreated","normoxia"
"GSE59275","HGNC:6014","vehicle_untreated","not applicable+vehicle_untreated"
"GSE59275","COMBO:il-4+stat6","il","control sirna il"
"GSE66539","CHEBI:63637","pre treatment_ownbase;vehicle_untreated","pre treatment;pre treatment_ownbase"
"GSE76404","CHEBI:16412","vehicle_untreated","vehicle_untreated_ownbase"
"GSE92852","CHEBI:16412","vehicle_untreated","undiff"
"GSE92852","CHEMBL:CHEMBL4297771","vehicle_untreated","undiff"
"GSE98431","CHEBI:38940","vehicle_untreated","n a+vehicle_untreated"
"GSE98431","CHEBI:50924","vehicle_untreated","n a+vehicle_untreated"
