"study_id","esito"
"GSE102812","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE102908","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE103147","cambia l'ENTITA' anche in Stadio 3"
"GSE103666","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE104462","sparisce dai cluster del contrasto"
"GSE104766","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE105041","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE108038","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE110709","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE110935","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE111006","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE111010","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE111016","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE112155","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE112568","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE113185","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE113753","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE115514","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE117769","sparisce dai cluster del contrasto"
"GSE117875","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE118691","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE121137","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE124118","cambia l'ENTITA' anche in Stadio 3"
"GSE124841","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE124939","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE125014","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE125437","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE125933","sparisce dai cluster del contrasto"
"GSE128177","cambia l'ENTITA' anche in Stadio 3"
"GSE129071","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE129153","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE129473","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE130247","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE131320","sparisce dai cluster del contrasto"
"GSE131732","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE133039","cambia l'ENTITA' anche in Stadio 3"
"GSE133087","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE133684","sparisce dai cluster del contrasto"
"GSE134298","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE134595","sparisce dai cluster del contrasto"
"GSE135055","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE135527","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE135753","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE135870","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE137297","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE137344","sparisce dai cluster del contrasto"
"GSE137644","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE138082","sparisce dai cluster del contrasto"
"GSE138209","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE138780","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE139003","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE139179","sparisce dai cluster del contrasto"
"GSE139233","cambia l'ENTITA' anche in Stadio 3"
"GSE140089","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE140702","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE142417","sparisce dai cluster del contrasto"
"GSE143588","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE143982","sparisce dai cluster del contrasto"
"GSE144852","sparisce dai cluster del contrasto"
"GSE145141","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE145505","stessa entita', cambia il TIPO DI CONTROLLO"
"GSE145842","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE145896","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE146095","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE147283","cambia l'ENTITA' anche in Stadio 3"
"GSE147493","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE148656","sparisce dai cluster del contrasto"
"GSE148806","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE148862","sparisce dai cluster del contrasto"
"GSE148919","sparisce dai cluster del contrasto"
"GSE151610","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE151631","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE151854","sparisce dai cluster del contrasto"
"GSE152705","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE152816","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE153277","sparisce dai cluster del contrasto"
"GSE153659","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE154339","sparisce dai cluster del contrasto"
"GSE154926","cambia l'ENTITA' anche in Stadio 3"
"GSE155498","stessa chiave in Stadio 3: esce per il gate (k o n_min)"
"GSE155918","stessa entita', cambia il TIPO DI CONTROLLO"
