series_id	n_total	n_sc	frac_sc
GSE270928	5552	5552	1
GSE267774	3011	3011	1
GSE224449	1876	1876	1
GSE212782,GSE212786	1728	1728	1
GSE225331	1238	1238	1
GSE237817	1004	1004	1
GSE270484	935	935	1
GSE207824	925	925	1
GSE269792	854	854	1
GSE207802	838	838	1
GSE201339	768	768	1
GSE239582,GSE239583	766	766	1
GSE230467	598	598	1
GSE240114,GSE240128	389	389	1
GSE214265	384	384	1
GSE244721	264	264	1
GSE131747,GSE233715	253	253	1
GSE212666	242	242	1
GSE201443	192	192	1
GSE247519	192	192	1
GSE232107	180	180	1
GSE202126	134	134	1
GSE254034	123	123	1
GSE221180,GSE221181	115	115	1
GSE255299	96	96	1
GSE214146	93	93	1
GSE254569	92	92	1
GSE227136	89	89	1
GSE212217	82	82	1
GSE221884	78	78	1
GSE208418	76	76	1
GSE219098	57	57	1
GSE233574	51	51	1
GSE234069	51	51	1
GSE195665,GSE235326	47	47	1
GSE202051	45	45	1
GSE212212	44	44	1
GSE229232	42	42	1
GSE206283,GSE206284	41	41	1
GSE232391	41	41	1
GSE233605,GSE233682	40	40	1
GSE239799	40	40	1
GSE163194,GSE163219	38	38	1
GSE216501	38	38	1
GSE203499	37	37	1
GSE213982	35	35	1
GSE218429,GSE218431	35	35	1
GSE210661,GSE210694	34	34	1
GSE215915	34	34	1
GSE202813	32	32	1
GSE208337	32	32	1
GSE236566	32	32	1
GSE253212	31	31	1
GSE210115	30	30	1
GSE263565	30	30	1
GSE179640	29	29	1
GSE220116	28	28	1
GSE228598	28	28	1
GSE244781	28	28	1
GSE241130	27	27	1
GSE213897	26	26	1
GSE249279	26	26	1
GSE201348,GSE201349	25	25	1
GSE212854	25	25	1
GSE218040,GSE218043	24	24	1
GSE245187,GSE246960	24	24	1
GSE228763	22	22	1
GSE232523	22	22	1
GSE248256	21	21	1
GSE205417	20	20	1
GSE214637,GSE214979	20	20	1
GSE217930	20	20	1
GSE227903	20	20	1
GSE231977	20	20	1
GSE254241	20	20	1
GSE214865	19	19	1
GSE216335	19	19	1
GSE224661	19	19	1
GSE229253,GSE229706	19	19	1
GSE231859,GSE231860	19	19	1
GSE220243,GSE220244	18	18	1
GSE224941,GSE224942	18	18	1
GSE227640	18	18	1
GSE237204,GSE237215	18	18	1
GSE249874	18	18	1
GSE227690	17	17	1
GSE234357	17	17	1
GSE243977,GSE243981	17	17	1
GSE213849	16	16	1
GSE214607	16	16	1
GSE228315	16	16	1
GSE235663,GSE235665	16	16	1
GSE243545	16	16	1
GSE246624	16	16	1
GSE213330	15	15	1
GSE222761	15	15	1
GSE227635	15	15	1
GSE233230	15	15	1
GSE245403	15	15	1
GSE248496,GSE248497	15	15	1
GSE260657	15	15	1
GSE202109	14	14	1
GSE221042	14	14	1
GSE230689,GSE230705	14	14	1
GSE243292	14	14	1
GSE201197	13	13	1
GSE207044,GSE239293	13	13	1
GSE209947	13	13	1
GSE211956	13	13	1
GSE214085	13	13	1
GSE214411	13	13	1
GSE214695	13	13	1
GSE221739	13	13	1
GSE267718	13	13	1
GSE200972	12	12	1
GSE202352	12	12	1
GSE203262	12	12	1
GSE205095	12	12	1
GSE205665,GSE205666	12	12	1
GSE207130	12	12	1
GSE208625	12	12	1
GSE210358	12	12	1
GSE212270	12	12	1
GSE216329	12	12	1
GSE217689,GSE217690	12	12	1
GSE221534,GSE221536	12	12	1
GSE231993	12	12	1
GSE233254,GSE233293	12	12	1
GSE235168,GSE235169	12	12	1
GSE242779	12	12	1
GSE207784	11	11	1
GSE212837	11	11	1
GSE212966	11	11	1
GSE224727	11	11	1
GSE225278,GSE225282	11	11	1
GSE234778	11	11	1
GSE237034	11	11	1
GSE237855	11	11	1
GSE240001,GSE240002	11	11	1
GSE200984,GSE228500	10	10	1
GSE201153	10	10	1
GSE203384,GSE203385	10	10	1
GSE204928	10	10	1
GSE206125,GSE247691	10	10	1
GSE207176	10	10	1
GSE211560	10	10	1
GSE219133	10	10	1
GSE237579,GSE237581	10	10	1
GSE246169	10	10	1
GSE247036,GSE247038	10	10	1
GSE261012	10	10	1
GSE145809	9	9	1
GSE206578,GSE206580	9	9	1
GSE210040	9	9	1
GSE210661,GSE210695	9	9	1
GSE212447,GSE212450	9	9	1
GSE214383,GSE214700	9	9	1
GSE217245	9	9	1
GSE217561	9	9	1
GSE222011	9	9	1
GSE222315	9	9	1
GSE222872	9	9	1
GSE223599	9	9	1
GSE228078	9	9	1
