series	n_sc	n_total	frac_sc	role	geo	libsrc	title	src
GSE231523	14	15	0.933333333333333	SC	GSM7287625	transcriptomic single cell	Patient 1, BCR-derived cDNA	Lymph node
GSE231523	14	15	0.933333333333333	SC	GSM7287628	transcriptomic single cell	Patient 2, BCR-derived cDNA	Lymph node
GSE231523	14	15	0.933333333333333	BULK	GSM7287654	other	Patient 15, HTO-derived cDNA	Lymph node
GSE261788	16	18	0.888888888888889	SC	GSM8151992	transcriptomic single cell	AMAR_RNA_1	K562
GSE261788	16	18	0.888888888888889	SC	GSM8151993	transcriptomic single cell	AMAR_RNA_2	K562
GSE261788	16	18	0.888888888888889	BULK	GSM8152004	transcriptomic	bulk_RNA_1	K562
GSE261788	16	18	0.888888888888889	BULK	GSM8152005	transcriptomic	bulk_RNA_2	K562
GSE232873	14	18	0.777777777777778	SC	GSM7385293	transcriptomic single cell	Bcell_enriched_1_DGE	PBMC
GSE232873	14	18	0.777777777777778	SC	GSM7385296	transcriptomic single cell	PBMC_1_DGE	PBMC
GSE232873	14	18	0.777777777777778	BULK	GSM7385371	transcriptomic	BulkVDJ_HC_1	PBMC
GSE232873	14	18	0.777777777777778	BULK	GSM7385372	transcriptomic	BulkVDJ_HC_2	PBMC
GSE254205	57	74	0.77027027027027	SC	GSM8035837	transcriptomic single cell	Sample 03-54-L001 [snRNA-seq]	brain (frontal cortex)
GSE254205	57	74	0.77027027027027	SC	GSM8035838	transcriptomic single cell	Sample 03-54-L002 [snRNA-seq]	brain (frontal cortex)
GSE254205	57	74	0.77027027027027	BULK	GSM8035914	transcriptomic	NT1 Untreated APOE 4/4 iMG PE  [RNA-seq]	iMG
GSE254205	57	74	0.77027027027027	BULK	GSM8035915	transcriptomic	NT2 Untreated APOE 4/4 iMG PE  [RNA-seq]	iMG
GSE196825	6	8	0.75	SC	GSM6705174	transcriptomic single cell	hpm_F_CAA1(ex vivo): control	human placental macrophages
GSE196825	6	8	0.75	SC	GSM6705175	transcriptomic single cell	hpm_F_CBA2(ex vivo): control	human placental macrophages
GSE196825	6	8	0.75	BULK	GSM5901522	transcriptomic	GBS_infected_human_placental_macs, hpm_E_K4H9	human placental macrophages
GSE196825	6	8	0.75	BULK	GSM5901523	transcriptomic	GBS_infected_human_placental_macs, hpm_E_G4H10	human placental macrophages
GSE212038	3	4	0.75	SC	GSM6507608	transcriptomic single cell	UPN23 SC, scRNAseq [FLT3_R252]	peripheral blood
GSE212038	3	4	0.75	SC	GSM6507609	transcriptomic single cell	UPN29 SC, scRNAseq [CBF_R252-255]	peripheral blood
GSE212038	3	4	0.75	BULK	GSM6507611	other	UPN23/29 SC_m, scRNAseq [HTO_R306-309]	peripheral blood
GSE223492,GSE223496	3	4	0.75	SC	GSM6957528	transcriptomic single cell	scRNAseq_BdLTseq_HA1E_E7clone_RAS_Gex [scRNAseq_BdLTseq_HA1E_E7_clone_RAS]	Cell line
GSE223492,GSE223496	3	4	0.75	SC	GSM6957530	transcriptomic single cell	scRNAseq_BdLTseq_HA1E_E7clone_RAS_BdLTseq [scRNAseq_BdLTseq_HA1E_E7_clone_RAS]	Cell line
GSE223492,GSE223496	3	4	0.75	BULK	GSM6957529	other	scRNAseq_BdLTseq_HA1E_E7clone_RAS_HTO [scRNAseq_BdLTseq_HA1E_E7_clone_RAS]	Cell line
GSE163952	16	22	0.727272727272727	SC	GSM6625471	transcriptomic single cell	Experiment 2, iPSC-2 line (Thermo Fisher A18945), ctrl, replicate 1, for single-cell RNA-seq	Brain organoid
GSE163952	16	22	0.727272727272727	SC	GSM6625472	transcriptomic single cell	Experiment 2, iPSC-2 line (Thermo Fisher A18945), ctrl, replicate 2, for single-cell RNA-seq	Brain organoid
GSE163952	16	22	0.727272727272727	BULK	GSM4991124	transcriptomic	iPSC-2 line (Thermo Fisher A18945), ctrl, replicate 1, for bulk RNA-seq	Brain organoid
GSE163952	16	22	0.727272727272727	BULK	GSM4991125	transcriptomic	iPSC-2 line (Thermo Fisher A18945), ctrl, replicate 2, for bulk RNA-seq	Brain organoid
GSE199359,GSE199373	16	23	0.695652173913043	SC	GSM7040843	transcriptomic single cell	Patient_P1723_Pre_Treatment_scRNA-seq	Primary CD138+ MM cells
GSE199359,GSE199373	16	23	0.695652173913043	SC	GSM7040844	transcriptomic single cell	Patient_P1608_Pre_Treatment_scRNA-seq	Primary CD138+ MM cells
GSE199359,GSE199373	16	23	0.695652173913043	BULK	GSM5971018	transcriptomic	Patient_1498_Pre_Treatment RNA-seq	Primary CD138+ MM cells
GSE199359,GSE199373	16	23	0.695652173913043	BULK	GSM5971020	transcriptomic	Patient_1217_Pre_Treatment RNA-seq	Primary CD138+ MM cells
GSE201704	2	3	0.666666666666667	SC	GSM6069857	transcriptomic single cell	Peripheral Blood, GEX	Peripheral Blood
GSE201704	2	3	0.666666666666667	SC	GSM6069858	transcriptomic single cell	Peripheral Blood, VDJ	Peripheral Blood
GSE201704	2	3	0.666666666666667	BULK	GSM6069856	other	Peripheral Blood, ADT	Peripheral Blood
GSE205606	2	3	0.666666666666667	SC	GSM6215451	transcriptomic single cell	Patient_day0_day3_Healthy_cohort1, BCR-derived cDNA	PBMC
GSE205606	2	3	0.666666666666667	SC	GSM6215452	transcriptomic single cell	Patient_day0_day3_Healthy_cohort1, TCR-derived cDNA	PBMC
GSE205606	2	3	0.666666666666667	BULK	GSM6215453	other	Patient_day0_day3_Healthy_cohort1, HTO-derived cDNA	PBMC
GSE205607	2	3	0.666666666666667	SC	GSM6215455	transcriptomic single cell	Patient_day27_Healthy_cohort2_cohort3, BCR-derived cDNA	PBMC
GSE205607	2	3	0.666666666666667	SC	GSM6215456	transcriptomic single cell	Patient_day27_Healthy_cohort2_cohort3, TCR-derived cDNA	PBMC
GSE205607	2	3	0.666666666666667	BULK	GSM6215457	other	Patient_day27_Healthy_cohort2_cohort3, HTO-derived cDNA	PBMC
GSE223489,GSE223496	2	3	0.666666666666667	SC	GSM6957519	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12_clone_Gex [scRNAseq_BdLTseq_HA1ER_F12_clone_3]	HA1ER
GSE223489,GSE223496	2	3	0.666666666666667	SC	GSM6957521	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12_clone_BdLTseq [scRNAseq_BdLTseq_HA1ER_F12_clone_3]	HA1ER
GSE223489,GSE223496	2	3	0.666666666666667	BULK	GSM6957520	other	scRNAseq_BdLTseq_HA1ER_F12_clone_HTO [scRNAseq_BdLTseq_HA1ER_F12_clone_3]	HA1ER
GSE223490,GSE223496	2	3	0.666666666666667	SC	GSM6957522	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12clone_TRAIL_Gex  [scRNAseq_BdLTseq_HA1ER_F12_clone_TRAIL]	HA1ER
GSE223490,GSE223496	2	3	0.666666666666667	SC	GSM6957524	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12clone_TRAIL_BdLTseq  [scRNAseq_BdLTseq_HA1ER_F12_clone_TRAIL]	HA1ER
GSE223490,GSE223496	2	3	0.666666666666667	BULK	GSM6957523	other	scRNAseq_BdLTseq_HA1ER_F12clone_TRAIL_HTO  [scRNAseq_BdLTseq_HA1ER_F12_clone_TRAIL]	HA1ER
